Gene,X,Transcript.stable.ID,Plasmodium.falciparum.3D7.gene.stable.ID,X.id..query.gene.identical.to.target.Plasmodium.falciparum.3D7.gene,Plasmodium.knowlesi.gene.stable.ID,X.id..query.gene.identical.to.target.Plasmodium.knowlesi.gene,X.id..target.Plasmodium.falciparum.3D7.gene.identical.to.query.gene,X.id..target.Plasmodium.knowlesi.gene.identical.to.query.gene,Plasmodium.falciparum.3D7.orthology.confidence..0.low..1.high.,Plasmodium.knowlesi.orthology.confidence..0.low..1.high.,orth_name,Transcript.count,Plasmodium.falciparum.3D7.homology.type,Plasmodium.knowlesi.homology.type,Pm,Po,Pv,Pg,Py,Pc,Pcyb
PBANKA_0101800,PBANKA_010180,CDS44157,PF3D7_0603000,34.6284,PKH_114690,39.272,41.0822,41.0822,1,1,ORTH_1619,1,ortholog_one2one,ortholog_one2one,PmUG01_11059800,PocGH01_11053600,PVX_113315,PGAL8A_00131500,PY17X_0103400,PCHAS_0102500,PCYB_115340
PBANKA_0101900,PBANKA_010190,CDS44158,PF3D7_0603100,53.7611,PKH_114680,48.0932,50.8368,47.4895,1,1,ORTH_1620,1,ortholog_one2one,ortholog_one2one,PmUG01_11059700,PocGH01_11053500,PVX_113320,PGAL8A_00131600,PY17X_0103500,PCHAS_0102600,PCYB_115330
PBANKA_0102000,PBANKA_010200,CDS44159,PF3D7_0603200,74.31,PKH_114670,72.8033,73.8397,73.4177,1,1,ORTH_1621,1,ortholog_one2one,ortholog_one2one,PmUG01_11059600,PocGH01_11053400,PVX_113325,PGAL8A_00131700,PY17X_0103600,PCHAS_0102700,PCYB_115320
PBANKA_0102100,PBANKA_010210,CDS44160,PF3D7_0603300,57.1178,PKH_114660,54.1367,62.8627,58.2205,1,0,ORTH_1622,1,ortholog_one2one,ortholog_one2one,PmUG01_11059500,PocGH01_11053300,PVX_113330,PGAL8A_00131800,PY17X_0103700,PCHAS_0102800,PCYB_115310
PBANKA_0102200,PBANKA_010220,CDS44161,PF3D7_0603400,37.3527,PKH_114650,40.8743,45.727,41.5094,1,0,ORTH_1623,1,ortholog_one2one,ortholog_one2one,PmUG01_11059400,PocGH01_11053200,PVX_113335,PGAL8A_00131900,PY17X_0103800,PCHAS_0102900,PCYB_115300
PBANKA_0102300,PBANKA_010230,CDS44163,PF3D7_0603500,82.5397,PKH_114640,84.127,82.7273,84.3182,1,1,ORTH_1624,1,ortholog_one2one,ortholog_one2one,PmUG01_11059300,PocGH01_11053100,PVX_113340,PGAL8A_00132000,PY17X_0103900,PCHAS_0103000,PCYB_115290
PBANKA_0102400,PBANKA_010240,CDS44165,PF3D7_0603600,27.9561,PKH_114630,30.1222,35.9587,34.818,1,1,ORTH_1625,1,ortholog_one2one,ortholog_one2one,PmUG01_11059200,PocGH01_11053000,PVX_113345,PGAL8A_00132100,PY17X_0104000,PCHAS_0103100,PCYB_115280
PBANKA_0102500,PBANKA_010250,CDS44167,PF3D7_0603700,61.1738,PKH_114620,54.8387,56.8134,57.0231,1,1,ORTH_1626,1,ortholog_one2one,ortholog_one2one,PmUG01_11059100,PocGH01_11052900,PVX_113350,PGAL8A_00132200,PY17X_0104100,PCHAS_0103200,PCYB_115270
PBANKA_0102600,PBANKA_010260,CDS44169,PF3D7_0603800,60.1314,PKH_114610,54.7754,59.2233,57.2276,1,1,ORTH_1627,1,ortholog_one2one,ortholog_one2one,PmUG01_11059000,PocGH01_11052800,PVX_113355,PGAL8A_00132300,PY17X_0104200,PCHAS_0103300,PCYB_115260
PBANKA_0102700,PBANKA_010270,CDS44171,PF3D7_0603900,54.4,PKH_114600,58.6842,54.8387,59.9462,1,1,ORTH_1628,1,ortholog_one2one,ortholog_one2one,PmUG01_11058900,PocGH01_11052700,PVX_113360,PGAL8A_00132400,PY17X_0104300,PCHAS_0103400,PCYB_115250
PBANKA_0102800,PBANKA_010280,CDS44173,PF3D7_0604000,28.1095,PKH_114590,33.1847,37.442,34.5262,1,1,ORTH_1629,1,ortholog_one2one,ortholog_one2one,PmUG01_11058800,PocGH01_11052600,PVX_113365,PGAL8A_00132500,PY17X_0104400,PCHAS_0103500,PCYB_115240
PBANKA_0103000,PBANKA_010300,CDS44177,PF3D7_0604200,83.871,PKH_114540,91.3979,83.871,91.3979,1,1,ORTH_1631,1,ortholog_one2one,ortholog_one2one,PmUG01_11058600,PocGH01_11052400,PVX_113375,PGAL8A_00132700,PY17X_0104600,PCHAS_0103700,PCYB_115220
PBANKA_0103100,PBANKA_010310,CDS44178,PF3D7_0604300,40.1035,PKH_114530,35.6633,46.7572,37.7074,1,1,ORTH_1632,1,ortholog_one2one,ortholog_one2one,PmUG01_11058500,PocGH01_11052300,PVX_113380,PGAL8A_00132800,PY17X_0104700,PCHAS_0103800,PCYB_115210
PBANKA_0103200,PBANKA_010320,CDS44179,PF3D7_0604400,40.4494,PKH_114520,38.3838,37.3057,39.3782,1,1,ORTH_1633,1,ortholog_one2one,ortholog_one2one,PmUG01_11058400,PocGH01_11052200,PVX_113385,PGAL8A_00132900,PY17X_0104800,PCHAS_0103900,PCYB_115200
PBANKA_0103400,PBANKA_010340,CDS44182,PF3D7_0604700,64.1694,PKH_114490,59.306,62.1451,59.306,1,1,ORTH_1635,1,ortholog_one2one,ortholog_one2one,PmUG01_11058100,PocGH01_11051900,PVX_113400,PGAL8A_00133200,PY17X_0105000,PCHAS_0104100,PCYB_115170
PBANKA_0103700,PBANKA_010370,CDS44186,PF3D7_0604900,65.2632,PKH_114470,64.8936,65.9574,64.8936,1,1,ORTH_1636,1,ortholog_one2one,ortholog_one2one,PmUG01_11057900,PocGH01_11051700,PVX_113410,PGAL8A_00133400,PY17X_0105200,PCHAS_0104300,PCYB_115150
PBANKA_0103800,PBANKA_010380,CDS44187,PF3D7_0605000,79.3814,PKH_114460,77.2021,79.3814,76.8041,1,1,ORTH_1637,1,ortholog_one2one,ortholog_one2one,PmUG01_11057800,PocGH01_11051600,PVX_113415,PGAL8A_00133500,PY17X_0105300,PCHAS_0104400,PCYB_115140
PBANKA_0103900,PBANKA_010390,CDS44189,PF3D7_0605100,65.8278,PKH_114450,63.8889,67.619,65.7143,1,0,ORTH_1638,1,ortholog_one2one,ortholog_one2one,PmUG01_11057700,PocGH01_11051500,PVX_113420,PGAL8A_00133600,PY17X_0105400,PCHAS_0104500,PCYB_115130
PBANKA_0104000,PBANKA_010400,CDS44190,PF3D7_0605200,77.9904,PKH_114440,82.9384,77.2512,82.9384,1,1,ORTH_1639,1,ortholog_one2one,ortholog_one2one,PmUG01_11057600,PocGH01_11051400,PVX_113430,PGAL8A_00133700,PY17X_0105500,PCHAS_0104600,PCYB_115120
PBANKA_0104100,PBANKA_010410,CDS44192,PF3D7_0605300,96.6006,PKH_114430,96.3277,96.6006,96.6006,1,1,ORTH_1640,1,ortholog_one2one,ortholog_one2one,PmUG01_11057500,PocGH01_11051300,PVX_113435,PGAL8A_00133800,PY17X_0105600,PCHAS_0104700,PCYB_115110
PBANKA_0104200,PBANKA_010420,CDS44194,PF3D7_0605400,67.5,PKH_114420,60.7595,68.7898,61.1465,1,1,ORTH_1641,1,ortholog_one2one,ortholog_one2one,PmUG01_11057400,PocGH01_11051200,PVX_113440,PGAL8A_00133900,PY17X_0105700,PCHAS_0104800,PCYB_115100
PBANKA_0104300,PBANKA_010430,CDS44196,PF3D7_0605500,40.1977,PKH_114410,46.9582,40.8027,41.3043,1,1,ORTH_1642,1,ortholog_one2one,ortholog_one2one,PmUG01_11057300,PocGH01_11051100,PVX_113445,PGAL8A_00134000,PY17X_0105800,PCHAS_0104900,PCYB_115090
PBANKA_0104400,PBANKA_010440,CDS44197,PF3D7_0605600,36.488,PKH_114400,36.3964,40.2535,36.5721,1,1,ORTH_1643,1,ortholog_one2one,ortholog_one2one,PmUG01_11057200,PocGH01_11051000,PVX_113450,PGAL8A_00134100,PY17X_0105900,PCHAS_0105000,PCYB_115080
PBANKA_0104500,PBANKA_010450,CDS44198,PF3D7_0605700,47.1831,PKH_114390,49.434,51.7375,50.5792,1,1,ORTH_1644,1,ortholog_one2one,ortholog_one2one,PmUG01_11057100,PocGH01_11050900,PVX_113455,PGAL8A_00134200,PY17X_0106000,PCHAS_0105100,PCYB_115070
PBANKA_0104600,PBANKA_010460,CDS44199,PF3D7_0605800,27.5492,PKH_114340,30.4324,33.0295,29.437,1,0,ORTH_1645,1,ortholog_one2one,ortholog_one2one,PmUG01_11057000,PocGH01_11050800,PVX_113460,PGAL8A_00134300,PY17X_0106100,PCHAS_0105200,PCYB_115060
PBANKA_0104700,PBANKA_010470,CDS44200,PF3D7_0605900,56.314,PKH_114330,57.3883,57.2917,57.9861,1,1,ORTH_1646,1,ortholog_one2one,ortholog_one2one,PmUG01_11056900,PocGH01_11050700,PVX_113465,PGAL8A_00134400,PY17X_0106200,PCHAS_0105300,PCYB_115050
PBANKA_0104800,PBANKA_010480,CDS44201,PF3D7_0606000,28.1279,PKH_114320,26.7951,29.9,30.6,1,1,ORTH_1647,1,ortholog_one2one,ortholog_one2one,PmUG01_11056800,PocGH01_11050600,PVX_113470,PGAL8A_00134500,PY17X_0106300,PCHAS_0105400,PCYB_115040
PBANKA_0104900,PBANKA_010490,CDS44202,PF3D7_0606100,42.6117,PKH_114310,42.8082,43.8163,44.1696,1,1,ORTH_1648,1,ortholog_one2one,ortholog_one2one,PmUG01_11056700,PocGH01_11050500,PVX_113475,PGAL8A_00134600,PY17X_0106400,PCHAS_0105500,PCYB_115030
PBANKA_0105000,PBANKA_010500,CDS44204,PF3D7_0606200,83.2258,PKH_114300,84.2105,86.5772,85.906,1,1,ORTH_1649,1,ortholog_one2one,ortholog_one2one,PmUG01_11056600,PocGH01_11050400,PVX_113480,PGAL8A_00134700,PY17X_0106500,PCHAS_0105600,PCYB_115020
PBANKA_0105100,PBANKA_010510,CDS44207,PF3D7_0606400,56,PKH_114280,53.2258,56.4516,53.2258,1,1,ORTH_1650,1,ortholog_one2one,ortholog_one2one,PmUG01_11056400,PocGH01_11050200,PVX_113490,PGAL8A_00134900,PY17X_0106600,PCHAS_0105700,PCYB_115000
PBANKA_0105200,PBANKA_010520,CDS44209,PF3D7_0606500,51.4329,PKH_114270,51.8854,52.1407,52.5994,1,1,ORTH_1651,1,ortholog_one2one,ortholog_one2one,PmUG01_11056300,PocGH01_11050100,PVX_113495,PGAL8A_00135000,PY17X_0106700,PCHAS_0105800,PCYB_114990
PBANKA_0105300,PBANKA_010530,CDS44211,PF3D7_0606600,27.4234,PKH_114260,32.8968,37.2328,35.3206,1,1,ORTH_1652,1,ortholog_one2one,ortholog_one2one,PmUG01_11056200,PocGH01_11050000,PVX_113500,PGAL8A_00135100,PY17X_0106800,PCHAS_0105900,PCYB_114980
PBANKA_0105400,PBANKA_010540,CDS44212,PF3D7_0606700,58.0026,PKH_114250,59.4499,63.4129,60.9544,1,1,ORTH_1653,1,ortholog_one2one,ortholog_one2one,PmUG01_11056100,PocGH01_11049900,PVX_113505,PGAL8A_00135200,PY17X_0106900,PCHAS_0106000,PCYB_114970
PBANKA_0105500,PBANKA_010550,CDS44214,PF3D7_0606900,57.5342,PKH_114240,51.1416,58.3333,51.8519,1,0,ORTH_1654,1,ortholog_one2one,ortholog_one2one,PmUG01_11056000,PocGH01_11049800,PVX_113510,PGAL8A_00135400,PY17X_0107000,PCHAS_0106100,PCYB_114960
PBANKA_0105600,PBANKA_010560,CDS44215,PF3D7_0607000,73.8997,PKH_114230,73.4818,77.3848,77.8135,1,1,ORTH_1655,1,ortholog_one2one,ortholog_one2one,PmUG01_11055900,PocGH01_11049700,PVX_113515,PGAL8A_00135500,PY17X_0107100,PCHAS_0106200,PCYB_114950
PBANKA_0105700,PBANKA_010570,CDS44216,PF3D7_0607100,60.3814,PKH_114220,59.874,60.8974,60.8974,1,0,ORTH_1656,1,ortholog_one2one,ortholog_one2one,PmUG01_11055800,PocGH01_11049600,PVX_113520,PGAL8A_00135600,PY17X_0107200,PCHAS_0106300,PCYB_114940
PBANKA_0105800,PBANKA_010580,CDS44217,PF3D7_0607200,49.1842,PKH_114210,44.9749,54.8052,46.4935,1,1,ORTH_1657,1,ortholog_one2one,ortholog_one2one,PmUG01_11055700,PocGH01_11049500,PVX_113525,PGAL8A_00135700,PY17X_0107300,PCHAS_0106400,PCYB_114930
PBANKA_0105900,PBANKA_010590,CDS44218,PF3D7_0607300,62.954,PKH_114200,55.7971,62.0525,55.1313,1,0,ORTH_1658,1,ortholog_one2one,ortholog_one2one,PmUG01_11055600,PocGH01_11049400,PVX_113530,PGAL8A_00135800,PY17X_0107400,PCHAS_0106500,PCYB_114920
PBANKA_0106000,PBANKA_010600,CDS44220,PF3D7_0607400,77.8831,PKH_114190,76.6929,77.8831,76.9352,1,1,ORTH_1659,1,ortholog_one2one,ortholog_one2one,PmUG01_11055500,PocGH01_11049300,PVX_113535,PGAL8A_00135900,PY17X_0107500,PCHAS_0106600,PCYB_114910
PBANKA_0106100,PBANKA_010610,CDS44222,PF3D7_0607500,40.499,PKH_114180,41.7021,45.8696,42.6087,1,1,ORTH_1660,1,ortholog_one2one,ortholog_one2one,PmUG01_11055400,PocGH01_11049200,PVX_113540,PGAL8A_00136000,PY17X_0107600,PCHAS_0106700,PCYB_114900
PBANKA_0106200,PBANKA_010620,CDS44224,PF3D7_0607600,45.7607,PKH_114170,51.6513,52.3936,51.9947,1,1,ORTH_1661,1,ortholog_one2one,ortholog_one2one,PmUG01_11055300,PocGH01_11049100,PVX_113545,PGAL8A_00136100,PY17X_0107700,PCHAS_0106800,PCYB_114890
PBANKA_0106300,PBANKA_010630,CDS44226,PF3D7_0607700,24.2006,PKH_114160,19.1386,30.6207,23.4943,0,0,ORTH_1662,1,ortholog_one2one,ortholog_one2one,PmUG01_11055200,PocGH01_11049000,PVX_113550,PGAL8A_00136200,PY17X_0107800,PCHAS_0106900,PCYB_114880
PBANKA_0106400,PBANKA_010640,CDS44228,PF3D7_0607800,42.8783,PKH_114150,44.8567,51.9784,47.8417,1,1,ORTH_1663,1,ortholog_one2one,ortholog_one2one,PmUG01_11055100,PocGH01_11048900,PVX_113555,PGAL8A_00136300,PY17X_0107900,PCHAS_0107000,PCYB_114870
PBANKA_0106500,PBANKA_010650,CDS44230,PF3D7_0607900,37.7752,PKH_114140,37.7907,41.4231,41.2961,1,1,ORTH_1664,1,ortholog_one2one,ortholog_one2one,PmUG01_11055000,PocGH01_11048800,PVX_113560,PGAL8A_00136400,PY17X_0108000,PCHAS_0107100,PCYB_114860
PBANKA_0106600,PBANKA_010660,CDS44231,PF3D7_0608000,60.8696,PKH_114130,57.8082,59.8291,60.114,1,1,ORTH_1665,1,ortholog_one2one,ortholog_one2one,PmUG01_11054900,PocGH01_11048700,PVX_113565,PGAL8A_00136500,PY17X_0108100,PCHAS_0107200,PCYB_114850
PBANKA_0106700,PBANKA_010670,CDS44233,PF3D7_0608100,33.9637,PKH_114120,31.4716,38.1478,30.1614,1,1,ORTH_1666,1,ortholog_one2one,ortholog_one2one,PmUG01_11054800,PocGH01_11048600,PVX_113567,PGAL8A_00136600,PY17X_0108200,PCHAS_0107300,PCYB_114840
PBANKA_0106800,PBANKA_010680,CDS44234,PF3D7_0608200,69.8718,PKH_114110,65.8064,68.9873,64.557,1,1,ORTH_1667,1,ortholog_one2one,ortholog_one2one,PmUG01_11054700,PocGH01_11048500,PVX_113570,PGAL8A_00136700,PY17X_0108300,PCHAS_0107400,PCYB_114830
PBANKA_0107000,PBANKA_010700,CDS44237,PF3D7_0608400,38.6792,PKH_114080,49.5238,38.6792,49.0566,1,1,ORTH_1670,1,ortholog_one2one,ortholog_one2one,PmUG01_11054400,PocGH01_11048200,PVX_113580,PGAL8A_00137000,PY17X_0108600,PCHAS_0107600,PCYB_114810
PBANKA_0107100,PBANKA_010710,CDS44238,PF3D7_0608500,91.4894,PKH_114070,93.617,91.4894,93.617,1,1,ORTH_1671,1,ortholog_one2one,ortholog_one2one,PmUG01_11054300,PocGH01_11048100,PVX_113585,PGAL8A_00137100,PY17X_0108700,PCHAS_0107700,PCYB_114800
PBANKA_0107300,PBANKA_010730,CDS44242,PF3D7_0608700,86.0037,PKH_114050,85.267,86.0037,85.267,1,1,ORTH_1673,1,ortholog_one2one,ortholog_one2one,PmUG01_11054100,PocGH01_11047900,PVX_113595,PGAL8A_00137300,PY17X_0108900,PCHAS_0107900,PCYB_114780
PBANKA_0107400,PBANKA_010740,CDS44244,PF3D7_0608800,84.5411,PKH_114040,82.6087,84.5411,82.6087,1,1,ORTH_1674,1,ortholog_one2one,ortholog_one2one,PmUG01_11054000,PocGH01_11047800,PVX_113600,PGAL8A_00137400,PY17X_0109000,PCHAS_0108000,PCYB_114770
PBANKA_0107500,PBANKA_010750,CDS44246,PF3D7_0608900,28.6432,PKH_114030,32.2503,32.721,30.7692,1,1,ORTH_1675,1,ortholog_one2one,ortholog_one2one,PmUG01_11053900,PocGH01_11047700,PVX_113605,PGAL8A_00137500,PY17X_0109100,PCHAS_0108100,PCYB_114760
PBANKA_0107600,PBANKA_010760,CDS44247,PF3D7_0609000,44.5121,PKH_114020,41.9093,49.7243,43.6581,0,0,ORTH_1676,1,ortholog_one2one,ortholog_one2one,PmUG01_11053800,PocGH01_11047600,PVX_113610,PGAL8A_00137600,PY17X_0109200,PCHAS_0108200,PCYB_114750
PBANKA_0107700,PBANKA_010770,CDS44250,PF3D7_0609100,56.9832,PKH_114010,62.0397,59.3023,63.6628,1,1,ORTH_1677,1,ortholog_one2one,ortholog_one2one,PmUG01_11053700,PocGH01_11047500,PVX_113615,PGAL8A_00137700,PY17X_0109300,PCHAS_0108300,PCYB_114740
PBANKA_0107800,PBANKA_010780,CDS44251,PF3D7_0609200,37.6344,PKH_114000,31.3929,39.1499,33.7808,1,1,ORTH_1678,1,ortholog_one2one,ortholog_one2one,PmUG01_11053600,PocGH01_11047400,PVX_113617,PGAL8A_00137800,PY17X_0109400,PCHAS_0108400,PCYB_114730
PBANKA_0107900,PBANKA_010790,CDS44252,PF3D7_0609300,22.1884,PKH_113990,23.7009,28.3312,24.1915,0,0,ORTH_1679,1,ortholog_one2one,ortholog_one2one,PmUG01_11053500,PocGH01_11047300,PVX_113620,PGAL8A_00137900,PY17X_0109500,PCHAS_0108500,PCYB_114720
PBANKA_0108000,PBANKA_010800,CDS44253,PF3D7_0609400,61.5257,PKH_113980,48.3099,61.6279,56.9767,1,0,ORTH_1680,1,ortholog_one2one,ortholog_one2one,PmUG01_11053400,PocGH01_11047200,PVX_113625,PGAL8A_00138000,PY17X_0109600,PCHAS_0108600,PCYB_114710
PBANKA_0108100,PBANKA_010810,CDS44254,PF3D7_0609500,56.2324,PKH_113970,49.2137,54.1028,47.9711,1,1,ORTH_1681,1,ortholog_one2one,ortholog_one2one,PmUG01_11053300,PocGH01_11047100,PVX_113630,PGAL8A_00138100,PY17X_0109700,PCHAS_0108700,PCYB_114700
PBANKA_0108200,PBANKA_010820,CDS44255,PF3D7_0609700,31.5097,PKH_113960,33.0855,37.9835,33.8618,1,1,ORTH_1682,1,ortholog_one2one,ortholog_one2one,PmUG01_11053200,PocGH01_11047000,PVX_113635,PGAL8A_00138300,PY17X_0109800,PCHAS_0108800,PCYB_114690
PBANKA_0108300,PBANKA_010830,CDS44257,PF3D7_0609800,87.6761,PKH_113920,87.4552,87.6761,85.9155,1,1,ORTH_1683,1,ortholog_one2one,ortholog_one2one,PmUG01_11053100,PocGH01_11046900,PVX_113640,PGAL8A_00138400,PY17X_0109900,PCHAS_0108900,PCYB_114680
PBANKA_0108400,PBANKA_010840,CDS44258,PF3D7_0609900,42.2905,PKH_113910,42.1849,48.8266,43.1025,1,1,ORTH_1684,1,ortholog_one2one,ortholog_one2one,PmUG01_11053000,PocGH01_11046800,PVX_113645,PGAL8A_00138500,PY17X_0110000,PCHAS_0109000,PCYB_114670
PBANKA_0108500,PBANKA_010850,CDS44260,PF3D7_0610000,85.623,PKH_113900,81.1321,84.5426,81.388,1,1,ORTH_1685,1,ortholog_one2one,ortholog_one2one,PmUG01_11052900,PocGH01_11046700,PVX_113650,PGAL8A_00138600,PY17X_0110100,PCHAS_0109100,PCYB_114660
PBANKA_0108600,PBANKA_010860,CDS44262,PF3D7_0610100,67.7928,PKH_113890,67.7273,70.1632,69.4639,1,1,ORTH_1686,1,ortholog_one2one,ortholog_one2one,PmUG01_11052800,PocGH01_11046600,PVX_113655,PGAL8A_00138700,PY17X_0110200,PCHAS_0109200,PCYB_114650
PBANKA_0108700,PBANKA_010870,CDS44264,PF3D7_0610200,29.4792,PKH_113880,35.0263,41.6789,29.4551,1,0,ORTH_1687,1,ortholog_one2one,ortholog_one2one,PmUG01_11052700,PocGH01_11046500,PVX_113660,PGAL8A_00138800,PY17X_0110300,PCHAS_0109300,PCYB_114640
PBANKA_0108800,PBANKA_010880,CDS44266,PF3D7_0610400,100,PKH_113870,99.2647,100,99.2647,0,0,ORTH_1688,1,ortholog_one2one,ortholog_one2one,PmUG01_11052600,PocGH01_11046400,PVX_113665,PGAL8A_00138900,PY17X_0110400,PCHAS_0109400,PCYB_114630
PBANKA_0108900,PBANKA_010890,CDS44268,PF3D7_0610500,78.0488,PKH_113860,70.7317,78.0488,70.7317,1,1,ORTH_1689,1,ortholog_one2one,ortholog_one2one,PmUG01_11052500,PocGH01_11046300,PVX_113670,PGAL8A_00139000,PY17X_0110500,PCHAS_0109500,PCYB_114620
PBANKA_0109100,PBANKA_010910,CDS44270,PF3D7_0610800,77.381,PKH_113840,79.2847,77.6119,79.403,1,1,ORTH_1691,1,ortholog_one2one,ortholog_one2one,PmUG01_11052300,PocGH01_11046100,PVX_113675,PGAL8A_00139300,PY17X_0110700,PCHAS_0109700,PCYB_114610
PBANKA_0109200,PBANKA_010920,CDS44271,PF3D7_0610900,48.125,PKH_113830,51.4011,52.4702,54.6848,1,1,ORTH_1692,1,ortholog_one2one,ortholog_one2one,PmUG01_11052200,PocGH01_11046000,PVX_113680,PGAL8A_00139400,PY17X_0110800,PCHAS_0109800,PCYB_114600
PBANKA_0109300,PBANKA_010930,CDS44272,PF3D7_0611000,62.0209,PKH_113820,58.9474,61.5917,58.1315,1,0,ORTH_1693,1,ortholog_one2one,ortholog_one2one,PmUG01_11052100,PocGH01_11045900,PVX_113685,PGAL8A_00139500,PY17X_0110900,PCHAS_0109900,PCYB_114590
PBANKA_0109400,PBANKA_010940,CDS44274,PF3D7_0611100,85.5422,PKH_113810,87.5,80.6818,87.5,1,1,ORTH_1694,1,ortholog_one2one,ortholog_one2one,PmUG01_11052000,PocGH01_11045800,PVX_113690,PGAL8A_00139600,PY17X_0111000,PCHAS_0110000,PCYB_114580
PBANKA_0109500,PBANKA_010950,CDS44277,PF3D7_0611200,71.5827,PKH_113800,73.6301,71.3262,77.0609,1,1,ORTH_1695,1,ortholog_one2one,ortholog_one2one,PmUG01_11051900,PocGH01_11045700,PVX_113695,PGAL8A_00139700,PY17X_0111100,PCHAS_0110100,PCYB_114570
PBANKA_0109600,PBANKA_010960,CDS44279,PF3D7_0611300,86.4286,PKH_113790,85.6631,86.4286,85.3571,1,0,ORTH_1696,1,ortholog_one2one,ortholog_one2one,PmUG01_11051800,PocGH01_11045600,PVX_113705,PGAL8A_00139800,PY17X_0111200,PCHAS_0110200,PCYB_114560
PBANKA_0109700,PBANKA_010970,CDS44281,PF3D7_0611400,48.3133,PKH_113780,58.4975,50,59.2269,1,1,ORTH_1697,1,ortholog_one2one,ortholog_one2one,PmUG01_11051700,PocGH01_11045500,PVX_113710,PGAL8A_00139900,PY17X_0111300,PCHAS_0110300,PCYB_114550
PBANKA_0109800,PBANKA_010980,CDS44283,PF3D7_0611500,61.6667,PKH_113770,57.8125,60,60,1,1,ORTH_1698,1,ortholog_one2one,ortholog_one2one,PmUG01_11051600,PocGH01_11045400,PVX_113720,PGAL8A_00140000,PY17X_0111400,PCHAS_0110400,PCYB_114540
