	sample	file	rapamycin	time	experiment	colorw	shape	amplified	Strain	timew	N
X820RG_NO_0_4	Sample_82	19453_6.htseq_count	NO	0h	4	pink	0	8	820RG	0	44
X820RG_YES_4_4	Sample_74	19453_7.htseq_count	YES	4h	4	purple	4	8	820RG	4	45
X820RG_NO_4_4	Sample_84	19453_8.htseq_count	NO	4h	4	pink	4	8	820RG	4	46
X820RG_YES_6_4	Sample_75	19453_9.htseq_count	YES	6h	4	purple	9	8	820RG	6	47
AP2Goe_NO_44_5	Sample_70	21384_10.htseq_count	NO	44h	5	blue	11	0	AP2Goe	44	62
AP2Goe_NO_44_6	Sample_71	21384_11.htseq_count	NO	44h	6	blue	11	0	AP2Goe	44	63
AP2Goe_YES_0_5	Sample_10	21384_12.htseq_count	YES	0h	5	red	0	0	AP2Goe	0	64
AP2Goe_YES_2_5	Sample_16	21384_13.htseq_count	YES	2h	5	red	2	0	AP2Goe	2	65
AP2Goe_YES_2_6	Sample_17	21384_14.htseq_count	YES	2h	6	red	2	0	AP2Goe	2	66
AP2Goe_YES_6_5	Sample_23	21384_15.htseq_count	YES	6h	5	red	9	0	AP2Goe	6	67
AP2Goe_YES_6_6	Sample_24	21384_16.htseq_count	YES	6h	6	red	9	0	AP2Goe	6	68
AP2Goe_YES_8_5	Sample_26	21384_17.htseq_count	YES	8h	5	red	8	0	AP2Goe	8	69
AP2Goe_YES_8_6	Sample_27	21384_18.htseq_count	YES	8h	6	red	8	0	AP2Goe	8	70
AP2Goe_YES_24_5	Sample_34	21384_19.htseq_count	YES	24h	5	red	6	0	AP2Goe	24	71
AP2Goe_NO_0_5	Sample_42	21384_2.htseq_count	NO	0h	5	blue	0	0	AP2Goe	0	54
AP2Goe_YES_44_5	Sample_37	21384_20.htseq_count	YES	44h	5	red	11	0	AP2Goe	44	72
AP2Goe_YES_44_6	Sample_38	21384_21.htseq_count	YES	44h	6	red	11	0	AP2Goe	44	73
AP2Goe_NO_1_7	Sample_45	21384_22.htseq_count	NO	1h	7	blue	1	0	AP2Goe	1	74
AP2Goe_NO_18_7	Sample_62	21384_23.htseq_count	NO	18h	7	blue	10	0	AP2Goe	18	75
AP2Goe_NO_44_7	Sample_72	21384_24.htseq_count	NO	44h	7	blue	11	0	AP2Goe	44	76
AP2Goe_YES_1_7	Sample_13	21384_25.htseq_count	YES	1h	7	red	1	0	AP2Goe	1	77
AP2Goe_YES_18_7	Sample_30	21384_26.htseq_count	YES	18h	7	red	10	0	AP2Goe	18	78
AP2Goe_YES_44_7	Sample_39	21384_27.htseq_count	YES	44h	7	red	11	0	AP2Goe	44	79
X820RG_NO_1_7	Sample_83	21384_28.htseq_count	NO	1h	7	pink	1	0	820RG	1	80
X820RG_NO_18_7	Sample_88	21384_29.htseq_count	NO	18h	7	pink	10	0	820RG	18	81
AP2Goe_NO_2_5	Sample_48	21384_3.htseq_count	NO	2h	5	blue	2	0	AP2Goe	2	55
X820RG_NO_44_7	Sample_91	21384_30.htseq_count	NO	44h	7	pink	11	0	820RG	44	82
X820RG_YES_1_7	Sample_73	21384_31.htseq_count	YES	1h	7	purple	1	0	820RG	1	83
X820RG_YES_18_7	Sample_78	21384_32.htseq_count	YES	18h	7	purple	10	0	820RG	18	84
X820RG_YES_44_7	Sample_81	21384_33.htseq_count	YES	44h	7	purple	11	0	820RG	44	85
AP2Goe_NO_2_6	Sample_49	21384_4.htseq_count	NO	2h	6	blue	2	0	AP2Goe	2	56
AP2Goe_NO_6_5	Sample_55	21384_5.htseq_count	NO	6h	5	blue	9	0	AP2Goe	6	57
AP2Goe_NO_6_6	Sample_56	21384_6.htseq_count	NO	6h	6	blue	9	0	AP2Goe	6	58
AP2Goe_NO_8_5	Sample_58	21384_7.htseq_count	NO	8h	5	blue	8	0	AP2Goe	8	59
AP2Goe_NO_8_6	Sample_59	21384_8.htseq_count	NO	8h	6	blue	8	0	AP2Goe	8	60
AP2Goe_NO_24_5	Sample_67	21384_9.htseq_count	NO	24h	5	blue	6	0	AP2Goe	24	61
