Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_0308400,ALG14,"UDP-N-acetylglucosamine transferase subunit ALG14, putative",-1.254,1.833,no power,-1.481,1.869,no power,-1.042,1.089,no power,-1.306,1.134,no power,0.675,1.215,no power,0.334,1.323,no power,8.189,1.380,not reduced,0.163,Slow,y,N-Glycan biosynthesis, ,dolichol-linked oligosaccharide biosynthetic process
PBANKA_0402800,EHD,"EH domain-containing protein, putative",0.528,0.070,not reduced,-0.192,0.092,not reduced,0.502,0.059,not reduced,0.135,0.082,not reduced,-0.273,0.071,not reduced,-0.728,0.092,not reduced,-0.858,0.195,no power,0.980,Dispensable,,, ,endocytosis
PBANKA_1233200,CYC3,cyclin,-0.591,0.091,not reduced,-1.042,0.125,no power,-0.260,0.055,not reduced,-0.740,0.077,not reduced,-0.083,0.174,not reduced,-0.733,0.227,no power,-0.923,0.390,no power,1.056,Dispensable,,, ,endomitotic cell cycle
PBANKA_0414500,,"HVA22/TB2/DP1 family protein, putative",-0.876,0.197,no power,-1.246,0.229,no power,1.152,0.251,not reduced,-1.675,0.374,no power,-2.459,0.387,reduced,-2.772,0.408,reduced,-0.877,0.447,no power,0.636,Slow,,, ,endoplasmic reticulum tubular network organization
PBANKA_1329500,PPKL,protein phosphatase containing kelch-like domains,0.186,0.369,not reduced,-0.626,0.396,no power,0.838,0.463,not reduced,0.479,0.489,not reduced,-5.421,0.728,reduced,-6.034,0.751,reduced,-4.572,0.798,reduced,0.722,Slow,,,brassinosteroid mediated signaling pathway,entry into host
PBANKA_1349800,TRAP,sporozoite surface protein 2,-0.246,0.041,not reduced,-0.706,0.055,not reduced,-1.366,0.086,reduced,-1.950,0.102,reduced,-1.601,0.303,no power,-3.208,0.331,reduced,-3.108,0.435,reduced,0.945,Dispensable,,, ,entry into host
PBANKA_1232400,CPbeta,F-actin-capping protein subunit beta,-1.075,0.186,no power,-1.514,0.220,reduced,0.035,0.107,not reduced,-0.453,0.129,not reduced,-0.680,0.478,no power,-1.324,0.530,no power,-1.360,0.589,no power,1.012,Dispensable,,,"actin cytoskeleton organization, barbed-end actin filament capping",entry into host cell
PBANKA_1119200,,"conserved Plasmodium protein, unknown function",-1.072,0.140,no power,-1.569,0.159,reduced,-1.618,0.257,reduced,-1.911,0.278,reduced,1.488,0.308,not reduced,0.698,0.330,not reduced,0.807,0.396,not reduced,0.956,Dispensable,,, ,entry into host cell
PBANKA_1002100,P36,6-cysteine protein,0.014,0.059,not reduced,-0.472,0.073,not reduced,0.501,0.062,not reduced,-0.062,0.078,not reduced,-3.921,0.433,reduced,-5.475,0.454,reduced,-5.555,0.465,reduced,1.018,Dispensable,,, ,entry into host cell
PBANKA_0413800,MA,"microneme associated antigen, putative",-0.244,0.175,not reduced,-0.870,0.210,no power,0.394,0.168,not reduced,-0.211,0.206,not reduced,-0.423,0.087,not reduced,-1.147,0.102,no power,-1.240,0.224,no power,1.002,Dispensable,,, ,entry into host cell
PBANKA_1037800,SOAP,secreted ookinete adhesive protein,0.229,0.035,not reduced,-0.372,0.049,not reduced,0.064,0.042,not reduced,-0.318,0.061,not reduced,0.166,0.054,not reduced,-0.592,0.078,not reduced,-0.580,0.079,not reduced,0.997,Dispensable,,, ,entry into host cell
PBANKA_1210600,,"conserved Plasmodium protein, unknown function",0.562,0.054,not reduced,0.190,0.071,not reduced,-0.162,0.058,not reduced,-0.562,0.086,not reduced,-0.026,0.200,not reduced,-0.708,0.289,no power,-0.378,0.338,no power,0.917,Dispensable,,, ,entry into host cell
PBANKA_0824200,PLP3,perforin-like protein 3,-0.130,0.077,not reduced,-0.819,0.103,no power,0.505,0.065,not reduced,0.088,0.090,not reduced,-0.207,0.086,not reduced,-0.813,0.121,no power,-0.309,0.228,not reduced,0.901,Dispensable,,, ,entry into host cell
PBANKA_1315400,CNB,"calcineurin subunit B, putative",0.002,3.054,no power,-0.144,3.251,no power,0.765,3.577,no power,0.678,3.757,no power,0.149,3.682,no power,-0.006,3.858,no power,7.469,3.885,not reduced,0.178,Slow,,, ,"entry into host cell, protein dephosphorylation"
PBANKA_0833000,PFN,"profilin, putative",0.198,0.122,not reduced,-0.956,0.148,no power,0.238,0.103,not reduced,-0.134,0.129,not reduced,0.074,0.169,not reduced,-1.998,0.222,reduced,0.784,0.358,not reduced,0.565,Slow,,,actin cytoskeleton organization,"entry into host cell, sequestering of actin monomers"
PBANKA_1222300,SEC28,"coatomer subunit epsilon, putative",0.026,0.142,not reduced,-0.790,0.166,no power,0.688,0.129,not reduced,0.223,0.155,not reduced,-0.760,0.091,not reduced,-1.347,0.113,reduced,-0.717,0.234,no power,0.904,Dispensable,,, ,ER to Golgi vesicle-mediated transport
PBANKA_0903900,SEC21,"coatomer subunit gamma, putative",0.873,2.947,no power,0.735,3.140,no power,-0.216,3.425,no power,-0.303,3.606,no power,0.357,3.577,no power,0.199,3.751,no power,4.420,3.864,no power,0.377,Slow,,,"intracellular protein transport, vesicle-mediated transport","ER to Golgi vesicle-mediated transport, retrograde vesicle-mediated transport, Golgi to ER"
PBANKA_0913700,,"coatomer subunit delta, putative",-1.171,1.113,no power,-1.997,1.151,no power,1.514,1.170,not reduced,1.274,1.198,no power,-0.367,1.597,no power,-0.829,1.716,no power,2.715,1.838,not reduced,0.450,Slow,,, ,"ER to Golgi vesicle-mediated transport, retrograde vesicle-mediated transport, Golgi to ER"
PBANKA_1128100,PL,phospholipase,-0.064,0.055,not reduced,-0.549,0.068,not reduced,0.395,0.064,not reduced,-0.203,0.080,not reduced,-0.779,0.126,no power,-2.384,0.148,reduced,-2.275,0.174,reduced,0.972,Dispensable,y,Glycerophospholipid metabolism,lipid metabolic process,exit from host cell
PBANKA_1463000,G377,osmiophilic body protein,0.700,0.175,not reduced,0.114,0.222,not reduced,-0.350,0.168,not reduced,-0.715,0.220,no power,0.123,0.291,not reduced,-0.903,0.370,no power,-0.911,0.392,no power,0.992,Dispensable,,, ,exit from host cell
PBANKA_1312700,GEST,gamete egress and sporozoite traversal protein,-6.390,0.181,reduced,-6.818,0.201,reduced,1.344,0.273,not reduced,0.858,0.289,not reduced,-4.890,0.387,reduced,-5.553,0.406,reduced,-5.516,0.417,reduced,0.993,Dispensable,,, ,exit from host cell
PBANKA_1410500,,"malonyl CoA-acyl carrier protein transacylase precursor, putative",-0.085,0.064,not reduced,-0.607,0.081,not reduced,0.389,0.064,not reduced,0.049,0.081,not reduced,-11.049,0.502,reduced,-11.693,0.521,reduced,-11.184,0.570,reduced,0.907,Dispensable,y,Fatty acid metabolism,metabolic process,fatty acid biosynthetic process
PBANKA_1022300,,"mannose-1-phosphate guanyltransferase, putative",0.446,0.127,not reduced,-0.813,0.153,no power,0.274,0.103,not reduced,-0.058,0.129,not reduced,0.781,0.163,not reduced,-0.627,0.209,no power,3.933,0.452,not reduced,0.395,Slow,y,Amino sugar and nucleotide sugar metabolism,biosynthetic process,GDP-mannose biosynthetic process
PBANKA_1317500,GluPho,"glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase, putative",-2.399,0.212,reduced,-3.595,0.237,reduced,-0.214,0.368,not reduced,-0.589,0.389,no power,-0.362,0.486,no power,-2.244,0.532,reduced,1.384,0.566,not reduced,0.434,Slow,y,Pentose phosphate pathway (PPP),"glucose metabolic process, oxidation-reduction process","glucose 6-phosphate metabolic process, pentose-phosphate shunt"
PBANKA_1014000,GDH2,"NADP-specific glutamate dehydrogenase, putative",-3.023,0.845,reduced,-3.210,0.886,reduced,-1.775,1.073,no power,-2.096,1.117,no power,0.218,1.215,no power,-0.124,1.323,no power,4.903,1.360,not reduced,0.313,Slow,y,"Alanine, aspartate and glutamate metabolism","cellular amino acid metabolic process, oxidation-reduction process",glutamate biosynthetic process
PBANKA_0718100,GATA,glutamyl-tRNA(Gln) amidotransferase subunit A,-3.099,0.109,reduced,-4.239,0.134,reduced,-0.198,0.138,not reduced,-0.561,0.159,not reduced,-0.583,0.186,not reduced,-2.435,0.232,reduced,3.614,0.734,not reduced,0.252,Slow,y,Aminoacyl-tRNA biosynthesis, ,glutaminyl-tRNAGln biosynthesis via transamidation
PBANKA_1319100,HlyIII,"hemolysin III, putative",-0.683,0.062,not reduced,-1.227,0.081,reduced,0.143,0.065,not reduced,-0.360,0.085,not reduced,0.219,0.077,not reduced,-0.566,0.099,not reduced,-1.022,0.195,no power,1.016,Dispensable,,, ,hemolysis in other organism
PBANKA_0932500,,"SET domain protein, putative",-0.484,1.860,no power,-0.718,1.896,no power,1.414,1.065,not reduced,1.209,1.110,no power,-1.249,1.046,no power,-1.538,1.126,no power,1.352,1.233,no power,0.517,Slow,,, ,"histone H3-K4 methylation, histone H3-K9 methylation"
PBANKA_1139800,GEX1,nuclear fusion protein,-1.247,0.390,no power,-1.607,0.449,no power,-1.645,0.485,no power,-2.268,0.554,reduced,0.274,0.634,not reduced,0.282,0.719,no power,0.549,0.758,not reduced,0.938,Dispensable,,, ,karyogamy
PBANKA_1455100,RFC4,"replication factor C subunit 4, putative",1.402,1.104,not reduced,1.009,1.122,no power,0.973,0.951,not reduced,0.522,0.981,no power,3.653,1.069,not reduced,2.787,1.166,not reduced,3.936,1.427,not reduced,0.788,Dispensable,,,DNA replication,leading strand elongation
PBANKA_1018100,ABCG2,"ABC transporter G family member 2, putative",0.024,0.837,no power,-0.125,1.031,no power,0.258,0.758,no power,0.199,0.951,no power,-0.397,0.735,no power,-0.529,0.911,no power,0.261,0.937,no power,0.834,Slow,,, ,lipid transport
PBANKA_0505700,ROK1,"ATP-dependent RNA helicase ROK1, putative",0.431,0.262,not reduced,-0.342,0.312,not reduced,1.585,0.227,not reduced,0.820,0.273,not reduced,0.425,0.236,not reduced,-0.249,0.269,not reduced,0.903,0.322,not reduced,0.755,Slow,,, ,maturation of SSU-rRNA
PBANKA_0804300,MSH2-2,DNA mismatch repair protein MSH2,0.887,0.425,not reduced,0.569,0.486,not reduced,-1.337,0.475,no power,-1.801,0.542,no power,-1.096,0.633,no power,-1.260,0.718,no power,-1.061,0.730,no power,0.958,Dispensable,,,mismatch repair,mismatch repair
PBANKA_1438700,,"mitochondrial carrier protein, putative",-1.122,0.098,no power,-1.723,0.112,reduced,-0.266,0.150,not reduced,-0.635,0.168,not reduced,1.310,0.168,not reduced,0.412,0.199,not reduced,0.372,0.241,not reduced,0.989,Dispensable,y,Transport between c and m, ,mitochondrial citrate transport
PBANKA_1305600,,"metalloprotease, putative",-0.990,0.102,no power,-1.249,0.129,no power,-0.375,0.138,not reduced,-2.653,0.223,reduced,-0.631,0.136,not reduced,-1.010,0.154,no power,-0.158,0.302,not reduced,0.815,Slow,,, ,"mitochondrial protein processing, mitochondrial proton-transporting ATP synthase complex assembly"
PBANKA_0106200,SAS6,"spindle assembly abnormal protein 6, putative",-0.226,0.149,not reduced,-0.846,0.183,no power,0.101,0.142,not reduced,-0.458,0.178,not reduced,0.486,0.073,not reduced,-0.251,0.090,not reduced,-0.322,0.157,not reduced,1.017,Dispensable,,, ,mitotic spindle organization
PBANKA_0717500,CBP20,"nuclear cap-binding protein subunit 2, putative",-1.488,0.354,no power,-1.908,0.461,no power,1.642,0.073,not reduced,-0.053,0.115,not reduced,-3.303,0.228,reduced,-4.270,0.257,reduced,-4.058,0.272,reduced,0.951,Dispensable,,, ,"mRNA splicing, via spliceosome"
PBANKA_1023200,SF3B4,"splicing factor 3B subunit 4, putative",-1.557,0.819,no power,-1.825,0.849,no power,4.212,0.882,not reduced,0.822,1.010,no power,-2.589,1.172,no power,-2.921,1.189,no power,0.702,1.493,no power,0.437,Slow,,, ,"mRNA splicing, via spliceosome"
PBANKA_1325300,SF3B2,"splicing factor 3B subunit 2, putative",-0.551,0.891,no power,-0.842,0.919,no power,5.747,0.752,not reduced,2.427,0.875,not reduced,-2.753,0.798,reduced,-3.159,0.816,reduced,1.999,1.037,not reduced,0.288,Slow,,, ,"mRNA splicing, via spliceosome"
PBANKA_0921500,SNRPF,"small nuclear ribonucleoprotein F, putative",0.797,3.054,no power,0.668,3.251,no power,0.789,3.577,no power,0.701,3.757,no power,0.272,3.682,no power,0.114,3.858,no power,2.861,3.980,no power,0.530,Slow,,, ,"mRNA splicing, via spliceosome"
PBANKA_0507400,OMPDC,"orotidine 5'-phosphate decarboxylase, putative",0.766,0.900,no power,0.477,0.929,no power,3.623,0.888,not reduced,0.337,1.016,no power,-3.365,1.174,reduced,-3.697,1.191,reduced,1.618,1.339,no power,0.295,Slow,y,Pyrimidine biosynthesis,"'de novo' pyrimidine nucleobase biosynthetic process, pyrimidine nucleotide biosynthetic process", 
PBANKA_0102100,DHODH,"dihydroorotate dehydrogenase, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.202,0.642,no power,-0.194,0.831,no power,1.724,0.484,not reduced,0.000,0.626,no power,7.049,0.912,not reduced,0.196,Slow,y,Pyrimidine biosynthesis,"'de novo' pyrimidine nucleobase biosynthetic process, UMP biosynthetic process, oxidation-reduction process", 
PBANKA_0601500,TGS1,"trimethylguanosine synthase, putative",-0.490,0.175,not reduced,-1.118,0.210,no power,0.423,0.171,not reduced,-0.146,0.209,not reduced,0.337,0.131,not reduced,-0.557,0.151,not reduced,-1.307,0.310,no power,0.976,Dispensable,,,"7-methylguanosine RNA capping, RNA methylation", 
PBANKA_1304400,,"allantoicase, putative",-1.846,0.141,reduced,-2.237,0.162,reduced,0.250,0.150,not reduced,-0.079,0.175,not reduced,-0.859,0.247,no power,-1.594,0.280,reduced,-1.606,0.391,no power,0.996,Dispensable,y,Purine metabolism,allantoin catabolic process, 
PBANKA_1121900,CS,"chorismate synthase, putative",0.342,0.141,not reduced,-0.477,0.164,not reduced,0.261,0.127,not reduced,-0.225,0.152,not reduced,-2.315,0.201,reduced,-2.882,0.223,reduced,-2.064,0.652,no power,0.849,Dispensable,y,Shikimate pathway,aromatic amino acid family biosynthetic process, 
PBANKA_0407600,AS,asparagine synthetase [glutamine-hydrolyzing],1.606,0.447,not reduced,0.885,0.491,not reduced,-5.234,0.468,reduced,-6.048,0.512,reduced,0.526,0.686,not reduced,-0.181,0.717,no power,1.708,0.752,not reduced,0.639,Slow,y,"Alanine, aspartate and glutamate metabolism",asparagine biosynthetic process, 
PBANKA_0308600,,"asparagine--tRNA ligase, putative",-1.328,0.172,no power,-2.526,0.197,reduced,0.150,0.175,not reduced,-0.191,0.199,not reduced,0.193,0.246,not reduced,-1.692,0.295,reduced,2.266,0.441,not reduced,0.420,Slow,y,Aminoacyl-tRNA biosynthesis,asparaginyl-tRNA aminoacylation, 
PBANKA_0313800,,"ATP synthase F1, alpha subunit, putative",-1.198,0.308,no power,-1.912,0.332,reduced,-2.344,0.555,reduced,-2.790,0.577,reduced,-4.003,0.829,reduced,-4.677,0.853,reduced,-1.935,0.912,no power,0.527,Slow,y,ETC,"ATP hydrolysis coupled proton transport, ATP synthesis coupled proton transport", 
PBANKA_1450300,ATPbeta,"ATP synthase subunit beta, mitochondrial",-0.980,0.218,no power,-1.715,0.263,reduced,-0.028,0.206,not reduced,-0.793,0.250,no power,-1.722,0.509,no power,-2.540,0.554,reduced,-1.435,0.654,no power,0.779,Slow,y,ETC,"ATP hydrolysis coupled proton transport, ATP synthesis coupled proton transport", 
PBANKA_1409800,,"ATP synthase subunit gamma, mitochondrial, putative",-3.091,1.333,no power,-3.509,1.436,no power,3.002,0.784,not reduced,1.464,0.825,not reduced,-1.450,0.935,no power,-2.441,0.966,no power,-1.815,1.000,no power,0.853,Slow,y,ETC,ATP synthesis coupled proton transport, 
PBANKA_0901400,,"mitochondrial ATP synthase delta subunit, putative",-1.902,0.219,reduced,-2.582,0.235,reduced,0.222,0.267,not reduced,-0.229,0.288,not reduced,-6.202,0.707,reduced,-7.001,0.732,reduced,-6.003,0.747,reduced,0.793,Slow,y,ETC,ATP synthesis coupled proton transport, 
PBANKA_1330400,,"DNA-3-methyladenine glycosylase, putative",0.193,0.079,not reduced,-0.287,0.098,not reduced,-0.085,0.081,not reduced,-0.392,0.099,not reduced,0.121,0.080,not reduced,-0.617,0.099,not reduced,-0.383,0.180,not reduced,0.944,Dispensable,,,base-excision repair, 
PBANKA_0918700,,"A/G-specific adenine glycosylase, putative",0.476,0.075,not reduced,-0.049,0.091,not reduced,0.027,0.069,not reduced,-0.317,0.087,not reduced,0.224,0.059,not reduced,-0.468,0.077,not reduced,-0.291,0.141,not reduced,0.952,Dispensable,,,base-excision repair, 
PBANKA_1360500,ECT,ethanolamine-phosphate cytidylyltransferase,-1.208,0.060,reduced,-2.366,0.084,reduced,-0.137,0.042,not reduced,-0.497,0.063,not reduced,0.038,0.063,not reduced,-1.864,0.111,reduced,0.680,0.511,not reduced,0.566,Slow,y,Glycerophospholipid metabolism|Phosphonate and phosphinate metabolism,biosynthetic process, 
PBANKA_1342800,NMNAT,"nicotinate-nucleotide adenylyltransferase, putative",-1.239,0.151,no power,-2.390,0.176,reduced,-0.442,0.232,not reduced,-0.851,0.256,no power,-0.226,0.442,no power,-2.150,0.489,reduced,1.700,0.546,not reduced,0.411,Slow,y,Nicotinate and nicotinamide (vit B3) metabolism,biosynthetic process, 
PBANKA_0302300,AspAT,"aspartate aminotransferase, putative",0.052,0.139,not reduced,-1.339,0.167,reduced,-0.656,0.172,no power,-0.928,0.202,no power,1.269,0.205,not reduced,0.075,0.255,not reduced,6.277,0.533,not reduced,0.292,Slow,y,"Alanine, aspartate and glutamate metabolism|Arginine and proline metabolism|Cysteine and methionine metabolism|Phenylalanine met... <Preview truncated at 128 characters>","biosynthetic process, cellular amino acid metabolic process", 
PBANKA_0509300,,"glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative",-0.359,0.746,no power,-0.663,0.776,no power,3.354,0.676,not reduced,-0.210,0.819,no power,-3.907,1.101,reduced,-4.227,1.119,reduced,-1.405,1.321,no power,0.537,Slow,y,"Alanine, aspartate and glutamate metabolism","carbohydrate biosynthetic process, carbohydrate derivative biosynthetic process, carbohydrate metabolic process", 
PBANKA_0918200,,"phosphoacetylglucosamine mutase, putative",0.164,0.174,not reduced,-0.328,0.196,not reduced,-0.545,0.188,not reduced,-0.954,0.210,no power,-8.244,0.520,reduced,-8.912,0.540,reduced,-7.772,0.571,reduced,0.768,Slow,y,Amino sugar and nucleotide sugar metabolism,carbohydrate metabolic process, 
PBANKA_1228400,,"mannose-6-phosphate isomerase, putative",0.677,0.177,not reduced,-0.144,0.201,not reduced,-0.544,0.133,not reduced,-1.003,0.159,no power,-0.491,0.233,not reduced,-0.984,0.256,no power,1.122,0.406,not reduced,0.611,Slow,y,Amino sugar and nucleotide sugar metabolism,carbohydrate metabolic process, 
PBANKA_1210900,,"phosphoglucomutase, putative",0.916,0.064,not reduced,-0.224,0.088,not reduced,0.136,0.043,not reduced,-0.220,0.065,not reduced,-0.399,0.063,not reduced,-2.267,0.111,reduced,-2.039,0.318,reduced,0.992,Dispensable,y,Glycolysis|Pentose phosphate pathway (PPP),carbohydrate metabolic process, 
PBANKA_0800500,CHT1,chitinase,0.645,0.067,not reduced,-0.505,0.091,not reduced,0.114,0.042,not reduced,-0.233,0.064,not reduced,0.523,0.063,not reduced,-1.487,0.111,reduced,-0.358,0.296,not reduced,0.793,Slow,,,carbohydrate metabolic process, 
PBANKA_1117700,MDH,"malate dehydrogenase, putative",0.246,0.141,not reduced,-0.896,0.166,no power,0.257,0.161,not reduced,-0.111,0.182,not reduced,-0.602,0.256,no power,-2.543,0.304,reduced,-1.875,0.360,reduced,0.860,Slow,y,Cysteine and methionine metabolism|Pyruvate metabolism,"carbohydrate metabolic process, carboxylic acid metabolic process, cellular carbohydrate metabolic process, oxidation-reduction process", 
PBANKA_1340400,,"oxidoreductase, putative",-0.276,0.172,not reduced,-0.726,0.207,no power,-0.203,0.104,not reduced,-0.688,0.125,not reduced,-0.073,0.292,not reduced,-0.730,0.345,no power,-0.812,0.404,no power,1.019,Dispensable,y,Propanoate metabolism,"carbohydrate metabolic process, carboxylic acid metabolic process, cellular carbohydrate metabolic process, oxidation-reduction process", 
PBANKA_0932900,G3PDH,"glycerol-3-phosphate dehydrogenase, putative",0.426,0.049,not reduced,-0.200,0.063,not reduced,-0.172,0.064,not reduced,-0.530,0.083,not reduced,-10.325,0.614,reduced,-11.134,0.639,reduced,-11.082,0.654,reduced,0.989,Dispensable,y,Glycerophospholipid metabolism,"carbohydrate metabolic process, glycerol-3-phosphate catabolic process, oxidation-reduction process", 
