"Gene ID","source_id","Product Description","Gene Type","Is Pseudo","Gene Name or Symbol","Transcript Product Description"
"PBANKA_0006701","PBANKA_0006701.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0006800","PBANKA_0006800.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0006900","PBANKA_0006900.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007000","PBANKA_0007000.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007100","PBANKA_0007100.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007200","PBANKA_0007200.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007300","PBANKA_0007300.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007401","PBANKA_0007401.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0007501","PBANKA_0007501.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0007601","PBANKA_0007601.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0007701","PBANKA_0007701.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0007801","PBANKA_0007801.1","fam-b protein, pseudogene","protein coding","No","N/A","fam-b protein, pseudogene"
"PBANKA_0007901","PBANKA_0007901.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0008001","PBANKA_0008001.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0008101","PBANKA_0008101.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0008201","PBANKA_0008201.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0008301","PBANKA_0008301.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008401","PBANKA_0008401.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008501","PBANKA_0008501.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008601","PBANKA_0008601.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008701","PBANKA_0008701.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008801","PBANKA_0008801.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0008901","PBANKA_0008901.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0009101","PBANKA_0009101.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0100021","PBANKA_0100021.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0100041","PBANKA_0100041.1","conserved rodent malaria protein, unknown function","protein coding","No","N/A","conserved rodent malaria protein, unknown function"
"PBANKA_0100061","PBANKA_0100061.1","fam-c protein","protein coding","No","N/A","fam-c protein"
"PBANKA_0100081","PBANKA_0100081.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0100100","PBANKA_0100100.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0100200","PBANKA_0100200.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_0100300","PBANKA_0100300.1","lysophospholipase, putative, pseudogene","protein coding","Yes","N/A","lysophospholipase, putative, pseudogene"
"PBANKA_0100400","PBANKA_0100400.1","reticulocyte binding protein, putative","protein coding","No","Pb235","reticulocyte binding protein, putative"
"PBANKA_0100500","PBANKA_0100500.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0100600","PBANKA_0100600.1","schizont membrane associated cytoadherence protein","protein coding","No","SMAC","schizont membrane associated cytoadherence protein"
"PBANKA_0100700","PBANKA_0100700.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_0100800","PBANKA_0100800.1","zinc finger protein, putative","protein coding","No","N/A","zinc finger protein, putative"
"PBANKA_0100900","PBANKA_0100900.1","ATP-dependent RNA helicase MTR4, putative","protein coding","No","MTR4","ATP-dependent RNA helicase MTR4, putative"
"PBANKA_0101000","PBANKA_0101000.1","MYND-type zinc finger protein, putative","protein coding","No","N/A","MYND-type zinc finger protein, putative"
"PBANKA_0101100","PBANKA_0101100.1","liver merozoite formation protein","protein coding","No","PALM","liver merozoite formation protein"
"PBANKA_0101200","PBANKA_0101200.1","elongation factor G, putative","protein coding","No","EF-G","elongation factor G, putative"
"PBANKA_0101300","PBANKA_0101300.1","geranylgeranyl transferase type-2 subunit beta, putative","protein coding","No","N/A","geranylgeranyl transferase type-2 subunit beta, putative"
"PBANKA_0101400","PBANKA_0101400.1","SAC3 domain-containing protein, putative","protein coding","No","N/A","SAC3 domain-containing protein, putative"
"PBANKA_0101500","PBANKA_0101500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0101600","PBANKA_0101600.1","JmjC domain-containing protein, putative","protein coding","No","JmjC2","JmjC domain-containing protein, putative"
"PBANKA_0101700","PBANKA_0101700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0101800","PBANKA_0101800.1","SDE2 domain-containing protein, putative","protein coding","No","N/A","SDE2 domain-containing protein, putative"
"PBANKA_0101900","PBANKA_0101900.1","RNA-binding protein, putative","protein coding","No","N/A","RNA-binding protein, putative"
"PBANKA_0102000","PBANKA_0102000.1","mitochondrial chaperone BCS1, putative","protein coding","No","BCS1","mitochondrial chaperone BCS1, putative"
"PBANKA_0102100","PBANKA_0102100.1","dihydroorotate dehydrogenase, putative","protein coding","No","DHODH","dihydroorotate dehydrogenase, putative"
"PBANKA_0102200","PBANKA_0102200.1","trophozoite exported protein 1, putative","protein coding","No","TEX1","trophozoite exported protein 1, putative"
"PBANKA_0102300","PBANKA_0102300.1","cation/H+ antiporter","protein coding","No","CAX","cation/H+ antiporter"
"PBANKA_0102400","PBANKA_0102400.1","AT-rich interactive domain-containing protein, putative","protein coding","No","N/A","AT-rich interactive domain-containing protein, putative"
"PBANKA_0102500","PBANKA_0102500.1","phenylalanine--tRNA ligase, putative","protein coding","No","N/A","phenylalanine--tRNA ligase, putative"
"PBANKA_0102600","PBANKA_0102600.1","centrosomal protein CEP76, putative","protein coding","No","CEP76","centrosomal protein CEP76, putative"
"PBANKA_0102700","PBANKA_0102700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0102800","PBANKA_0102800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0102900","PBANKA_0102900.1","AP2 domain transcription factor, putative","protein coding","No","SIP2","AP2 domain transcription factor, putative"
"PBANKA_0103000","PBANKA_0103000.1","ribosomal protein L41, mitochondrial, putative","protein coding","No","N/A","ribosomal protein L41, mitochondrial, putative"
"PBANKA_0103100","PBANKA_0103100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0103200","PBANKA_0103200.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0103300","PBANKA_0103300.1","GYF domain-containing protein, putative","protein coding","No","N/A","GYF domain-containing protein, putative"
"PBANKA_0103400","PBANKA_0103400.1","glyoxalase I-like protein GILP, putative","protein coding","No","GILP","glyoxalase I-like protein GILP, putative"
"PBANKA_0103500","PBANKA_0103500.1","RAP protein, putative","protein coding","No","N/A","RAP protein, putative"
"PBANKA_0103700","PBANKA_0103700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0103800","PBANKA_0103800.1","50S ribosomal protein L24, putative","protein coding","No","N/A","50S ribosomal protein L24, putative"
"PBANKA_0103900","PBANKA_0103900.1","RNA-binding protein, putative","protein coding","No","N/A","RNA-binding protein, putative"
"PBANKA_0104000","PBANKA_0104000.1","acylphosphatase, putative","protein coding","No","N/A","acylphosphatase, putative"
"PBANKA_0104100","PBANKA_0104100.1","serine/threonine protein kinase ARK1, putative","protein coding","No","ARK1","serine/threonine protein kinase ARK1, putative"
"PBANKA_0104200","PBANKA_0104200.1","calcium-binding protein, putative","protein coding","No","N/A","calcium-binding protein, putative"
"PBANKA_0104300","PBANKA_0104300.1","cyclin dependent kinase binding protein, putative","protein coding","No","N/A","cyclin dependent kinase binding protein, putative"
"PBANKA_0104400","PBANKA_0104400.1","nucleoside diphosphate kinase, putative","protein coding","No","N/A","nucleoside diphosphate kinase, putative"
"PBANKA_0104500","PBANKA_0104500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0104600","PBANKA_0104600.1","DNA repair protein RAD50, putative","protein coding","No","RAD50","DNA repair protein RAD50, putative"
"PBANKA_0104700","PBANKA_0104700.1","elongation of fatty acids protein, putative","protein coding","No","ELO-B","elongation of fatty acids protein, putative"
"PBANKA_0104800","PBANKA_0104800.1","protein KIC1, putative","protein coding","No","N/A","protein KIC1, putative"
"PBANKA_0104900","PBANKA_0104900.1","RNA-binding protein, putative","protein coding","No","N/A","RNA-binding protein, putative"
"PBANKA_0105000","PBANKA_0105000.1","ubiquitin-conjugating enzyme E2 PEX4, putative","protein coding","No","PEX4","ubiquitin-conjugating enzyme E2 PEX4, putative"
"PBANKA_0105100","PBANKA_0105100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0105200","PBANKA_0105200.1","polypyrimidine tract-binding protein, putative","protein coding","No","PTB","polypyrimidine tract-binding protein, putative"
"PBANKA_0105300","PBANKA_0105300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0105400","PBANKA_0105400.1","coatomer alpha subunit, putative","protein coding","No","N/A","coatomer alpha subunit, putative"
"PBANKA_0105500","PBANKA_0105500.1","glutaredoxin-like protein","protein coding","No","GLP2","glutaredoxin-like protein"
"PBANKA_0105600","PBANKA_0105600.1","translation initiation factor IF-2, putative","protein coding","No","N/A","translation initiation factor IF-2, putative"
"PBANKA_0105700","PBANKA_0105700.1","MYND-type zinc finger protein, putative","protein coding","No","N/A","MYND-type zinc finger protein, putative"
"PBANKA_0105800","PBANKA_0105800.1","RING zinc finger protein, putative","protein coding","No","N/A","RING zinc finger protein, putative"
"PBANKA_0105900","PBANKA_0105900.1","uroporphyrinogen III decarboxylase","protein coding","No","UROD","uroporphyrinogen III decarboxylase"
"PBANKA_0106000","PBANKA_0106000.1","G-protein associated signal transduction protein, putative","protein coding","No","N/A","G-protein associated signal transduction protein, putative"
"PBANKA_0106100","PBANKA_0106100.1","4-hydroxybenzoate polyprenyltransferase, putative","protein coding","No","COQ2","4-hydroxybenzoate polyprenyltransferase, putative"
"PBANKA_0106200","PBANKA_0106200.1","spindle assembly abnormal protein 6","protein coding","No","SAS6","spindle assembly abnormal protein 6"
"PBANKA_0106300","PBANKA_0106300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0106400","PBANKA_0106400.1","GTP-binding protein, putative","protein coding","No","N/A","GTP-binding protein, putative"
"PBANKA_0106500","PBANKA_0106500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0106600","PBANKA_0106600.1","diphthine methyltransferase, putative","protein coding","No","DPH7","diphthine methyltransferase, putative"
"PBANKA_0106700","PBANKA_0106700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0106800","PBANKA_0106800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0106900","PBANKA_0106900.1","heptatricopeptide repeat-containing protein, putative","protein coding","No","N/A","heptatricopeptide repeat-containing protein, putative"
"PBANKA_0106950","PBANKA_0106950.1","sorting assembly machinery 50 kDa subunit, putative","protein coding","No","SAM50","sorting assembly machinery 50 kDa subunit, putative"
"PBANKA_0107000","PBANKA_0107000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0107100","PBANKA_0107100.1","proteasome subunit alpha type-2, putative","protein coding","No","N/A","proteasome subunit alpha type-2, putative"
"PBANKA_0107200","PBANKA_0107200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0107300","PBANKA_0107300.1","T-complex protein 1 subunit zeta, putative","protein coding","No","CCT6","T-complex protein 1 subunit zeta, putative"
"PBANKA_0107400","PBANKA_0107400.1","ornithine aminotransferase, putative","protein coding","No","OAT","ornithine aminotransferase, putative"
"PBANKA_0107500","PBANKA_0107500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0107600","PBANKA_0107600.1","nucleoporin NUP637, putative","protein coding","No","NUP637","nucleoporin NUP637, putative"
"PBANKA_0107700","PBANKA_0107700.1","zinc transporter ZIP1","protein coding","No","ZIP1","zinc transporter ZIP1"
"PBANKA_0107800","PBANKA_0107800.1","citrate synthase-like protein, putative","protein coding","No","N/A","citrate synthase-like protein, putative"
"PBANKA_0107900","PBANKA_0107900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0108000","PBANKA_0108000.1","mitochondrial cardiolipin synthase, putative","protein coding","No","CLS","mitochondrial cardiolipin synthase, putative"
"PBANKA_0108100","PBANKA_0108100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0108200","PBANKA_0108200.1","protein KIC6, putative","protein coding","No","N/A","protein KIC6, putative"
"PBANKA_0108300","PBANKA_0108300.1","palmitoyltransferase DHHC2","protein coding","No","DHHC2","palmitoyltransferase DHHC2"
"PBANKA_0108400","PBANKA_0108400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0108500","PBANKA_0108500.1","ribosomal protein L19, mitochondrial, putative","protein coding","No","N/A","ribosomal protein L19, mitochondrial, putative"
"PBANKA_0108600","PBANKA_0108600.1","pre-mRNA-splicing factor SLU7, putative","protein coding","No","SLU7","pre-mRNA-splicing factor SLU7, putative"
"PBANKA_0108700","PBANKA_0108700.1","RNA-binding protein 25, putative","protein coding","No","RBM25","RNA-binding protein 25, putative"
"PBANKA_0108800","PBANKA_0108800.1","histone H3, putative","protein coding","No","H3","histone H3, putative"
"PBANKA_0108900","PBANKA_0108900.1","peptidyl-tRNA hydrolase PTRHD1, putative","protein coding","No","N/A","peptidyl-tRNA hydrolase PTRHD1, putative"
"PBANKA_0109000","PBANKA_0109000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0109100","PBANKA_0109100.1","transketolase, putative","protein coding","No","TK","transketolase, putative"
"PBANKA_0109200","PBANKA_0109200.1","transcription elongation factor SPT5, putative","protein coding","No","SPT5","transcription elongation factor SPT5, putative"
"PBANKA_0109300","PBANKA_0109300.1","SNARE associated Golgi protein, putative","protein coding","No","N/A","SNARE associated Golgi protein, putative"
"PBANKA_0109400","PBANKA_0109400.1","succinate dehydrogenase subunit 3, putative","protein coding","No","SDH3","succinate dehydrogenase subunit 3, putative"
"PBANKA_0109500","PBANKA_0109500.1","AP2 domain transcription factor, putative","protein coding","No","ApiAP2","AP2 domain transcription factor, putative"
"PBANKA_0109600","PBANKA_0109600.1","ATP synthase-associated protein, putative","protein coding","No","N/A","ATP synthase-associated protein, putative"
"PBANKA_0109700","PBANKA_0109700.1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative","protein coding","No","SWIB","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative"
"PBANKA_0109800","PBANKA_0109800.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0109900","PBANKA_0109900.1","basal complex transmembrane protein 1, putative","protein coding","No","BTP1","basal complex transmembrane protein 1, putative"
"PBANKA_0110000","PBANKA_0110000.1","60S ribosomal protein L39, putative","protein coding","No","N/A","60S ribosomal protein L39, putative"
"PBANKA_0110100","PBANKA_0110100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0110200","PBANKA_0110200.1","lsm12, putative","protein coding","No","N/A","lsm12, putative"
"PBANKA_0110300","PBANKA_0110300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0110400","PBANKA_0110400.1","eukaryotic translation initiation factor 3 subunit L, putative","protein coding","No","EIF3L","eukaryotic translation initiation factor 3 subunit L, putative"
"PBANKA_0110500","PBANKA_0110500.1","leucine-rich repeat protein","protein coding","No","LRR6","leucine-rich repeat protein"
"PBANKA_0110600","PBANKA_0110600.1","transmembrane protein 234, putative","protein coding","No","TMEM234","transmembrane protein 234, putative"
"PBANKA_0110700","PBANKA_0110700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0110800","PBANKA_0110800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0110900","PBANKA_0110900.1","cytoplasmic tRNA 2-thiolation protein 1, putative","protein coding","No","NCS6","cytoplasmic tRNA 2-thiolation protein 1, putative"
"PBANKA_0111000","PBANKA_0111000.1","6-cysteine protein P12, putative","protein coding","No","P12","6-cysteine protein P12, putative"
"PBANKA_0111100","PBANKA_0111100.1","6-cysteine protein","protein coding","No","P12p","6-cysteine protein"
"PBANKA_0111200","PBANKA_0111200.1","nucleolar GTP-binding protein 1, putative","protein coding","No","NOG1","nucleolar GTP-binding protein 1, putative"
"PBANKA_0111300","PBANKA_0111300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0111300","PBANKA_0111300.2","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0111400","PBANKA_0111400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0111500","PBANKA_0111500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0111600","PBANKA_0111600.1","rhoptry protein ROP14, putative","protein coding","No","ROP14","rhoptry protein ROP14, putative"
"PBANKA_0111700","PBANKA_0111700.1","50S ribosomal protein L18, apicoplast, putative","protein coding","No","N/A","50S ribosomal protein L18, apicoplast, putative"
"PBANKA_0111800","PBANKA_0111800.1","AP-3 complex subunit beta, putative","protein coding","No","N/A","AP-3 complex subunit beta, putative"
"PBANKA_0111900","PBANKA_0111900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0112000","PBANKA_0112000.1","syntaxin-binding protein, putative","protein coding","No","N/A","syntaxin-binding protein, putative"
"PBANKA_0112100","PBANKA_0112100.1","AP2 domain transcription factor, putative","protein coding","No","ApiAP2","AP2 domain transcription factor, putative"
"PBANKA_0112200","PBANKA_0112200.1","myosin E","protein coding","No","MyoE","myosin E"
"PBANKA_0112300","PBANKA_0112300.1","filamin domain-containing protein, putative","protein coding","No","N/A","filamin domain-containing protein, putative"
"PBANKA_0112400","PBANKA_0112400.1","cytosolic Fe-S cluster assembly factor NAR1, putative","protein coding","No","NAR1","cytosolic Fe-S cluster assembly factor NAR1, putative"
"PBANKA_0112500","PBANKA_0112500.1","major facilitator superfamily-related transporter, putative","protein coding","No","MFR1","major facilitator superfamily-related transporter, putative"
"PBANKA_0112600","PBANKA_0112600.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0112621","PBANKA_0112621.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0112641","PBANKA_0112641.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0112661","PBANKA_0112661.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0112661","PBANKA_0112661.2","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0112681","PBANKA_0112681.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0112701","PBANKA_0112701.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0112721","PBANKA_0112721.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_0200400","PBANKA_0200400.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_0200500","PBANKA_0200500.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0200600","PBANKA_0200600.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0200650","PBANKA_0200650.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0200670","PBANKA_0200670.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0200700","PBANKA_0200700.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0200751","PBANKA_0200751.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0201000","PBANKA_0201000.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0201051","PBANKA_0201051.1","conserved rodent malaria protein, unknown function","protein coding","No","N/A","conserved rodent malaria protein, unknown function"
"PBANKA_0201100","PBANKA_0201100.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0201200","PBANKA_0201200.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_0201250","PBANKA_0201250.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0201300","PBANKA_0201300.1","lysophospholipase, putative","protein coding","No","N/A","lysophospholipase, putative"
"PBANKA_0201340","PBANKA_0201340.1","fam-c protein","protein coding","No","N/A","fam-c protein"
"PBANKA_0201360","PBANKA_0201360.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0201400","PBANKA_0201400.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_0201450","PBANKA_0201450.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0201500","PBANKA_0201500.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_0201600","PBANKA_0201600.1","early transcribed membrane protein","protein coding","No","ETRAMP","early transcribed membrane protein"
"PBANKA_0201700","PBANKA_0201700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0201800","PBANKA_0201800.1","TatD-like deoxyribonuclease","protein coding","No","TatD","TatD-like deoxyribonuclease"
"PBANKA_0201900","PBANKA_0201900.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0202000","PBANKA_0202000.1","eukaryotic translation initiation factor 4E, putative","protein coding","No","N/A","eukaryotic translation initiation factor 4E, putative"
"PBANKA_0202100","PBANKA_0202100.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0202200","PBANKA_0202200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0202300","PBANKA_0202300.1","UMP-CMP kinase, putative","protein coding","No","N/A","UMP-CMP kinase, putative"
"PBANKA_0202400","PBANKA_0202400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0202500","PBANKA_0202500.1","P-loop containing nucleoside triphosphate hydrolase, putative","protein coding","No","N/A","P-loop containing nucleoside triphosphate hydrolase, putative"
"PBANKA_0202600","PBANKA_0202600.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_0202700","PBANKA_0202700.1","kinesin-8B","protein coding","No","N/A","kinesin-8B"
"PBANKA_0202800","PBANKA_0202800.1","adenylate kinase-like protein 1, putative","protein coding","No","AKLP1","adenylate kinase-like protein 1, putative"
"PBANKA_0202900","PBANKA_0202900.1","transcription initiation factor TFIIB, putative","protein coding","No","N/A","transcription initiation factor TFIIB, putative"
"PBANKA_0203000","PBANKA_0203000.1","chromatin assembly factor 1 subunit C, putative","protein coding","No","CAF1C","chromatin assembly factor 1 subunit C, putative"
"PBANKA_0203100","PBANKA_0203100.1","phosphatidylinositol-4-phosphate 5-kinase, putative","protein coding","No","PIP5K","phosphatidylinositol-4-phosphate 5-kinase, putative"
"PBANKA_0203200","PBANKA_0203200.1","bromodomain protein 3, putative","protein coding","No","BDP3","bromodomain protein 3, putative"
"PBANKA_0203300","PBANKA_0203300.1","DNA-directed RNA polymerase II subunit RPB9, putative","protein coding","No","RPB9","DNA-directed RNA polymerase II subunit RPB9, putative"
