feature_symbol,product_description,gene_name,Unique_Core
PBANKA_0616700,NIMA related kinase 4,NEK4,Female
PBANKA_1232300,"UTP--glucose-1-phosphate uridylyltransferase, putative",null,Female
PBANKA_0813300,"conserved protein, unknown function",null,Female
PBANKA_1417400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1417200,"conserved protein, unknown function",null,Female
PBANKA_1325500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1424500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0110700,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1419400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1446000,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0307600,"syntaxin, putative",null,Female
PBANKA_1324800,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0712500,"dynactin subunit 6, putative",null,Female
PBANKA_1031500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0402600,inner membrane complex protein 1a,IMC1a,Female
PBANKA_0927300,palmitoyltransferase DHHC3,DHHC3,Female
PBANKA_1325100,"MORN repeat protein, putative",null,Female
PBANKA_0620600,"protein CPH1, putative",CPH1,Female
PBANKA_1353900,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1208000,"tubulin--tyrosine ligase, putative",null,Female
PBANKA_1004500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0314800,"conserved protein, unknown function",null,Female
PBANKA_0518000,"ribosomal protein L27, putative",RPL27,Female
PBANKA_1207400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1434900,"raf kinase inhibitor, putative",RKIP,Female
PBANKA_1002500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0617000,"LEM3/CDC50 family protein, putative",CDC50A,Female
PBANKA_0915400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1005600,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1232400,F-actin-capping protein subunit beta,CPbeta,Female
PBANKA_1429300,"integral membrane protein GPR180, putative",null,Female
PBANKA_0409500,"conserved protein, unknown function",null,Female
PBANKA_1412000,"conserved protein, unknown function",null,Female
PBANKA_1210900,"phosphoglucomutase, putative",null,Female
PBANKA_1245500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1142000,"conserved protein, unknown function",null,Female
PBANKA_1107000,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0811500,"conserved protein, unknown function",null,Female
PBANKA_1361300,"TBC domain protein, putative",null,Female
PBANKA_0820100,"PPPDE peptidase, putative",null,Female
PBANKA_0204300,"fatty acid elongation protein, GNS1/SUR4 family, putative, pseudogene",null,Female
PBANKA_0316400,"PIR protein, pseudogene",null,Female
PBANKA_0417100,"conserved protein, unknown function",null,Female
PBANKA_0702200,"translation initiation factor eIF-2B subunit alpha, putative",null,Female
PBANKA_0832000,"selenoprotein, putative",Sel2,Female
PBANKA_0918500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0919400,"conserved protein, unknown function",null,Female
PBANKA_1124400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1129200,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1138500,"exonuclease, putative",null,Female
PBANKA_1138800,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1145300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1201300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1229400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1313300,"conserved protein, unknown function",null,Female
PBANKA_1337300,"conserved protein, unknown function",null,Female
PBANKA_1414400,"exportin-T, putative",null,Female
PBANKA_1433900,"AP-2 complex subunit mu, putative",AP2-MU,Female
PBANKA_1445800,"ras-related protein Rab-2, putative",RAB2,Female
PBANKA_1446200,"mitosis protein dim1, putative",null,Female
PBANKA_1450000,"tetQ family GTPase, putative",null,Female
PBANKA_1451400,"protein-S-isoprenylcysteine O-methyltransferase, putative",null,Female
PBANKA_1460500,"serine/threonine protein kinase, putative",null,Female
PBANKA_1431400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1431500,"radial spoke head protein 9, putative",RSPH9,Male
PBANKA_0302900,"MORN repeat protein, putative",null,Male
PBANKA_1340400,"lactate dehydrogenase, putative",null,Male
PBANKA_1018200,"MORN repeat protein, putative",null,Male
PBANKA_0913600,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1325700,thioredoxin-like protein,TLP1,Male
PBANKA_1038700,"tetratricopeptide repeat protein, putative",null,Male
PBANKA_1421000,"calmodulin, putative",null,Male
PBANKA_0927700,"DDRGK domain-containing protein, putative",null,Male
PBANKA_1333100,"protein MGET, putative",null,Male
PBANKA_0602900,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0942300,"radial spoke head protein, putative",null,Male
PBANKA_0942400,"WD repeat-containing protein, putative",null,Male
PBANKA_0306100,6-cysteine protein P230,P230,Male
PBANKA_1203500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1329000,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0925400,"dynein heavy chain, putative",null,Male
PBANKA_1344200,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1349400,"DNA replication complex GINS protein, putative",null,Male
PBANKA_1420700,"MAATS1 domain-containing protein, putative",null,Male
PBANKA_1030400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1035700,"WD repeat-containing protein 65, putative",WDR65,Male
PBANKA_1321500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0902400,"kinesin-like protein, putative",null,Male
PBANKA_0902600,leucine-rich repeat protein,LRR10,Male
PBANKA_0911100,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1033700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1143100,"CLAMP domain-containing protein, putative",null,Male
PBANKA_0507900,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1316500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1212600,male gamete fusion factor HAP2,HAP2,Male
PBANKA_1018300,"dynein intermediate chain, putative",null,Male
PBANKA_1308100,calmodulin-like protein,null,Male
PBANKA_0705500,"ankyrin-repeat protein, putative",null,Male
PBANKA_0939300,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0202700,"kinesin-8, putative",null,Male
PBANKA_1125800,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0102700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1341400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0301800,"condensin-2 complex subunit H2, putative",null,Male
PBANKA_0416100,"dynein heavy chain, putative",MG1,Male
PBANKA_0510600,cell division cycle protein 20 homolog,CDC20,Male
PBANKA_1330000,"enkurin domain-containing protein, putative",null,Male
PBANKA_1300500,"tubulin epsilon chain, putative",null,Male
PBANKA_1013900,"PhIL1 interacting protein PIP3, putative",PIP3,Male
PBANKA_1133600,"dynein light chain, putative",null,Male
PBANKA_0502400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0804300,DNA mismatch repair protein MSH2,MSH2-2,Male
PBANKA_1420100,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0720000,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1425800,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0911000,"calcium-binding protein, putative",null,Male
PBANKA_1326200,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1110300,"WD repeat-containing protein, putative",null,Male
PBANKA_0313600,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0303000,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0904800,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0813600,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1413300,"ubiquitin-like protein, putative",null,Male
PBANKA_0801500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1336500,"CKK domain-containing protein, putative",null,Male
PBANKA_0811800,"actin-like protein, putative",ALP5a,Male
PBANKA_0213900,"dynein light chain, putative",null,Male
PBANKA_0600700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1405900,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1005800,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0902000,"dynein light chain, putative",null,Male
PBANKA_0943000,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1011700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0104400,"nucleoside diphosphate kinase, putative",null,Male
PBANKA_1331600,leucine-rich repeat protein,LRR14.1,Male
PBANKA_1328200,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0404300,"P-loop containing nucleoside triphosphate hydrolase, putative",null,Male
PBANKA_1307900,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0302800,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1009700,"ribonuclease H2 subunit B, putative",null,Male
PBANKA_1413600,"serine/threonine protein kinase PK9, putative",null,Male
PBANKA_1328900,potassium channel K2,K2,Male
PBANKA_0905400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0413400,"zinc finger protein, putative",null,Male
PBANKA_1350200,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1013600,"PhIL1 interacting protein PIP2, putative",PIP2,Male
PBANKA_0903100,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0933600,"dynein light chain Tctex-type, putative",null,Male
PBANKA_1026700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0610700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0934600,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0607900,"cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative",PDEalpha,Male
PBANKA_1427700,"RuvB-like helicase 1, putative",RUVB1,Male
PBANKA_1029500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0716500,"RNA-binding protein, putative",null,Male
PBANKA_1458200,"5-formyltetrahydrofolate cyclo-ligase, putative",null,Male
PBANKA_0832700,"adenylate kinase-like protein 2, putative",AKLP2,Male
PBANKA_1451900,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0833700,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1427600,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1434300,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0824600,"conserved protein, unknown function",null,Male
PBANKA_1014200,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0927400,"heat shock factor-binding protein 1, putative",HSBP,Male
PBANKA_0513500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0410200,"tetratricopeptide repeat protein, putative",null,Male
PBANKA_1101500,anaphase-promoting complex subunit 3,APC3,Male
PBANKA_0301400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0307300,"50S ribosomal protein L33, putative",null,Male
PBANKA_0412100,serine/threonine protein phosphatase 6,PPP6,Male
PBANKA_0611500,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_0702100,"folate transporter 1, putative",FT1,Male
PBANKA_1007500,"actin-like protein, putative",ALP5b,Male
PBANKA_1209000,"eukaryotic translation initiation factor 2 subunit beta, putative",eIF2beta,Male
PBANKA_1214100,"tubulin binding cofactor c, putative",null,Male
PBANKA_1239400,"50S ribosomal protein L12, apicoplast, putative",null,Male
PBANKA_1361400,"conserved Plasmodium protein, unknown function",null,Male
PBANKA_1421400,"C-Myc-binding protein, putative",MYCBP,NA
PBANKA_1449000,"microgamete surface protein MiGS, putative",MiGS,NA
PBANKA_1409600,"meiosis-specific nuclear structural protein 1, putative",null,NA
PBANKA_1202300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0415800,"WD repeat-containing protein 66, putative",WDR66,NA
PBANKA_1037900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1361600,"E1-E2 ATPase, putative",null,NA
PBANKA_0806800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1361500,"WD repeat-containing protein 16, putative",WDR16,NA
PBANKA_0601200,"dynein heavy chain, putative",null,NA
PBANKA_0600600,"NIMA related kinase 3, putative",NEK3,NA
PBANKA_1119800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1429100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1108000,"conserved protein, unknown function",null,NA
PBANKA_1125300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1352100,"SprT-like domain-containing protein, putative",null,NA
PBANKA_1402400,"conserved protein, unknown function",null,NA
PBANKA_1039000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1208900,"ankyrin-repeat protein, putative",null,NA
PBANKA_1038600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1458800,"kinesin, putative",null,NA
PBANKA_0828900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1301800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1330900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1022400,"dynein light chain, putative",null,NA
PBANKA_0934700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0720100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1455800,"GAS8-like protein, putative",null,NA
PBANKA_1213200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0830900,leucine-rich repeat protein,LRR8,NA
PBANKA_1038200,nuclear formin-like protein MISFIT,MISFIT,NA
PBANKA_0707200,"alpha/beta hydrolase, putative",null,NA
PBANKA_1405000,"MORN repeat protein, putative",null,NA
PBANKA_0521200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1029400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1109600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0507300,"dynein heavy chain, putative",null,NA
PBANKA_0941400,centrin-4,CEN4,NA
PBANKA_1326100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0708100,dynein light chain 1,DLC1,NA
PBANKA_0600900,"conserved protein, unknown function",null,NA
PBANKA_0936800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0622000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0934900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1331300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1137500,actin-depolymerizing factor 2,ADF2,NA
PBANKA_0708200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0508600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1034100,"FANCJ-like helicase, putative",FANCJ,NA
PBANKA_1333000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0918600,"phosphatidylinositol-4-phosphate 5-kinase, putative",null,NA
PBANKA_1038500,"dynein light chain, putative",null,NA
PBANKA_1329200,"dynein beta chain, putative",null,NA
PBANKA_1304500,protein SOC3,SOC3,NA
PBANKA_0606300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0920700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1430900,"SUN domain-containing protein, putative",null,NA
PBANKA_0411300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0836900,PIR protein,null,NA
PBANKA_0904600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1308000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1208800,"MORN repeat protein, putative",null,NA
PBANKA_0603000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0815500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1102300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1302000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1200400,PIR protein,null,NA
PBANKA_1335200,"pre-mRNA-splicing factor ISY1, putative",ISY1,NA
PBANKA_1365700,PIR protein,null,NA
PBANKA_0600086,PIR protein,null,NA
PBANKA_0107200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0001001,PIR protein,null,NA
PBANKA_1343100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1129600,"TPH domain-containing protein, putative",null,NA
PBANKA_0623600,PIR protein,null,NA
PBANKA_1447900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1356400,"DNA repair protein RAD5, putative",RAD5,NA
PBANKA_0913000,"condensin-2 complex subunit D3, putative",null,NA
PBANKA_1359600,6-cysteine protein,P48/45,NA
PBANKA_0411950,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1040541,PIR protein,null,NA
PBANKA_0509700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0933700,mitogen-activated protein kinase 2,MAPK2,NA
PBANKA_1236600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0406200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0522100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1246400,PIR protein,null,NA
PBANKA_0825800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1304400,"allantoicase, putative",null,NA
PBANKA_0925100,leucine-rich repeat protein,LRR11,NA
PBANKA_0937900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0907500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1432400,perforin-like protein 2,PLP2,NA
PBANKA_0721100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0504800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0614700,"conserved Plasmodium membrane protein, unknown function",null,NA
PBANKA_0910800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_0507800,"conserved protein, unknown function",null,NA
PBANKA_0207100,"EF hand domain-containing protein, putative",null,NA
PBANKA_1431300,"conserved protein, unknown function",null,NA
