P. berghei current ID,P. berghei previous ID,P. falciparum ID,Name,Product,Phenotype,Relative growth rate,Confidence,Expected variance,RGR CI low,RGR CI high,Times analysed,Construct
PBANKA_0104300,PBANKA_010430,PF3D7_0605500,,"cyclin dependent kinase binding protein, putative",Dispensable,0.91,4.9,0.008,0.74,1.09,2,PbGEM-266515
PBANKA_0104500,PBANKA_010450,PF3D7_0605700,,"conserved Plasmodium protein, unknown function",Dispensable,0.95,4.7,0.009,0.76,1.14,1,PbGEM-537835
PBANKA_0104600,PBANKA_010460,PF3D7_0605800,RAD50,"DNA repair protein RAD50, putative",Dispensable,0.98,5.7,0.003,0.86,1.09,2,PbGEM-005714
PBANKA_0104700,PBANKA_010470,PF3D7_0605900,,"long chain polyunsaturated fatty acid elongation enzyme, putative",Dispensable,0.83,4.8,0.008,0.65,1.01,1,PbGEM-266563
PBANKA_0104800,PBANKA_010480,PF3D7_0606000,,"conserved Plasmodium protein, unknown function",Essential,0.04,8,0,0,0.08,2,PbGEM-327651
PBANKA_0104900,PBANKA_010490,PF3D7_0606100,,"RNA-binding protein, putative",Slow,0.36,5.9,0.003,0.25,0.47,2,PbGEM-327659
PBANKA_0105100,PBANKA_010510,PF3D7_0606400,,"conserved Plasmodium protein, unknown function",Dispensable,1.05,5.2,0.006,0.9,1.2,1,PbGEM-005773
PBANKA_0105200,PBANKA_010520,PF3D7_0606500,,"polypyrimidine tract-binding protein, putative",Dispensable,0.86,5.1,0.006,0.7,1.02,2,PbGEM-227028
PBANKA_0105300,PBANKA_010530,PF3D7_0606600,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,4.3,0.013,0.67,1.13,2,PbGEM-327675
PBANKA_0105400,PBANKA_010540,PF3D7_0606700,,"coatomer alpha subunit, putative",Essential,0.04,5.8,0.003,-0.07,0.15,2,PbGEM-266659
PBANKA_0105500,PBANKA_010550,PF3D7_0606900,GLP2,glutaredoxin-like protein,Slow,0.23,6.4,0.002,0.15,0.31,2,PbGEM-327683
PBANKA_0105600,PBANKA_010560,PF3D7_0607000,,"translation initiation factor IF-2, putative",Essential,0.11,5.2,0.006,-0.04,0.26,2,PbGEM-533139
PBANKA_0105700,PBANKA_010570,PF3D7_0607100,,"MYND finger protein, putative",Dispensable,0.97,5.4,0.005,0.83,1.1,1,PbGEM-227102
PBANKA_0105800,PBANKA_010580,PF3D7_0607200,,"RING zinc finger protein, putative",Dispensable,0.98,5.1,0.006,0.82,1.14,1,PbGEM-266691
PBANKA_0105900,PBANKA_010590,PF3D7_0607300,UROD,"uroporphyrinogen III decarboxylase, putative",Dispensable,0.77,4.1,0.017,0.51,1.03,1,PbGEM-537843
PBANKA_0106000,PBANKA_010600,PF3D7_0607400,,"G-protein associated signal transduction protein, putative",Dispensable,0.82,4.9,0.007,0.65,0.99,2,PbGEM-327699
PBANKA_0106100,PBANKA_010610,PF3D7_0607500,COQ2,"para-hydroxybenzoate--polyprenyltransferase, putative",Essential,0.09,6.7,0.001,0.02,0.16,2,PbGEM-266731
PBANKA_0106200,PBANKA_010620,PF3D7_0607600,SAS6,"spindle assembly abnormal protein 6, putative",Dispensable,1.02,5.9,0.003,0.91,1.12,1,PbGEM-327715
PBANKA_0106300,PBANKA_010630,PF3D7_0607700,,"conserved Plasmodium protein, unknown function",Slow,0.8,5.2,0.005,0.65,0.94,3,PbGEM-327723
PBANKA_0106400,PBANKA_010640,PF3D7_0607800,,"GTP-binding protein, putative",Essential,0.09,6.5,0.002,0.02,0.17,2,PbGEM-327731
PBANKA_0106600,PBANKA_010660,PF3D7_0608000,DPH7,"diphthine methyltransferase, putative",Slow,0.82,5.3,0.005,0.68,0.97,1,PbGEM-266819
PBANKA_0106700,PBANKA_010670,PF3D7_0608100,,"conserved Plasmodium protein, unknown function",Essential,0.13,5.8,0.003,0.02,0.24,2,PbGEM-266835
PBANKA_0106900,PBANKA_010690,,,"conserved Plasmodium protein, unknown function",Essential,0.12,5.6,0.004,0,0.25,2,PbGEM-327747
PBANKA_0107000,PBANKA_010700,PF3D7_0608400,,"conserved Plasmodium protein, unknown function",Essential,0.16,6.1,0.002,0.07,0.26,2,PbGEM-266891
PBANKA_0107200,PBANKA_010720,,,"conserved Plasmodium protein, unknown function",Dispensable,1.05,6,0.002,0.95,1.15,1,PbGEM-327755
PBANKA_0107300,PBANKA_010730,PF3D7_0608700,CCT6,"T-complex protein 1 subunit zeta, putative",Slow,0.63,4.3,0.014,0.4,0.87,2,PbGEM-266931
PBANKA_0107400,PBANKA_010740,PF3D7_0608800,OAT,"ornithine aminotransferase, putative",Dispensable,0.94,5.1,0.006,0.79,1.1,1,PbGEM-006127
PBANKA_0107700,PBANKA_010770,PF3D7_0609100,,"permease, putative",Slow,0.42,6,0.003,0.32,0.52,3,PbGEM-006154
PBANKA_0107800,PBANKA_010780,PF3D7_0609200,,"citrate synthase-like protein, putative",Essential,0.18,6.3,0.002,0.09,0.26,3,PbGEM-266971
PBANKA_0107900,PBANKA_010790,PF3D7_0609300,,"conserved Plasmodium protein, unknown function",Essential,0.13,4.3,0.013,-0.1,0.36,2,PbGEM-266987
PBANKA_0108200,PBANKA_010820,PF3D7_0609700,,"conserved Plasmodium protein, unknown function",Slow,0.56,4.9,0.008,0.38,0.74,2,PbGEM-327787
PBANKA_0108700,PBANKA_010870,PF3D7_0610200,RBM25,"RNA-binding protein 25, putative",Slow,0.32,6.6,0.001,0.24,0.39,2,PbGEM-327795
PBANKA_0108800,PBANKA_010880,PF3D7_0610400,,"histone H3, putative",Essential,0.16,5.9,0.003,0.06,0.27,2,PbGEM-533171
PBANKA_0108900,PBANKA_010890,PF3D7_0610500,,"peptidyl-tRNA hydrolase PTRHD1, putative",Dispensable,1.04,5.1,0.006,0.89,1.2,1,PbGEM-267067
PBANKA_0109100,PBANKA_010910,PF3D7_0610800,TK,"transketolase, putative",Essential,0.07,4.9,0.007,-0.11,0.24,1,PbGEM-341668
PBANKA_0109200,PBANKA_010920,PF3D7_0610900,SPT5,"transcription elongation factor SPT5, putative",Slow,0.74,5.2,0.006,0.59,0.89,2,PbGEM-265388
PBANKA_0109400,PBANKA_010940,PF3D7_0611100,SDH3,"succinate dehydrogenase subunit 3, putative",Dispensable,0.94,4.8,0.009,0.76,1.13,1,PbGEM-267115
PBANKA_0109500,PBANKA_010950,PF3D7_0611200,ApiAP2,"transcription factor with AP2 domain(s), putative",Slow,0.81,6.4,0.002,0.73,0.9,2,"PbGEM-081709,PbGEM-227604"
PBANKA_0109600,PBANKA_010960,PF3D7_0611300,,"conserved Plasmodium protein, unknown function",Dispensable,0.91,5.8,0.003,0.8,1.02,1,PbGEM-267131
PBANKA_0109700,PBANKA_010970,PF3D7_0611400,,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin,Slow,0.72,4.8,0.009,0.53,0.91,2,PbGEM-267147
PBANKA_0110000,PBANKA_011000,PF3D7_0611700,,"60S ribosomal protein L39, putative",Slow,0.62,4.7,0.009,0.43,0.81,2,PbGEM-267187
PBANKA_0110100,PBANKA_011010,PF3D7_0611800,,"conserved Plasmodium protein, unknown function",Slow,0.39,4.5,0.011,0.18,0.6,2,PbGEM-081763
PBANKA_0110300,PBANKA_011030,PF3D7_0612000,,"conserved Plasmodium protein, unknown function",Essential,0.17,4.1,0.016,-0.08,0.42,2,PbGEM-267219
PBANKA_0110400,PBANKA_011040,PF3D7_0612100,EIF3L,"eukaryotic translation initiation factor 3 subunit L, putative",Slow,0.82,6.1,0.002,0.72,0.91,2,PbGEM-267235
PBANKA_0111100,PBANKA_011110,PF3D7_0612800,P12p,6-cysteine protein,Dispensable,0.72,2.8,0.063,0.22,1.23,2,PbGEM-533195
PBANKA_0111200,PBANKA_011120,PF3D7_0612900,,"nucleolar GTP-binding protein 1, putative",Essential,0.27,4.5,0.011,0.06,0.48,2,PbGEM-327827
PBANKA_0111300,PBANKA_011130,,,"conserved Plasmodium protein, unknown function",Essential,0.12,6.5,0.001,0.04,0.19,2,PbGEM-327835
PBANKA_0111600,PBANKA_011160,PF3D7_0613300,ROP14,"rhoptry protein ROP14, putative",Dispensable,1.01,6.1,0.002,0.91,1.1,2,PbGEM-267395
PBANKA_0112100,PBANKA_011210,PF3D7_0613800,ApiAP2,"transcription factor with AP2 domain(s), putative",Essential,0.15,4.8,0.008,-0.04,0.33,2,PbGEM-226461
PBANKA_0112500,PBANKA_011250,PF3D7_0614300,,"organic anion transporter, putative",Dispensable,0.93,5.4,0.005,0.8,1.07,2,PbGEM-227922
PBANKA_0007401,PBANKA_020010,,,BIR protein;PIR protein;,Dispensable,0.99,6,0.003,0.89,1.09,2,PbGEM-327875
PBANKA_0600011.1,PBANKA_020010,,,BIR protein;PIR protein;,Dispensable,0.99,6,0.003,0.89,1.09,2,PbGEM-327875
PBANKA_1300071,PBANKA_020010,,,BIR protein;PIR protein;,Dispensable,0.99,6,0.003,0.89,1.09,2,PbGEM-327875
PBANKA_0008201.1,PBANKA_020010,,,BIR protein;PIR protein;,Dispensable,0.99,6,0.003,0.89,1.09,2,PbGEM-327875
PBANKA_0001601,PBANKA_020020,,,fam-a protein;,Dispensable,0.97,5.2,0.006,0.82,1.12,1,PbGEM-533227
PBANKA_1300011.1,PBANKA_020020,,,fam-a protein;,Dispensable,0.97,5.2,0.006,0.82,1.12,1,PbGEM-533227
PBANKA_0007501,PBANKA_020020,,,fam-a protein;,Dispensable,0.97,5.2,0.006,0.82,1.12,1,PbGEM-533227
PBANKA_0600021.1,PBANKA_020020,,,fam-a protein;,Dispensable,0.97,5.2,0.006,0.82,1.12,1,PbGEM-533227
PBANKA_0008101.1,PBANKA_020020,,,fam-a protein;,Dispensable,0.97,5.2,0.006,0.82,1.12,1,PbGEM-533227
PBANKA_0201600,PBANKA_020160,,ETRAMP,early transcribed membrane protein,Essential,0.12,4,0.019,-0.16,0.4,2,PbGEM-533243
PBANKA_0202300,PBANKA_020230,PF3D7_0111500,,"UMP-CMP kinase, putative",Insufficient data,0.48,2.5,0.079,-0.08,1.04,2,PbGEM-006938
PBANKA_0202500,PBANKA_020250,PF3D7_0111300,,"replication factor c protein, putative",Essential,0.09,6.3,0.002,0.01,0.18,2,PbGEM-265492
PBANKA_0202600,PBANKA_020260,PF3D7_0111200,,"conserved Plasmodium protein, unknown function",Slow,0.39,5.1,0.006,0.23,0.54,2,PbGEM-327907
PBANKA_0202700,PBANKA_020270,PF3D7_0111000,,"kinesin-8, putative",Dispensable,0.97,5.1,0.006,0.81,1.13,2,PbGEM-267699
PBANKA_0202900,PBANKA_020290,PF3D7_0110800,,"transcription initiation factor TFIIB, putative",Slow,0.31,4.5,0.011,0.1,0.52,2,PbGEM-228217
PBANKA_0203000,PBANKA_020300,PF3D7_0110700,,"chromatin assembly factor 1 protein WD40 domain, putative",Slow,0.59,6,0.003,0.48,0.69,2,PbGEM-264972
PBANKA_0203100,PBANKA_020310,PF3D7_0110600,PIP5K,"phosphatidylinositol-4-phosphate 5-kinase, putative",Essential,0.14,4.7,0.009,-0.05,0.33,2,PbGEM-341676
PBANKA_0203300,PBANKA_020330,PF3D7_0110400,RPB9,"DNA-directed RNA polymerase II subunit RPB9, putative",Slow,0.36,4.4,0.012,0.14,0.58,2,PbGEM-007091
PBANKA_0203400,PBANKA_020340,PF3D7_0110200,ERV1,"FAD-linked sulfhydryl oxidase ERV1, putative",Essential,0.07,6.3,0.002,-0.02,0.15,2,PbGEM-327931
PBANKA_0203500,PBANKA_020350,PF3D7_0110100,,"selenocysteine-specific elongation factor selB homologue, putative",Dispensable,0.89,4.8,0.008,0.7,1.07,2,PbGEM-267803
PBANKA_0203650,PBANKA_020370,,,"conserved Plasmodium protein, unknown function;phosphatidate cytidylyltransferase, putative",Essential,0.01,4.6,0.01,-0.19,0.21,2,PbGEM-228308
PBANKA_0203750,PBANKA_020370,,,"conserved Plasmodium protein, unknown function;phosphatidate cytidylyltransferase, putative",Essential,0.01,4.6,0.01,-0.19,0.21,2,PbGEM-228308
PBANKA_0203800,PBANKA_020380,PF3D7_0109800,,"phenylalanine--tRNA ligase alpha subunit, putative",Essential,0.15,3.1,0.045,-0.27,0.58,3,PbGEM-007164
PBANKA_0203900,PBANKA_020390,PF3D7_0109700,,"conserved protein, unknown function",Slow,0.28,5.9,0.003,0.18,0.39,2,PbGEM-267843
PBANKA_0204200,PBANKA_020420,PF3D7_0109400,,"tubulin-specific chaperone a, putative",Dispensable,0.96,5.6,0.004,0.83,1.08,1,PbGEM-267883
PBANKA_0204600,PBANKA_020460,PF3D7_0109000,PHIL1,"photosensitized INA-labeled protein PHIL1, putative",Essential,0.3,2.9,0.057,-0.17,0.78,2,PbGEM-082095
PBANKA_0205100,PBANKA_020510,PF3D7_0108400.1,,"mitochondrial carrier protein, putative",Dispensable,0.99,5.4,0.005,0.85,1.12,1,PbGEM-265404
PBANKA_0205300,PBANKA_020530,PF3D7_0108100,,"conserved Plasmodium protein, unknown function",Essential,0.05,8,0,0.01,0.08,2,PbGEM-328003
PBANKA_0205800,PBANKA_020580,PF3D7_0107600,IK2,"serine/threonine protein kinase, putative",Slow,0.25,5.1,0.006,0.1,0.4,5,PbGEM-082161
PBANKA_0205900,PBANKA_020590,PF3D7_0107500,,"lipid/sterol:H+ symporter, putative",Essential,0.1,1,0.153,-0.49,1.08,3,PbGEM-228651
PBANKA_0206100,PBANKA_020610,PF3D7_0107200,,"carbon catabolite repressor protein 4, putative",Dispensable,0.92,5,0.007,0.76,1.09,1,PbGEM-268131
PBANKA_0206200,PBANKA_020620,PF3D7_0107100,,"conserved Plasmodium protein, unknown function",Essential,0.15,7.2,0.001,0.1,0.21,2,PbGEM-268147
PBANKA_0206300,PBANKA_020630,PF3D7_0107000,CEN1,"centrin-1, putative",Essential,0.18,5.1,0.006,0.03,0.33,2,PbGEM-268163
PBANKA_0206400,PBANKA_020640,PF3D7_0106900,IspD,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",Essential,0.1,3.4,0.034,-0.26,0.47,2,PbGEM-007536
PBANKA_0206500,PBANKA_020650,PF3D7_0106800,RAB5c,"ras-related protein Rab-5C, putative",Dispensable,0.74,3.3,0.035,0.36,1.11,3,PbGEM-228772
PBANKA_0206600,PBANKA_020660,PF3D7_0106700,,"asparagine and aspartate rich protein 2, putative",Essential,0.09,5.9,0.003,-0.01,0.19,2,PbGEM-328035
PBANKA_0206700,PBANKA_020670,PF3D7_0106600,,"conserved Plasmodium protein, unknown function",Dispensable,0.85,5.1,0.006,0.7,1.01,2,PbGEM-268195
PBANKA_0206800,PBANKA_020680,PF3D7_0106500,,"conserved Plasmodium protein, unknown function",Essential,0.02,7.3,0.001,-0.03,0.07,2,PbGEM-268219
PBANKA_0206900,PBANKA_020690,PF3D7_0106400,,"pre-rRNA-processing protein TSR2, putative",Essential,0.07,6.8,0.001,0.01,0.14,1,PbGEM-533307
PBANKA_0207000,PBANKA_020700,PF3D7_0106300,SERCA,"calcium-transporting ATPase, putative",Essential,0.1,1,Inf,NA,NA,2,PbGEM-268267
PBANKA_0207100,PBANKA_020710,PF3D7_0106200,,"conserved Plasmodium protein, unknown function",Slow,0.47,6,0.003,0.36,0.57,2,PbGEM-268283
PBANKA_0207200,PBANKA_020720,PF3D7_0106100,,"V-type proton ATPase subunit C, putative",Essential,0.2,4.9,0.007,0.02,0.37,2,PbGEM-341692
PBANKA_0207300,PBANKA_020730,PF3D7_0106000,,"conserved Plasmodium protein, unknown function",Dispensable,0.99,5.1,0.006,0.83,1.14,1,PbGEM-268307
PBANKA_0207500,PBANKA_020750,PF3D7_0105800,,"conserved Plasmodium protein, unknown function",Essential,0.09,5,0.007,-0.07,0.26,2,PbGEM-268323
PBANKA_0207600,PBANKA_020760,,,"asparagine-rich antigen, putative",Essential,0.48,3.2,0.043,0.07,0.89,2,PbGEM-082330
PBANKA_0207800,PBANKA_020780,PF3D7_0105500,,"conserved Plasmodium protein, unknown function",Essential,0.07,7.8,0,0.03,0.11,2,PbGEM-268363
PBANKA_0207900,PBANKA_020790,PF3D7_0105400.1,,"conserved Plasmodium protein, unknown function",Slow,0.29,5,0.007,0.12,0.45,2,PbGEM-268387
PBANKA_0208100,PBANKA_020810,PF3D7_0105200,,"RAP protein, putative",Essential,0.07,6.4,0.002,-0.02,0.15,2,PbGEM-268427
PBANKA_0208300,PBANKA_020830,PF3D7_0104800,NPT1,novel putative transporter 1,Dispensable,0.95,5.4,0.004,0.82,1.09,1,PbGEM-229203
PBANKA_0208400,PBANKA_020840,PF3D7_0104700,,"transporter, putative",Dispensable,0.99,6.2,0.002,0.9,1.08,1,PbGEM-229220
PBANKA_0208500,PBANKA_020850,PF3D7_0104600,,"conserved Plasmodium protein, unknown function",Essential,0.11,7.5,0.001,0.06,0.16,2,PbGEM-007823
PBANKA_0208900,PBANKA_020890,PF3D7_0104200,,"StAR-related lipid transfer protein, putative",Essential,0.1,4.9,0.007,-0.07,0.27,2,PbGEM-268539
PBANKA_0209000,PBANKA_020900,PF3D7_0104100,,"conserved Plasmodium protein, unknown function",Slow,0.48,5.1,0.006,0.32,0.63,1,PbGEM-328099
PBANKA_0209200,PBANKA_020920,PF3D7_0103900,PIESP15,parasite-infected erythrocyte surface protein,Dispensable,0.97,5.9,0.003,0.87,1.08,1,PbGEM-268595
PBANKA_0209600,PBANKA_020960,PF3D7_0103500,,"conserved Plasmodium protein, unknown function",Dispensable,0.87,3.4,0.033,0.51,1.24,2,PbGEM-328107
PBANKA_0209700,PBANKA_020970,PF3D7_0103400,,"zinc-carboxypeptidase, putative",Dispensable,0.99,6.4,0.002,0.9,1.07,2,PbGEM-082477
PBANKA_0209900,PBANKA_020990,PF3D7_0103200,NT4,"nucleoside transporter 4, putative",Dispensable,1.03,6.5,0.002,0.95,1.11,1,PbGEM-328115
PBANKA_0210100,PBANKA_021010,PF3D7_0103000,,"vacuolar protein sorting-associated protein VTA1, putative",Dispensable,0.99,5.8,0.003,0.88,1.1,1,PbGEM-268731
PBANKA_0210200,PBANKA_021020,PF3D7_0102900,,"aspartate--tRNA ligase, putative",Essential,0.17,3.9,0.021,-0.12,0.46,2,PbGEM-082529
PBANKA_0210300,PBANKA_021030,PF3D7_0102800,,"conserved Plasmodium protein, unknown function",Dispensable,0.72,2.8,0.064,0.21,1.22,1,PbGEM-533331
PBANKA_0210400,PBANKA_021040,PF3D7_0726300,PMS1,"DNA mismatch repair protein PMS1, putative",Essential,0.18,4.1,0.016,-0.08,0.43,2,PbGEM-341716
PBANKA_0210600,PBANKA_021060,PF3D7_0726500,,"ubiquitin carboxyl-terminal hydrolase, putative",Essential,0.35,3.6,0.027,0.03,0.68,2,PbGEM-341724
PBANKA_0210700,PBANKA_021070,PF3D7_0726600,,"conserved Plasmodium protein, unknown function",Essential,0.03,5.9,0.003,-0.07,0.14,2,PbGEM-268787
PBANKA_0211000,PBANKA_021100,PF3D7_0726900,TIM50,"mitochondrial import inner membrane translocase subunit TIM50, putative",Essential,0.03,8.7,0,0.01,0.06,1,PbGEM-537915
PBANKA_0211100,PBANKA_021110,PF3D7_0727000,VPS53,"vacuolar protein sorting-associated protein 53, putative",Essential,0.09,5.9,0.003,-0.02,0.19,2,PbGEM-328155
PBANKA_0211200,PBANKA_021120,PF3D7_0727100,,"conserved Plasmodium protein, unknown function",Essential,0.06,8.2,0,0.02,0.09,2,PbGEM-268851
PBANKA_0211300,PBANKA_021130,PF3D7_0727200,NFS,"cysteine desulfurase, putative",Essential,0.01,6.2,0.002,-0.08,0.1,2,PbGEM-341732
PBANKA_0211400,PBANKA_021140,PF3D7_0727300,DNMT,"DNA (cytosine-5)-methyltransferase, putative",Dispensable,0.98,5.9,0.003,0.87,1.08,1,PbGEM-082644
PBANKA_0211500,PBANKA_021150,PF3D7_0727400,,"proteasome subunit alpha type-5, putative",Essential,0.25,4.5,0.012,0.04,0.47,3,PbGEM-341740
PBANKA_0211600,PBANKA_021160,PF3D7_0727500,,"conserved Plasmodium protein, unknown function",Essential,0.22,3.9,0.02,-0.06,0.51,2,PbGEM-082662
PBANKA_0211800,PBANKA_021180,PF3D7_0727700,,"conserved Plasmodium protein, unknown function",Essential,0.15,4.1,0.016,-0.1,0.41,2,PbGEM-008253
PBANKA_0211900,PBANKA_021190,PF3D7_0727800,,"cation transporting ATPase, putative",Essential,0.1,1,0.107,-0.36,0.95,2,PbGEM-226941
PBANKA_0212000,PBANKA_021200,PF3D7_0727900,,"conserved Plasmodium protein, unknown function",Dispensable,1,4.9,0.007,0.83,1.17,2,PbGEM-268883
PBANKA_0212200,PBANKA_021220,PF3D7_0728100,,"conserved Plasmodium protein, unknown function",Essential,0.06,5.7,0.003,-0.06,0.17,2,PbGEM-328203
PBANKA_0212300,PBANKA_021230,PF3D7_0728200,ALP3,"actin-like protein, putative",Dispensable,0.93,5.5,0.004,0.81,1.06,1,PbGEM-227009
PBANKA_0212400,PBANKA_021240,PF3D7_0728300,,"conserved Plasmodium protein, unknown function",Essential,0.08,6.6,0.001,0,0.15,2,PbGEM-328211
PBANKA_0212900,PBANKA_021290,PF3D7_0728800,,"conserved Plasmodium protein, unknown function",Essential,0.09,6.8,0.001,0.03,0.16,2,PbGEM-082709
PBANKA_0213000,PBANKA_021300,PF3D7_0728900,,"RNA-binding protein, putative",Essential,0.03,7.5,0.001,-0.01,0.08,1,PbGEM-533363
PBANKA_0213300,PBANKA_021330,PF3D7_0729200,AOP,"1-cys peroxiredoxin, putative",Dispensable,0.95,6.1,0.002,0.86,1.04,1,PbGEM-341748
PBANKA_0213500,PBANKA_021350,PF3D7_0729400,,"ribosome biogenesis protein BRX1 homolog, putative",Essential,0.24,3.8,0.022,-0.06,0.53,2,PbGEM-008508
PBANKA_0213600,PBANKA_021360,PF3D7_0729500,,"mRNA (N6-adenosine)-methyltransferase, putative",Essential,0.15,4.6,0.01,-0.05,0.35,2,PbGEM-341756
PBANKA_0213900,PBANKA_021390,PF3D7_0729800,,"dynein light chain, putative",Dispensable,1.03,5.4,0.005,0.89,1.16,1,PbGEM-227253
PBANKA_0214200,PBANKA_021420,PF3D7_0730100,,"tRNA pseudouridine synthase D, putative",Dispensable,1.02,5.6,0.004,0.89,1.14,1,PbGEM-008620
PBANKA_0214400,PBANKA_021440,PF3D7_0730300,AP2-L,transcription factor with AP2 domain(s),Slow,0.72,5.1,0.006,0.57,0.87,2,PbGEM-328299
PBANKA_0214500,PBANKA_021450,PF3D7_0730400,,"conserved Plasmodium protein, unknown function",Dispensable,0.97,7,0.001,0.91,1.03,2,PbGEM-269163
PBANKA_0214600,PBANKA_021460,,,"Plasmodium exported protein, unknown function",Slow,0.81,5.5,0.004,0.69,0.94,2,PbGEM-269179
PBANKA_0316800,PBANKA_021550,,EMAP2,erythrocyte membrane associated protein 2,Dispensable,1.08,4.8,0.008,0.91,1.26,1,PbGEM-328323
PBANKA_0300600,PBANKA_030060,,,"Plasmodium exported protein, unknown function",Dispensable,0.85,4.5,0.011,0.64,1.06,2,PbGEM-328347
PBANKA_0300700,PBANKA_030070,PF3D7_0202600.1,,"conserved Plasmodium protein, unknown function",Essential,0.08,5.3,0.005,-0.07,0.22,2,PbGEM-227516
PBANKA_0300800,PBANKA_030080,PF3D7_0202700,OPP,"octaprenyl pyrophosphate synthase, putative",Essential,0.07,6.2,0.002,-0.02,0.16,2,PbGEM-269307
PBANKA_0301000,PBANKA_030100,,ROPE,"repetitive organellar protein, putative",Dispensable,0.94,6.4,0.002,0.86,1.02,1,PbGEM-328355
PBANKA_0301100,PBANKA_030110,PF3D7_0203200,,"conserved Plasmodium protein, unknown function",Essential,0.07,5.3,0.005,-0.07,0.21,3,PbGEM-269371
PBANKA_0301400,PBANKA_030140,PF3D7_0203600,,"conserved Plasmodium protein, unknown function",Dispensable,0.95,5.7,0.003,0.84,1.07,1,PbGEM-328363
PBANKA_0301500,PBANKA_030150,PF3D7_0203700,MAK16,"protein MAK16, putative",Essential,0.09,6.1,0.002,0,0.19,2,PbGEM-269435
PBANKA_0301700,PBANKA_030170,PF3D7_0203900,,"5'-3' exonuclease, putative",Slow,0.22,5.5,0.004,0.09,0.35,3,PbGEM-227680
PBANKA_0301800,PBANKA_030180,PF3D7_0204000,,"conserved Plasmodium protein, unknown function",Dispensable,1.02,6.4,0.002,0.93,1.1,1,PbGEM-269451
