GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_0315800.1	"ribosome associated membrane protein RAMP4, putative"	207	68	7541
PBANKA_1220400.1	"conserved protein, unknown function"	198	65	7603
PBANKA_0509800.1	"cytochrome c oxidase copper chaperone, putative"	201	66	7606
PBANKA_0800400.1	"conserved Plasmodium protein, unknown function"	204	67	7618
PBANKA_1449700.1	"conserved Plasmodium protein, unknown function"	207	68	7624
PBANKA_0111500.1	"conserved Plasmodium protein, unknown function"	192	63	7744
PBANKA_1305800.1	"RNA polymerase II transcription factor B subunit 5, putative"	204	67	7848
PBANKA_0510700.1	"conserved Plasmodium protein, unknown function"	210	69	7981
PBANKA_0921200.1	"conserved Plasmodium protein, unknown function"	213	70	8049
PBANKA_1431200.1	"conserved Plasmodium protein, unknown function"	201	66	8081
PBANKA_0835900.1	"protein kish, putative"	219	72	8114
PBANKA_0805400.1	"DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative"	210	69	8183
PBANKA_0814800.1	"conserved Plasmodium protein, unknown function"	228	75	8273
PBANKA_1324000.1	"60S ribosomal protein L29, putative"	210	69	8316
PBANKA_0709000.1	"protein transport protein SEC61 subunit beta, putative"	240	79	8331
PBANKA_1421800.1	"mitochondrial ATP synthase F1, epsilon subunit, putative"	213	70	8343
PBANKA_1424700.1	"conserved Plasmodium protein, unknown function"	216	71	8370
PBANKA_1325900.1	"conserved Plasmodium protein, unknown function"	222	73	8395
PBANKA_1327080.1	"conserved Plasmodium protein, unknown function"	222	73	8438
PBANKA_1446400.1	"conserved Plasmodium protein, unknown function"	204	67	8511
PBANKA_1419500.1	"conserved protein, unknown function"	228	75	8513
PBANKA_0935600.1	"conserved Plasmodium protein, unknown function"	219	72	8524
PBANKA_0607100.1	"mitochondrial import inner membrane translocase subunit TIM10, putative"	228	75	8544
PBANKA_0111400.1	"conserved Plasmodium protein, unknown function"	231	76	8583
PBANKA_1452400.1	"ubiquitin-like modifier HUB1, putative"	222	73	8588
PBANKA_1455500.1	"conserved Plasmodium protein, unknown function"	225	74	8637
PBANKA_0511600.1	"conserved Plasmodium protein, unknown function"	216	71	8669
PBANKA_1353200.1	"mitotic-spindle organizing protein 1, putative"	231	76	8696
PBANKA_1312600.1	"conserved Plasmodium protein, unknown function"	222	73	8698
PBANKA_0927500.1	"conserved Plasmodium protein, unknown function"	237	78	8801
PBANKA_1411400.1	"ubiquitin-like protein nedd8 homologue, putative"	237	78	8877
PBANKA_1340200.1	"U6 snRNA-associated Sm-like protein LSm6, putative"	234	77	8902
PBANKA_0522300.1	"conserved Plasmodium protein, unknown function"	228	75	8931
PBANKA_0510000.1	"conserved Plasmodium protein, unknown function"	228	75	8935
PBANKA_0912900.1	"conserved Plasmodium protein, unknown function"	231	76	8966
PBANKA_0928000.1	"conserved Plasmodium protein, unknown function"	240	79	8975
PBANKA_0901700.1	"conserved Plasmodium protein, unknown function"	234	77	8999
PBANKA_1317000.1	"Yos1-like protein, putative"	231	76	9019
PBANKA_1418000.1	"conserved Plasmodium protein, unknown function"	225	74	9029
PBANKA_API00370.1	apicoplast ribosomal protein S17	225	74	9074
PBANKA_0409500.1	"conserved Plasmodium protein, unknown function"	246	81	9086
PBANKA_1456700.1	"conserved Plasmodium protein, unknown function"	234	77	9102
PBANKA_0905000.1	"40S ribosomal protein S21, putative"	249	82	9190
PBANKA_1406800.1	"40S ribosomal protein S27, putative"	249	82	9200
PBANKA_0619400.1	"V-type ATPase V0 subunit e, putative"	237	78	9204
PBANKA_API00420.1	"ribosomal protein L23, putative"	228	75	9267
PBANKA_0620200.1	"conserved Plasmodium protein, unknown function"	240	79	9276
PBANKA_1102600.1	"zinc binding protein, putative"	249	82	9353
PBANKA_1433400.1	"diphthamide biosynthesis protein 3, putative"	243	80	9370
PBANKA_1331000.1	"conserved Plasmodium protein, unknown function"	252	83	9386
PBANKA_0507500.1	"conserved Plasmodium protein, unknown function"	240	79	9395
PBANKA_0306900.1	"Sec61-gamma subunit of protein translocation complex, putative"	252	83	9396
PBANKA_API00200.1	"probable protein, unknown function"	231	76	9422
PBANKA_0708400.1	"small nuclear ribonucleoprotein G, putative"	252	83	9450
PBANKA_0201900.1	"conserved protein, unknown function"	240	79	9492
PBANKA_1340800.1	"conserved Plasmodium protein, unknown function"	237	78	9497
PBANKA_0808500.1	"conserved Plasmodium protein, unknown function"	240	79	9522
PBANKA_API00320.1	"probable protein, unknown function"	243	80	9657
PBANKA_1444300.1	"conserved Plasmodium protein, unknown function"	249	82	9666
PBANKA_0918100.1	"60S ribosomal protein L38, putative"	246	81	9673
PBANKA_API00270.1	"probable protein, unknown function"	237	78	9702
PBANKA_1456600.1	"conserved Plasmodium protein, unknown function"	252	83	9708
PBANKA_1115400.1	"BolA-like protein, putative"	255	84	9713
PBANKA_0310200.1	"conserved Plasmodium protein, unknown function"	237	78	9742
PBANKA_0201700.1	"conserved Plasmodium protein, unknown function"	258	85	9765
PBANKA_0405000.1	"conserved Plasmodium protein, unknown function"	258	85	9789
PBANKA_0301300.1	"conserved Plasmodium protein, unknown function"	276	91	9808
PBANKA_1312900.1	"conserved Plasmodium protein, unknown function"	267	88	9852
PBANKA_0109000.1	"conserved Plasmodium protein, unknown function"	258	85	9926
PBANKA_0705000.1	"cytochrome c oxidase assembly protein, putative"	258	85	9944
PBANKA_1244400.1	"conserved Plasmodium protein, unknown function"	261	86	9955
PBANKA_1123400.1	"anaphase-promoting complex subunit 11, putative"	261	86	9967
PBANKA_0922700.1	"conserved Plasmodium protein, unknown function"	252	83	9988
PBANKA_1132100.1	"splicing factor 3B subunit 5, putative"	258	85	9996
PBANKA_0214100.1	"conserved Plasmodium protein, unknown function"	249	82	9999
PBANKA_0937600.1	"conserved Plasmodium protein, unknown function"	246	81	10014
PBANKA_0623150.1	"conserved rodent malaria protein, unknown function"	252	83	10025
PBANKA_0921500.1	"small nuclear ribonucleoprotein F, putative"	261	86	10031
PBANKA_0718700.1	"CDGSH iron-sulfur domain-containing protein, putative"	267	88	10188
PBANKA_0109400.1	"succinate dehydrogenase subunit 3, putative"	267	88	10216
PBANKA_0903700.1	"cysteine-rich PDZ-binding protein, putative"	273	90	10232
PBANKA_0103000.1	"mitochondrial ribosomal protein L41, putative"	282	93	10281
PBANKA_1427500.1	"acyl-CoA binding protein, putative"	267	88	10299
PBANKA_0601800.1	"conserved Plasmodium protein, unknown function"	273	90	10344
PBANKA_1358200.1	"conserved Plasmodium protein, unknown function"	261	86	10418
PBANKA_0813700.1	"conserved Plasmodium protein, unknown function"	261	86	10446
PBANKA_1406000.1	"conserved Plasmodium protein, unknown function"	264	87	10481
PBANKA_0710900.1	"U6 snRNA-associated Sm-like protein LSm3, putative"	276	91	10507
PBANKA_0825700.1	"telomeric repeat binding factor 1, putative"	264	87	10526
PBANKA_1236200.1	"conserved Plasmodium protein, unknown function"	273	90	10554
PBANKA_1222200.1	protein MPODD	273	90	10569
PBANKA_1409500.1	"protein ISD11, putative"	264	87	10570
PBANKA_0804000.1	"60S ribosomal protein L37, putative"	279	92	10579
PBANKA_1017700.1	"cytochrome b-c1 complex subunit 6, putative"	267	88	10612
PBANKA_1456300.1	"mitochondrial import inner membrane translocase subunit TIM13, putative"	282	93	10658
PBANKA_1331100.1	"conserved Plasmodium protein, unknown function"	279	92	10685
PBANKA_1416000.1	"conserved Plasmodium protein, unknown function"	276	91	10690
PBANKA_1225400.1	gamete release protein	291	96	10697
PBANKA_1141800.1	"conserved Plasmodium protein, unknown function"	285	94	10718
PBANKA_1245150.1	"dolichol-phosphate mannosyltransferase subunit 3, putative"	276	91	10729
PBANKA_1429400.1	"dynein light chain 1, putative"	282	93	10774
PBANKA_1350400.1	"conserved Plasmodium protein, unknown function"	276	91	10776
PBANKA_0307000.1	"60S ribosomal protein L37ae, putative"	291	96	10808
PBANKA_1001700.1	"conserved Plasmodium protein, unknown function"	279	92	10815
PBANKA_1144500.1	"mitochondrial import inner membrane translocase subunit TIM9, putative"	279	92	10835
PBANKA_1105400.1	"small ubiquitin-related modifier, putative"	300	99	10842
PBANKA_1027500.1	"DNA-directed RNA polymerases I and III subunit RPAC2, putative"	291	96	10858
PBANKA_1201500.1	"conserved Plasmodium protein, unknown function"	285	94	10900
PBANKA_0600091.1	fam-c protein	285	94	10927
PBANKA_1365680.1	fam-c protein	285	94	10941
PBANKA_0701400.1	"U6 snRNA-associated Sm-like protein LSm8, putative"	288	95	10952
PBANKA_0103700.1	"conserved Plasmodium protein, unknown function"	285	94	10962
PBANKA_0832800.1	"conserved Plasmodium protein, unknown function"	306	101	10969
PBANKA_1363000.1	"small nuclear ribonucleoprotein E, putative"	285	94	10993
PBANKA_1431050.1	"10 kDa chaperonin, putative"	309	102	10997
PBANKA_1328800.1	"conserved Plasmodium protein, unknown function"	270	89	11015
PBANKA_API00400.1	apicoplast ribosomal protein S19	273	90	11179
PBANKA_1034200.1	"conserved Plasmodium protein, unknown function"	276	91	11201
PBANKA_1128000.1	"conserved Plasmodium protein, unknown function"	279	92	11249
PBANKA_1100860.1	fam-c protein	291	96	11324
PBANKA_0944021.1	"fam-a protein, pseudogene"	301	100	11325
PBANKA_1436400.1	"conserved Plasmodium protein, unknown function"	306	101	11355
PBANKA_1021400.1	"cytochrome c oxidase assembly protein COX14, putative"	282	93	11364
PBANKA_1011300.1	"signal peptidase complex subunit SPC1, putative"	300	99	11376
PBANKA_1021800.1	"mitochondrial import inner membrane translocase subunit TIM8, putative"	303	100	11416
PBANKA_1307200.1	"U6 snRNA-associated Sm-like protein LSm5, putative"	306	101	11427
PBANKA_0941900.1	"histone H4, putative"	312	103	11455
PBANKA_1461700.1	"conserved Plasmodium protein, unknown function"	288	95	11462
PBANKA_0712900.1	high mobility group protein B2	297	98	11478
PBANKA_0000201.1	"fam-c protein, pseudogene"	291	96	11490
PBANKA_1121500.1	"cytochrome b-c1 complex subunit 9, putative"	291	96	11519
PBANKA_0622900.1	"conserved Plasmodium protein, unknown function"	300	99	11564
PBANKA_0504300.1	"flagellar outer arm dynein-associated protein, putative"	306	101	11584
PBANKA_0507700.1	"conserved Plasmodium protein, unknown function"	288	95	11589
PBANKA_1124600.1	"conserved Plasmodium protein, unknown function"	291	96	11597
PBANKA_1320900.1	"thioredoxin 1, putative"	315	104	11638
PBANKA_0213900.1	"dynein light chain, putative"	294	97	11652
PBANKA_0213100.1	"signal recognition particle subunit SRP9, putative"	303	100	11656
PBANKA_0202600.1	"conserved Plasmodium protein, unknown function"	294	97	11715
PBANKA_0830500.1	"conserved Plasmodium protein, unknown function"	297	98	11731
PBANKA_1022000.1	"40S ribosomal protein S25, putative"	318	105	11795
PBANKA_0315200.1	"small nuclear ribonucleoprotein Sm D2, putative"	306	101	11798
PBANKA_0407700.1	"60S acidic ribosomal protein P2, putative"	336	111	11804
PBANKA_0503600.1	"60S ribosomal protein L30e, putative"	327	108	11812
PBANKA_0815600.1	"transcription elongation factor 1, putative"	309	102	11868
PBANKA_0922400.1	"conserved Plasmodium protein, unknown function"	297	98	11947
PBANKA_1421400.1	"C-Myc-binding protein, putative"	306	101	11958
PBANKA_0902000.1	"dynein light chain, putative"	309	102	11972
PBANKA_0805300.1	"conserved Plasmodium protein, unknown function"	309	102	11973
PBANKA_1204400.1	"DNA/RNA-binding protein Alba 3, putative"	324	107	11990
PBANKA_0403000.1	"60S ribosomal protein L44, putative"	312	103	12065
PBANKA_1336800.1	"conserved Plasmodium protein, unknown function"	336	111	12068
PBANKA_0607600.1	"U6 snRNA-associated Sm-like protein LSm7, putative"	327	108	12092
PBANKA_1243200.1	"conserved Plasmodium protein, unknown function"	309	102	12093
PBANKA_0603650.1	"conserved Plasmodium protein, unknown function"	321	106	12095
PBANKA_1354200.1	"mitochondrial pyruvate carrier protein 1, putative"	318	105	12109
PBANKA_0619300.1	"conserved Plasmodium protein, unknown function"	315	104	12153
PBANKA_1235100.1	"U6 snRNA-associated Sm-like protein LSm2, putative"	315	104	12206
PBANKA_0602200.1	"signal recognition particle subunit SRP14, putative"	312	103	12210
PBANKA_1427900.1	"histone acetyltransferase subunit NuA4, putative"	315	104	12214
PBANKA_1003500.1	"conserved Plasmodium protein, unknown function"	315	104	12216
PBANKA_0524800.1	early transcribed membrane protein	348	115	12234
PBANKA_0302200.1	"dynein light chain, putative"	324	107	12278
PBANKA_0828800.1	"cytochrome c oxidase subunit 6B, putative"	312	103	12278
PBANKA_0837061.1	"tryptophan-rich protein, fragment"	312	103	12286
PBANKA_0210900.1	"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1, putative"	318	105	12323
PBANKA_1414800.1	"conserved Plasmodium protein, unknown function"	318	105	12381
PBANKA_1306000.1	"replication factor A protein 3, putative"	330	109	12386
PBANKA_0404700.1	"glutaredoxin 1, putative"	330	109	12387
PBANKA_0107000.1	"conserved Plasmodium protein, unknown function"	321	106	12401
PBANKA_0601900.1	"high mobility group protein B1, putative"	318	105	12405
PBANKA_1327800.1	"zinc finger protein, putative"	315	104	12431
PBANKA_0716300.1	"Rab5-interacting protein, putative"	330	109	12449
PBANKA_0800600.1	"centrin, putative"	324	107	12463
PBANKA_0520600.1	"enhancer of rudimentary homolog, putative"	318	105	12469
PBANKA_0716800.1	"conserved Plasmodium protein, unknown function"	324	107	12471
PBANKA_0806200.1	"E3 ubiquitin-protein ligase RBX1, putative"	324	107	12527
PBANKA_0314500.1	"40S ribosomal protein S26, putative"	324	107	12534
PBANKA_0617800.1	"conserved Plasmodium protein, unknown function"	303	100	12538
PBANKA_0304200.1	"DNA-directed RNA polymerase III subunit RPC10, putative"	321	106	12574
PBANKA_1036200.1	"RNA-binding protein 8A, putative"	324	107	12582
PBANKA_0829400.1	"conserved Plasmodium protein, unknown function"	327	108	12629
PBANKA_1106600.1	"conserved Plasmodium protein, unknown function"	315	104	12631
PBANKA_1354800.1	"conserved Plasmodium protein, unknown function"	315	104	12635
PBANKA_0502700.1	"PHF5-like protein, putative"	336	111	12637
PBANKA_1317800.1	"tRNA intron endonuclease, putative"	327	108	12637
PBANKA_1439800.1	"splicing factor 3B subunit 6, putative"	330	109	12638
PBANKA_0937700.1	"60S ribosomal protein L36, putative"	342	113	12726
PBANKA_0407000.1	"conserved Plasmodium protein, unknown function"	327	108	12754
PBANKA_1429100.1	"conserved Plasmodium protein, unknown function"	339	112	12839
PBANKA_1456900.1	"translation initiation factor SUI1, putative"	348	115	12839
PBANKA_1205300.1	"conserved Plasmodium protein, unknown function"	339	112	12842
PBANKA_0811000.1	"small nuclear ribonucleoprotein Sm D3, putative"	351	116	12852
PBANKA_0943600.1	"60S acidic ribosomal protein P1, putative"	360	119	12897
PBANKA_API00140.1	hypothetical protein	318	105	12915
PBANKA_1125800.1	"conserved Plasmodium protein, unknown function"	336	111	12916
PBANKA_1430600.1	"conserved Plasmodium protein, unknown function"	330	109	12920
PBANKA_0408800.1	"conserved Plasmodium protein, unknown function"	330	109	12926
PBANKA_1444000.1	macrophage migration inhibitory factor	351	116	12934
PBANKA_API00190.1	"probable protein, unknown function"	309	102	12966
PBANKA_1038400.1	"selenoprotein, putative"	342	113	12978
PBANKA_0621900.1	"mitochondrial import inner membrane translocase subunit TIM14, putative"	345	114	12984
PBANKA_0828300.1	"dynein light chain, putative"	339	112	12984
PBANKA_0201340.1	fam-c protein	330	109	12991
PBANKA_1038000.1	"cytochrome c, putative"	351	116	13024
PBANKA_1205800.1	"conserved Plasmodium protein, unknown function"	330	109	13043
PBANKA_1352900.1	"mitochondrial ribosomal protein L49 precursor, putative"	327	108	13053
PBANKA_0808380.1	"conserved Plasmodium protein, unknown function"	330	109	13061
PBANKA_0515500.1	"protein phosphatase inhibitor 3, putative"	348	115	13065
PBANKA_0111300.1	"conserved Plasmodium protein, unknown function"	345	114	13079
PBANKA_1005000.1	"conserved Plasmodium protein, unknown function"	330	109	13110
PBANKA_1311400.1	"conserved Plasmodium protein, unknown function"	354	117	13118
PBANKA_0605800.1	"conserved Plasmodium protein, unknown function"	333	110	13128
PBANKA_1321900.1	"conserved Plasmodium protein, unknown function"	336	111	13132
PBANKA_0708900.1	"conserved Plasmodium protein, unknown function"	324	107	13171
PBANKA_1333200.1	"autophagy-related protein 12, putative"	339	112	13186
PBANKA_1236700.1	"conserved Plasmodium protein, unknown function"	324	107	13196
PBANKA_0907800.1	"conserved Apicomplexan protein, unknown function"	336	111	13256
PBANKA_0941800.1	"histone H2B, putative"	357	118	13257
PBANKA_0709400.1	"conserved Plasmodium protein, unknown function"	351	116	13258
PBANKA_1311100.1	"mitochondrial ribosomal protein S14 precursor, putative"	339	112	13294
PBANKA_0110600.1	"conserved protein, unknown function"	354	117	13298
PBANKA_0405100.1	"membrane magnesium transporter, putative"	348	115	13372
PBANKA_0513500.1	"conserved Plasmodium protein, unknown function"	342	113	13405
PBANKA_1427400.1	"apicoplast ribosomal protein L33 precursor, putative"	336	111	13461
PBANKA_0512900.1	"conserved Plasmodium protein, unknown function"	354	117	13480
PBANKA_0111300.2	"conserved Plasmodium protein, unknown function"	354	117	13511
PBANKA_1201900.1	"40S ribosomal protein S20e, putative"	357	118	13512
PBANKA_0507100.1	"CDGSH iron-sulfur domain-containing protein, putative"	357	118	13575
PBANKA_0720500.1	"conserved Plasmodium protein, unknown function"	351	116	13612
PBANKA_1327200.1	"mitochondrial ribosomal protein S6-2 precursor, putative"	345	114	13624
PBANKA_1236900.1	"transcription initiation factor TFIID subunit 10, putative"	351	116	13654
PBANKA_1208700.1	"succinate dehydrogenase subunit 4, putative"	354	117	13676
PBANKA_1205700.1	"conserved Plasmodium protein, unknown function"	354	117	13724
PBANKA_1420600.1	"histone H2B variant, putative"	372	123	13748
PBANKA_1106000.1	"conserved Plasmodium protein, unknown function"	345	114	13757
PBANKA_1350500.1	"conserved Plasmodium protein, unknown function"	366	121	13777
PBANKA_0522200.1	"conserved Plasmodium protein, unknown function"	360	119	13784
PBANKA_1140900.1	"mitochondrial ribosomal protein S17 precursor, putative"	348	115	13793
PBANKA_1107500.1	"conserved Plasmodium protein, unknown function"	357	118	13834
PBANKA_1111600.1	"prefoldin subunit 6, putative"	360	119	13876
PBANKA_1401500.1	"conserved Plasmodium protein, unknown function"	354	117	13883
PBANKA_1209600.1	"conserved Plasmodium protein, unknown function"	345	114	13884
PBANKA_1412900.1	"conserved Plasmodium protein, unknown function"	372	123	13891
PBANKA_1338000.1	"conserved Plasmodium protein, unknown function"	342	113	13916
PBANKA_0922800.1	"small nuclear ribonucleoprotein Sm D1, putative"	372	123	13919
PBANKA_1238300.1	"dynein light chain Tctex-type, putative"	360	119	13929
PBANKA_0110800.1	"conserved Plasmodium protein, unknown function"	360	119	13945
PBANKA_1333500.1	"conserved Plasmodium protein, unknown function"	342	113	13948
PBANKA_1103100.1	actin-depolymerizing factor 1	369	122	13963
PBANKA_1233900.1	"mitochondrial ribosomal protein L14 precursor, putative"	375	124	13971
PBANKA_0520900.1	"antigen UB05, putative"	360	119	13978
PBANKA_1103400.1	"60S ribosomal protein L31, putative"	360	119	13982
PBANKA_API00360.1	apicoplast ribosomal protein L14	363	120	13990
PBANKA_0927400.1	"heat shock factor-binding protein 1, putative"	369	122	14006
PBANKA_1040601.1	"fam-c protein, pseudogene"	360	119	14006
PBANKA_1338400.1	"V-type proton ATPase subunit G, putative"	366	121	14050
PBANKA_1133600.1	"dynein light chain, putative"	366	121	14089
PBANKA_1110600.1	"conserved Plasmodium protein, unknown function"	369	122	14097
PBANKA_API00300.1	apicoplast ribosomal protein S12	378	125	14098
PBANKA_1034700.1	"multifunctional methyltransferase subunit TRM112, putative"	378	125	14100
PBANKA_0836400.1	"Plasmodium exported protein, unknown function"	366	121	14121
PBANKA_0202100.1	"conserved Plasmodium protein, unknown function"	351	116	14146
PBANKA_0307300.1	"50S ribosomal protein L33, putative"	360	119	14169
PBANKA_0617700.1	"conserved Plasmodium protein, unknown function"	363	120	14180
PBANKA_1328200.1	"conserved Plasmodium protein, unknown function"	360	119	14193
PBANKA_1133900.1	"conserved Plasmodium protein, unknown function"	354	117	14195
PBANKA_1361700.1	"conserved Plasmodium protein, unknown function"	360	119	14198
PBANKA_0934400.1	"conserved Plasmodium protein, unknown function"	357	118	14204
PBANKA_1403400.1	"DNA-directed RNA polymerase II subunit RPB11, putative"	381	126	14206
PBANKA_1117000.1	"histone H2A, putative"	402	133	14221
PBANKA_0705200.1	"conserved Apicomplexan protein, unknown function"	366	121	14226
PBANKA_0517100.1	"conserved Plasmodium protein, unknown function"	369	122	14281
PBANKA_0108900.1	"peptidyl-tRNA hydrolase PTRHD1, putative"	372	123	14325
PBANKA_0603600.1	"conserved Plasmodium protein, unknown function"	363	120	14325
PBANKA_1310900.1	"conserved Plasmodium protein, unknown function"	366	121	14334
PBANKA_1430200.1	"ER membrane protein complex subunit 6, putative"	378	125	14354
PBANKA_1143900.1	"conserved Plasmodium protein, unknown function"	375	124	14364
PBANKA_0300900.1	"conserved Plasmodium protein, unknown function"	363	120	14370
PBANKA_1325700.1	thioredoxin-like protein	366	121	14382
PBANKA_0836100.1	"phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative"	366	121	14383
PBANKA_1113200.1	"mitochondrial import inner membrane translocase subunit TIM16, putative"	375	124	14442
PBANKA_1030300.1	"nuclear transport factor 2, putative"	378	125	14446
PBANKA_0928900.1	"conserved protein, unknown function"	387	128	14461
PBANKA_1402100.1	"conserved Plasmodium protein, unknown function"	369	122	14470
PBANKA_1422000.1	"conserved Plasmodium protein, unknown function"	363	120	14494
PBANKA_1228600.1	"conserved Plasmodium protein, unknown function"	375	124	14550
PBANKA_0906500.1	"60S ribosomal protein L28, putative"	381	126	14582
PBANKA_0910600.1	"ubiquitin-related modifier 1, putative"	378	125	14582
PBANKA_1141700.1	"ubiquitin-60S ribosomal protein L40, putative"	387	128	14617
PBANKA_0939900.1	"U6 snRNA-associated Sm-like protein LSm4, putative"	399	132	14648
PBANKA_1025800.1	"prefoldin subunit 2, putative"	387	128	14658
PBANKA_0908900.1	"V-type proton ATPase subunit F, putative"	390	129	14659
PBANKA_0504100.1	autophagy-related protein 8	375	124	14685
PBANKA_0826400.1	"zinc binding protein (Yippee), putative"	387	128	14686
PBANKA_1302100.1	"50S ribosomal protein L20, putative"	366	121	14701
PBANKA_1242600.1	"proteasome maturation factor UMP1, putative"	375	124	14712
PBANKA_1201300.1	"conserved Plasmodium protein, unknown function"	384	127	14726
PBANKA_1239300.1	"conserved Plasmodium protein, unknown function"	375	124	14733
PBANKA_0940500.1	"conserved Plasmodium protein, unknown function"	372	123	14759
PBANKA_0105100.1	"conserved Plasmodium protein, unknown function"	375	124	14767
PBANKA_0616000.1	"mitochondrial ribosomal protein S8 precursor, putative"	390	129	14784
PBANKA_0410600.1	"60S ribosomal protein L26, putative"	384	127	14790
PBANKA_0826300.1	"thioredoxin-like protein 2, putative"	384	127	14803
PBANKA_1032000.1	"conserved Plasmodium protein, unknown function"	387	128	14811
PBANKA_0923400.1	"60S ribosomal protein L35, putative"	375	124	14844
PBANKA_0303500.1	"PH domain-containing protein, putative"	369	122	14845
PBANKA_1320600.1	"conserved protein, unknown function"	396	131	14850
PBANKA_0212500.1	"conserved Plasmodium protein, unknown function"	381	126	14884
PBANKA_1329900.1	"conserved Plasmodium protein, unknown function"	387	128	14906
PBANKA_0514000.1	"transcription elongation factor SPT4, putative"	396	131	14919
PBANKA_0414600.1	"40S ribosomal protein S15A, putative"	393	130	14927
PBANKA_1346700.1	"60S ribosomal protein L23, putative"	420	139	14974
PBANKA_1419200.1	"RNA-binding protein, putative"	387	128	14980
PBANKA_1333600.1	"mitochondrial pyruvate carrier protein 2, putative"	396	131	15058
PBANKA_0930700.1	"conserved Plasmodium protein, unknown function"	387	128	15072
PBANKA_0416900.1	"prefoldin subunit 4, putative"	390	129	15079
PBANKA_1105500.1	"conserved Plasmodium protein, unknown function"	390	129	15089
PBANKA_1221900.1	"conserved Plasmodium protein, unknown function"	381	126	15104
PBANKA_0310100.1	"conserved Plasmodium protein, unknown function"	384	127	15132
PBANKA_1141900.1	"DIP13 homolog, putative"	384	127	15134
PBANKA_0936100.1	"acylphosphatase, putative"	390	129	15157
PBANKA_0501800.1	"conserved Plasmodium protein, unknown function"	393	130	15183
PBANKA_0941000.1	"conserved Plasmodium protein, unknown function"	402	133	15230
PBANKA_1234200.1	"40S ribosomal protein S24, putative"	402	133	15272
PBANKA_0904900.1	"mitochondrial large subunit ribosomal protein, putative"	390	129	15275
PBANKA_1121300.1	"conserved Plasmodium protein, unknown function"	372	123	15290
PBANKA_1119300.1	"conserved Plasmodium protein, unknown function"	387	128	15299
PBANKA_0829300.1	"conserved Plasmodium protein, unknown function"	396	131	15304
PBANKA_0924400.1	"splicing factor, putative"	426	141	15398
PBANKA_0303200.1	"DNA-directed RNA polymerase II 16 kDa subunit, putative"	402	133	15404
PBANKA_1313900.1	"conserved Plasmodium protein, unknown function"	390	129	15412
PBANKA_1024400.1	"calmodulin, putative"	411	136	15428
PBANKA_API00380.1	apicoplast ribosomal protein L16	399	132	15439
PBANKA_1117100.1	"histone H3 variant, putative"	411	136	15440
PBANKA_API00304.1	apicoplast ribosomal protein S11	393	130	15440
PBANKA_0212600.1	"conserved Plasmodium protein, unknown function"	396	131	15443
PBANKA_0108800.1	"histone H3, putative"	411	136	15445
PBANKA_0405400.1	"40S ribosomal protein S12, putative"	429	142	15461
PBANKA_0721300.1	"protein transport protein GOT1, putative"	411	136	15477
PBANKA_API00220.1	"probable protein, unknown function"	381	126	15500
PBANKA_0417500.1	"60S ribosomal protein L32, putative"	396	131	15523
PBANKA_0810500.1	"apoptosis-related protein, putative"	396	131	15535
