sample	file	rapamycin	time	Strain	name
Sample_49	21384_4.htseq_count	NO	2h	AP2Goe	NO_2h_6_AP2Goe
Sample_55	21384_5.htseq_count	NO	6h	AP2Goe	NO_6h_5_AP2Goe
Sample_56	21384_6.htseq_count	NO	6h	AP2Goe	NO_6h_6_AP2Goe
Sample_58	21384_7.htseq_count	NO	8h	AP2Goe	NO_8h_5_AP2Goe
Sample_59	21384_8.htseq_count	NO	8h	AP2Goe	NO_8h_6_AP2Goe
Sample_67	21384_9.htseq_count	NO	24h	AP2Goe	NO_24h_5_AP2Goe
Sample_70	21384_10.htseq_count	NO	44h	AP2Goe	NO_44h_5_AP2Goe
Sample_71	21384_11.htseq_count	NO	44h	AP2Goe	NO_44h_6_AP2Goe
Sample_10	21384_12.htseq_count	YES	0h	AP2Goe	YES_0h_5_AP2Goe
Sample_16	21384_13.htseq_count	YES	2h	AP2Goe	YES_2h_5_AP2Goe
Sample_17	21384_14.htseq_count	YES	2h	AP2Goe	YES_2h_6_AP2Goe
Sample_23	21384_15.htseq_count	YES	6h	AP2Goe	YES_6h_5_AP2Goe
Sample_24	21384_16.htseq_count	YES	6h	AP2Goe	YES_6h_6_AP2Goe
Sample_26	21384_17.htseq_count	YES	8h	AP2Goe	YES_8h_5_AP2Goe
Sample_27	21384_18.htseq_count	YES	8h	AP2Goe	YES_8h_6_AP2Goe
Sample_34	21384_19.htseq_count	YES	24h	AP2Goe	YES_24h_5_AP2Goe
Sample_37	21384_20.htseq_count	YES	44h	AP2Goe	YES_44h_5_AP2Goe
Sample_38	21384_21.htseq_count	YES	44h	AP2Goe	YES_44h_6_AP2Goe
Sample_45	21384_22.htseq_count	NO	1h	AP2Goe	NO_1h_7_AP2Goe
Sample_62	21384_23.htseq_count	NO	18h	AP2Goe	NO_18h_7_AP2Goe
Sample_72	21384_24.htseq_count	NO	44h	AP2Goe	NO_44h_7_AP2Goe
Sample_13	21384_25.htseq_count	YES	1h	AP2Goe	YES_1h_7_AP2Goe
Sample_30	21384_26.htseq_count	YES	18h	AP2Goe	YES_18h_7_AP2Goe
Sample_39	21384_27.htseq_count	YES	44h	AP2Goe	YES_44h_7_AP2Goe
Sample_4	10636_10.htseq_count	NO	asexual	WT	NO_asexual_8_WT
Sample_5	10636_4.htseq_count	NO	asexual	WT	NO_asexual_9_WT
Sample_6	11779_5.htseq_count	NO	asexual	WT	NO_asexual_10_WT
Sample_92	21725_1.htseq_count	NO	male	WT	NO_male_11_WT
Sample_93	21725_2.htseq_count	NO	male	WT	NO_male_12_WT
Sample_94	21725_3.htseq_count	NO	male	WT	NO_male_13_WT
Sample_95	21725_4.htseq_count	NO	female	WT	NO_female_11_WT
Sample_96	21725_5.htseq_count	NO	female	WT	NO_female_12_WT
Sample_97	21725_6.htseq_count	NO	female	WT	NO_female_13_WT
