Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_0921800,,"steryl ester hydrolase, putative",-0.634,0.281,no power
PBANKA_0210300,,"conserved Plasmodium protein, unknown function",-1.203,0.508,no power
PBANKA_1357500,LipA,lipoyl synthase,-0.404,0.052,not reduced
PBANKA_1237300,,"inner membrane complex protein, putative",-0.024,0.683,no power
PBANKA_1232300,,"UTP--glucose-1-phosphate uridylyltransferase, putative",-0.213,0.691,no power
PBANKA_1356600,,"UDP-N-acetylglucosamine pyrophosphorylase, putative",0.044,0.107,not reduced
PBANKA_0938500,,"succinyl-CoA synthetase alpha subunit, putative",-1.643,0.246,reduced
PBANKA_1104200,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative",-2.732,0.298,reduced
PBANKA_1411100,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",-3.401,0.216,reduced
PBANKA_0402300,BCKDH-E2,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, putative",-3.071,0.526,reduced
PBANKA_0311800,ACS9,"acyl-CoA synthetase, putative",-0.202,0.212,not reduced
PBANKA_1453300,ACS11,"acyl-CoA synthetase, putative",-4.630,0.249,reduced
PBANKA_0522400,,"steroid dehydrogenase, putative",-0.559,0.146,not reduced
PBANKA_0614300,SufS,cysteine desulfurase,-1.147,1.151,no power
PBANKA_0806500,,"triosephosphate isomerase, putative",0.726,0.335,not reduced
PBANKA_0505000,,"dihydrolipoamide acyltransferase, putative",0.461,0.165,not reduced
PBANKA_1218000,,"nicotinamidase, putative",0.183,0.093,not reduced
PBANKA_1322100,ADCL,"aminodeoxychorismate lyase, putative",0.519,0.133,not reduced
PBANKA_1124900,,"oxidoreductase, putative",-6.934,0.949,reduced
PBANKA_1213400,,"FAD synthetase, putative",-1.023,0.160,no power
PBANKA_1007100,,"conserved Plasmodium protein, unknown function",-0.117,0.253,not reduced
PBANKA_1118700,ACS12,"acyl-CoA synthetase, putative",-0.131,0.187,not reduced
PBANKA_0929700,,"haloacid dehalogenase-like hydrolase, putative",-0.754,0.054,not reduced
PBANKA_1441100,HAD2,"haloacid dehalogenase-like hydrolase, putative",-2.811,0.258,reduced
PBANKA_0512100,,"methyltransferase, putative",-3.889,0.226,reduced
PBANKA_1334600,,"diacylglycerol kinase, putative",-2.800,0.100,reduced
PBANKA_1017000,,"CorA-like Mg2+ transporter protein, putative",-0.213,0.691,no power
PBANKA_1402700,,"CorA-like Mg2+ transporter protein, putative",-0.772,0.669,no power
PBANKA_0506500,ZIPCO,ZIP domain-containing protein,-1.341,0.045,reduced
PBANKA_0107700,,"permease, putative",-0.598,1.437,no power
PBANKA_1401600,,"methyltransferase-like protein, putative",-1.896,0.298,reduced
PBANKA_1356200,,"tRNA guanosine-2'-O-methyltransferase, putative",-0.628,0.144,not reduced
PBANKA_0622400,,"kinesin-19, putative",-1.425,0.133,reduced
PBANKA_0507300,,"dynein heavy chain, putative",-0.213,0.691,no power
PBANKA_0601200,,"dynein heavy chain, putative",-0.213,0.691,no power
PBANKA_1208200,,"kinesin-4, putative",-1.960,1.151,no power
PBANKA_0902400,,"kinesin-like protein, putative",-0.633,0.188,no power
PBANKA_0202700,,"kinesin-8, putative",-1.049,0.192,no power
PBANKA_0805900,,"kinesin-8, putative",-0.814,0.092,not reduced
PBANKA_1224100,,"kinesin-like protein, putative",-1.057,0.096,no power
PBANKA_0615700,,"dynein heavy chain, putative",-0.405,0.212,not reduced
PBANKA_0213900,,"dynein light chain, putative",-0.780,0.140,no power
PBANKA_1036800,,"DNA mismatch repair protein, putative",-0.522,0.139,not reduced
PBANKA_1017100,MSH2-1,"DNA mismatch repair protein MSH2, putative",-0.414,1.466,no power
PBANKA_0108700,RBM25,"RNA-binding protein 25, putative",-2.985,1.299,no power
PBANKA_0409100,,"pre-mRNA splicing factor, putative",-3.864,0.811,reduced
PBANKA_1003500,,"conserved Plasmodium protein, unknown function",-0.854,0.683,no power
PBANKA_0315400,PRP45,"pre-mRNA-processing protein 45, putative",-0.774,0.662,no power
PBANKA_1340200,LSM6,"U6 snRNA-associated Sm-like protein LSm6, putative",-3.532,0.744,reduced
PBANKA_1343800,Sir2A,transcriptional regulatory protein sir2a,-1.363,0.276,no power
PBANKA_1212400,FS,"GDP-L-fucose synthase, putative",0.290,0.109,not reduced
PBANKA_1023900,GST,"glutathione S-transferase, putative",-0.979,0.126,no power
PBANKA_0107400,OAT,"ornithine aminotransferase, putative",-0.722,0.262,no power
PBANKA_0611100,,"succinyl-CoA ligase, putative",0.817,0.493,not reduced
PBANKA_1461000,,"methyltransferase, putative",0.282,0.206,not reduced
PBANKA_1448300,,"homocysteine S-methyltransferase, putative",-0.381,0.132,not reduced
PBANKA_0820900,,"long chain fatty acid elongation enzyme, putative",-0.209,0.090,not reduced
PBANKA_1346500,PTPLA,protein tyrosine phosphatase-like protein,-0.251,0.124,not reduced
PBANKA_0104700,,"long chain polyunsaturated fatty acid elongation enzyme, putative",-1.176,0.088,reduced
PBANKA_1438900,GCH1,"GTP cyclohydrolase I, putative",-2.027,0.813,no power
PBANKA_1126700,,"6-pyruvoyltetrahydropterin synthase, putative",-1.893,0.722,no power
PBANKA_0109400,SDH3,"succinate dehydrogenase subunit 3, putative",-0.329,0.101,not reduced
PBANKA_1040100,CK,choline kinase,-1.751,0.130,reduced
PBANKA_0923700,EK,"ethanolamine kinase, putative",1.043,1.129,no power
PBANKA_0715500,PGM2,phosphoglucomutase-2,-2.116,0.261,reduced
PBANKA_1001600,,"SET domain protein, putative",0.071,0.094,not reduced
PBANKA_1414600,IPK2,"inositol polyphosphate kinase, putative",-0.445,0.211,not reduced
PBANKA_1227700,,"inositol 5-phosphatase, putative",-1.786,0.177,reduced
PBANKA_1014400,,"acid phosphatase, putative",-2.378,0.182,reduced
PBANKA_0827500,NADSYN,"glutamine-dependent NAD(+) synthetase, putative",-3.500,0.126,reduced
PBANKA_0714700,,"phosphopantothenoylcysteine decarboxylase, putative",-0.247,0.061,not reduced
PBANKA_1444000,MIF,macrophage migration inhibitory factor,-0.333,0.065,not reduced
PBANKA_1303000,,"DEAD/DEAH helicase, putative",-0.621,2.378,no power
PBANKA_0908500,,"myosin heavy chain subunit, putative",-0.213,0.691,no power
PBANKA_1346000,POLQ,"DNA polymerase theta, putative",-0.068,0.064,not reduced
PBANKA_0611900,,"histidine triad protein, putative",-0.911,0.179,no power
PBANKA_0312700,,"DEAD/DEAH helicase, putative",-2.559,0.088,reduced
PBANKA_1323300,,"pyridoxal 5'-phosphate synthase, putative",-0.025,0.295,not reduced
PBANKA_0604400,tGloII,"targeted glyoxalase II, putative",-0.140,0.055,not reduced
PBANKA_0933900,,"glyoxalase I, putative",-0.220,0.062,not reduced
PBANKA_1014100,,"exodeoxyribonuclease III, putative",-0.202,0.108,not reduced
PBANKA_1123900,SMS1,"sphingomyelin synthase 1, putative",-0.051,0.124,not reduced
PBANKA_1038300,TRAM,"translocation associated membrane protein, putative",-0.965,0.041,no power
PBANKA_0621800,COQ3,"3-demethylubiquinone-9 3-methyltransferase, putative",-2.260,1.355,no power
PBANKA_1312600,,"conserved Plasmodium protein, unknown function",-1.711,0.178,reduced
PBANKA_1349700,,"conserved Plasmodium protein, unknown function",-1.729,0.928,no power
PBANKA_0109600,,"conserved Plasmodium protein, unknown function",-1.264,0.947,no power
PBANKA_1119700,,"cleavage stimulation factor subunit 1, putative",-2.407,0.974,no power
PBANKA_0506300,,"conserved Plasmodium protein, unknown function",-1.456,0.587,no power
PBANKA_1238200,,"DnaJ protein, putative",-1.704,0.254,reduced
PBANKA_1214700,,"conserved Plasmodium protein, unknown function",-1.608,0.185,reduced
PBANKA_0621400,,"conserved Plasmodium protein, unknown function",-2.658,0.489,reduced
PBANKA_1418100,,"conserved Plasmodium protein, unknown function",-1.486,0.315,no power
PBANKA_1425400,,"conserved Plasmodium protein, unknown function",-1.131,0.810,no power
PBANKA_1358700,,"conserved Plasmodium protein, unknown function",-0.654,0.701,no power
PBANKA_0933800,,"conserved Plasmodium protein, unknown function",-1.561,0.950,no power
PBANKA_1024800,,"conserved Plasmodium protein, unknown function",-1.475,0.461,no power
PBANKA_0505300,,"conserved Plasmodium protein, unknown function",-1.398,0.489,no power
PBANKA_0104600,RAD50,"DNA repair protein RAD50, putative",-2.835,1.778,no power
PBANKA_0405000,,"conserved Plasmodium protein, unknown function",-1.084,0.684,no power
PBANKA_0110400,EIF3L,"eukaryotic translation initiation factor 3 subunit L, putative",-1.144,0.266,no power
PBANKA_0716200,,"calmodulin-like protein, putative",-1.402,0.260,no power
PBANKA_0717900,,"RNA-binding protein, putative",-2.011,0.455,reduced
PBANKA_0408600,EIF3K,"eukaryotic translation initiation factor 3 subunit K, putative",-1.201,1.366,no power
PBANKA_1241200,,"conserved Plasmodium protein, unknown function",-1.203,0.481,no power
PBANKA_0405900,,"conserved Plasmodium protein, unknown function",-1.089,0.762,no power
PBANKA_1446000,,"conserved Plasmodium protein, unknown function",-0.819,0.507,no power
PBANKA_1121000,,"conserved Plasmodium protein, unknown function",-0.670,0.702,no power
PBANKA_1430900,,"conserved Plasmodium protein, unknown function",-1.379,0.521,no power
PBANKA_0704700,,"conserved Plasmodium protein, unknown function",-1.761,0.238,reduced
PBANKA_1336600,,"conserved Plasmodium protein, unknown function",-1.750,0.149,reduced
PBANKA_0929100,,"acyl-CoA-binding protein, putative",-1.349,0.153,reduced
PBANKA_1104300,CEP120,"centrosomal protein CEP120, putative",-0.341,0.805,no power
PBANKA_0312300,,"conserved Plasmodium protein, unknown function",-2.344,0.197,reduced
PBANKA_0828500,PPP4,serine/threonine protein phosphatase 4,-3.660,1.437,no power
PBANKA_1008700,,"conserved Plasmodium protein, unknown function",-1.694,0.144,reduced
PBANKA_1038200,MISFIT,nuclear formin-like protein,-1.013,0.379,no power
PBANKA_0417800,,"conserved Plasmodium protein, unknown function",-1.616,0.083,reduced
PBANKA_1442000,KCh1,potassium channel,-1.686,3.198,no power
PBANKA_1303400,,"CCAAT-binding transcription factor, putative",-1.245,0.234,no power
PBANKA_1244300,,"zinc finger protein, putative",-1.224,0.156,no power
PBANKA_1314200,,"conserved Plasmodium protein, unknown function",-1.331,0.230,no power
PBANKA_1122200,,"EGF-like membrane protein, putative",-1.005,0.348,no power
PBANKA_1322200,SAS4,"spindle assembly abnormal protein 4, putative",-1.549,0.559,no power
PBANKA_0901800,,"conserved Plasmodium protein, unknown function",-0.867,0.529,no power
PBANKA_1030400,,"conserved Plasmodium protein, unknown function",-0.640,0.731,no power
PBANKA_1336500,,"conserved Plasmodium protein, unknown function",-0.702,0.739,no power
PBANKA_1137400,,"conserved Plasmodium protein, unknown function",-0.745,0.634,no power
PBANKA_0811800,ALP5a,"actin-like protein, putative",-1.284,0.197,no power
PBANKA_0301800,,"conserved Plasmodium protein, unknown function",-1.442,0.211,reduced
PBANKA_1306700,,"conserved Plasmodium protein, unknown function",-0.615,0.718,no power
PBANKA_1213200,,"conserved Plasmodium protein, unknown function",-1.299,0.524,no power
PBANKA_0916900,,"conserved Plasmodium protein, unknown function",-1.380,0.527,no power
PBANKA_0832400,,"conserved protein, unknown function",-1.350,0.160,reduced
PBANKA_1144800,,"conserved Plasmodium protein, unknown function",-1.590,0.093,reduced
PBANKA_0212300,ALP3,"actin-like protein, putative",-1.365,0.099,reduced
PBANKA_0939800,,"nucleic acid binding protein, putative",-1.656,0.205,reduced
PBANKA_1335000,,"conserved Plasmodium protein, unknown function",-1.253,0.209,no power
PBANKA_1450000,,"tetQ family GTPase, putative",-1.310,0.292,no power
PBANKA_0818400,,"conserved Plasmodium protein, unknown function",-1.179,0.748,no power
PBANKA_1400400,,fam-b protein,-1.006,0.749,no power
PBANKA_1113400,PSOP12,"secreted ookinete protein, putative",-0.541,0.981,no power
PBANKA_1108800,LRR2,leucine-rich repeat protein,-1.438,0.120,reduced
PBANKA_1304800,,"conserved Plasmodium protein, unknown function",-1.624,0.266,reduced
