PBANKA_0944121,PBANKA_000670,PBANKA_000720,PBANKA_000740,PBANKA_000760,PBANKA_000790,PBANKA_000900,PBANKA_000935,PBANKA_000990,PBANKA_001000,PBANKA_001020
PBANKA_0104600,PBANKA_010460,,,,,,,,,
PBANKA_0104700,PBANKA_010470,,,,,,,,,
PBANKA_0104800,PBANKA_010480,,,,,,,,,
PBANKA_0104900,PBANKA_010490,,,,,,,,,
PBANKA_0105000,PBANKA_010500,,,,,,,,,
PBANKA_0105100,PBANKA_010510,,,,,,,,,
PBANKA_0105200,PBANKA_010520,,,,,,,,,
PBANKA_0105300,PBANKA_010530,,,,,,,,,
PBANKA_0105400,PBANKA_010540,,,,,,,,,
PBANKA_0105500,PBANKA_010550,,,,,,,,,
PBANKA_0105600,PBANKA_010560,,,,,,,,,
PBANKA_0105700,PBANKA_010570,,,,,,,,,
PBANKA_0105800,PBANKA_010580,,,,,,,,,
PBANKA_0105900,PBANKA_010590,,,,,,,,,
PBANKA_0106000,PBANKA_010600,,,,,,,,,
PBANKA_0106100,PBANKA_010610,,,,,,,,,
PBANKA_0106200,PBANKA_010620,,,,,,,,,
PBANKA_0106300,PBANKA_010630,,,,,,,,,
PBANKA_0106400,PBANKA_010640,,,,,,,,,
PBANKA_0106500,PBANKA_010650,,,,,,,,,
PBANKA_0106600,PBANKA_010660,,,,,,,,,
PBANKA_0106700,PBANKA_010670,,,,,,,,,
PBANKA_0106800,PBANKA_010680,,,,,,,,,
PBANKA_0106900,PBANKA_010690,,,,,,,,,
PBANKA_0106950,PBANKA_010695,,,,,,,,,
PBANKA_0107000,PBANKA_010700,,,,,,,,,
PBANKA_0107100,PBANKA_010710,,,,,,,,,
PBANKA_0107200,PBANKA_010720,,,,,,,,,
PBANKA_0107300,PBANKA_010730,,,,,,,,,
PBANKA_0107400,PBANKA_010740,,,,,,,,,
PBANKA_0107500,PBANKA_010750,,,,,,,,,
PBANKA_0107600,PBANKA_010760,,,,,,,,,
PBANKA_0107700,PBANKA_010770,,,,,,,,,
PBANKA_0107800,PBANKA_010780,,,,,,,,,
PBANKA_0107900,PBANKA_010790,,,,,,,,,
PBANKA_0108000,PBANKA_010800,,,,,,,,,
PBANKA_0108100,PBANKA_010810,,,,,,,,,
PBANKA_0108200,PBANKA_010820,,,,,,,,,
PBANKA_0108300,PBANKA_010830,,,,,,,,,
PBANKA_0108400,PBANKA_010840,,,,,,,,,
PBANKA_0108500,PBANKA_010850,,,,,,,,,
PBANKA_0108600,PBANKA_010860,,,,,,,,,
PBANKA_0108700,PBANKA_010870,,,,,,,,,
PBANKA_0108800,PBANKA_010880,,,,,,,,,
PBANKA_0108900,PBANKA_010890,,,,,,,,,
PBANKA_0109000,PBANKA_010900,,,,,,,,,
PBANKA_0109100,PBANKA_010910,,,,,,,,,
PBANKA_0109200,PBANKA_010920,,,,,,,,,
PBANKA_0109300,PBANKA_010930,,,,,,,,,
PBANKA_0109400,PBANKA_010940,,,,,,,,,
PBANKA_0109500,PBANKA_010950,,,,,,,,,
PBANKA_0109600,PBANKA_010960,,,,,,,,,
PBANKA_0109700,PBANKA_010970,,,,,,,,,
PBANKA_0109800,PBANKA_010980,,,,,,,,,
PBANKA_0109900,PBANKA_010990,,,,,,,,,
PBANKA_0110000,PBANKA_011000,,,,,,,,,
PBANKA_0110100,PBANKA_011010,,,,,,,,,
PBANKA_0110200,PBANKA_011020,,,,,,,,,
PBANKA_0110300,PBANKA_011030,,,,,,,,,
PBANKA_0110400,PBANKA_011040,,,,,,,,,
PBANKA_0110500,PBANKA_011050,,,,,,,,,
PBANKA_0110600,PBANKA_011060,,,,,,,,,
PBANKA_0110700,PBANKA_011070,,,,,,,,,
PBANKA_0110800,PBANKA_011080,,,,,,,,,
PBANKA_0110900,PBANKA_011090,,,,,,,,,
PBANKA_0111000,PBANKA_011100,,,,,,,,,
PBANKA_0111100,PBANKA_011110,,,,,,,,,
PBANKA_0111200,PBANKA_011120,,,,,,,,,
PBANKA_0111400,PBANKA_011140,,,,,,,,,
PBANKA_0111500,PBANKA_011150,,,,,,,,,
PBANKA_0111600,PBANKA_011160,,,,,,,,,
PBANKA_0111700,PBANKA_011170,,,,,,,,,
PBANKA_0111800,PBANKA_011180,,,,,,,,,
PBANKA_0111900,PBANKA_011190,,,,,,,,,
PBANKA_0112000,PBANKA_011200,,,,,,,,,
PBANKA_0112100,PBANKA_011210,,,,,,,,,
PBANKA_0112200,PBANKA_011220,,,,,,,,,
PBANKA_0112300,PBANKA_011230,,,,,,,,,
PBANKA_0112400,PBANKA_011240,,,,,,,,,
PBANKA_0112500,PBANKA_011250,,,,,,,,,
PBANKA_0112600,PBANKA_011260,,,,,,,,,
PBANKA_0112621,PBANKA_124595,,,,,,,,,
PBANKA_0112641,PBANKA_124600,,,,,,,,,
PBANKA_0112681,PBANKA_110080,,,,,,,,,
PBANKA_0112701,PBANKA_120005,,,,,,,,,
PBANKA_0200400,PBANKA_020040,,,,,,,,,
PBANKA_0200500,PBANKA_020050,,,,,,,,,
PBANKA_0200600,PBANKA_020060,,,,,,,,,
PBANKA_0200650,PBANKA_020065,,,,,,,,,
PBANKA_0200670,PBANKA_020067,,,,,,,,,
PBANKA_0200700,PBANKA_020070,,,,,,,,,
PBANKA_0200751,PBANKA_000560,,,,,,,,,
PBANKA_0201000,PBANKA_020100,,,,,,,,,
PBANKA_0201100,PBANKA_020110,,,,,,,,,
PBANKA_0201200,PBANKA_020120,,,,,,,,,
PBANKA_0201250,PBANKA_020125,,,,,,,,,
PBANKA_0201300,PBANKA_020130,,,,,,,,,
PBANKA_0201340,PBANKA_020134,,,,,,,,,
PBANKA_0201360,PBANKA_020136,,,,,,,,,
PBANKA_0201400,PBANKA_020140,,,,,,,,,
PBANKA_0201450,PBANKA_020145,,,,,,,,,
PBANKA_0201500,PBANKA_020150,,,,,,,,,
PBANKA_0201600,PBANKA_020160,,,,,,,,,
PBANKA_0201700,PBANKA_020170,,,,,,,,,
PBANKA_0201800,PBANKA_020180,,,,,,,,,
PBANKA_0201900,PBANKA_020190,,,,,,,,,
PBANKA_0202000,PBANKA_020200,,,,,,,,,
PBANKA_0202100,PBANKA_020210,,,,,,,,,
PBANKA_0202200,PBANKA_020220,,,,,,,,,
PBANKA_0202300,PBANKA_020230,,,,,,,,,
PBANKA_0202400,PBANKA_020240,,,,,,,,,
PBANKA_0202500,PBANKA_020250,,,,,,,,,
PBANKA_0202600,PBANKA_020260,,,,,,,,,
PBANKA_0202700,PBANKA_020270,,,,,,,,,
PBANKA_0202800,PBANKA_020280,,,,,,,,,
PBANKA_0202900,PBANKA_020290,,,,,,,,,
PBANKA_0203000,PBANKA_020300,,,,,,,,,
PBANKA_0203100,PBANKA_020310,,,,,,,,,
PBANKA_0203200,PBANKA_020320,,,,,,,,,
PBANKA_0203300,PBANKA_020330,,,,,,,,,
PBANKA_0203400,PBANKA_020340,,,,,,,,,
PBANKA_0203500,PBANKA_020350,,,,,,,,,
PBANKA_0203600,PBANKA_020360,,,,,,,,,
PBANKA_0203800,PBANKA_020380,,,,,,,,,
PBANKA_0203900,PBANKA_020390,,,,,,,,,
PBANKA_0204000,PBANKA_020400,,,,,,,,,
PBANKA_0204100,PBANKA_020410,,,,,,,,,
PBANKA_0204200,PBANKA_020420,,,,,,,,,
PBANKA_0204300,PBANKA_020430,,,,,,,,,
PBANKA_0204400,PBANKA_020440,,,,,,,,,
PBANKA_0204500,PBANKA_020450,,,,,,,,,
PBANKA_0204600,PBANKA_020460,,,,,,,,,
PBANKA_0204700,PBANKA_020470,,,,,,,,,
PBANKA_0204800,PBANKA_020480,,,,,,,,,
PBANKA_0204900,PBANKA_020490,,,,,,,,,
PBANKA_0205000,PBANKA_020500,,,,,,,,,
PBANKA_0205100,PBANKA_020510,,,,,,,,,
PBANKA_0205200,PBANKA_020520,,,,,,,,,
PBANKA_0205300,PBANKA_020530,,,,,,,,,
PBANKA_0205400,PBANKA_020540,,,,,,,,,
PBANKA_0205500,PBANKA_020550,,,,,,,,,
PBANKA_0205600,PBANKA_020560,,,,,,,,,
PBANKA_0205700,PBANKA_020570,,,,,,,,,
PBANKA_0205800,PBANKA_020580,,,,,,,,,
PBANKA_0205900,PBANKA_020590,,,,,,,,,
PBANKA_0206000,PBANKA_020600,,,,,,,,,
PBANKA_0206100,PBANKA_020610,,,,,,,,,
PBANKA_0206200,PBANKA_020620,,,,,,,,,
PBANKA_0206300,PBANKA_020630,,,,,,,,,
PBANKA_0206400,PBANKA_020640,,,,,,,,,
PBANKA_0206500,PBANKA_020650,,,,,,,,,
PBANKA_0206600,PBANKA_020660,,,,,,,,,
PBANKA_0206700,PBANKA_020670,,,,,,,,,
PBANKA_0206800,PBANKA_020680,,,,,,,,,
PBANKA_0206900,PBANKA_020690,,,,,,,,,
PBANKA_0207000,PBANKA_020700,,,,,,,,,
PBANKA_0207100,PBANKA_020710,,,,,,,,,
PBANKA_0207200,PBANKA_020720,,,,,,,,,
PBANKA_0207300,PBANKA_020730,,,,,,,,,
PBANKA_0207400,PBANKA_020740,,,,,,,,,
PBANKA_0207500,PBANKA_020750,,,,,,,,,
PBANKA_0207600,PBANKA_020760,,,,,,,,,
PBANKA_0207700,PBANKA_020770,,,,,,,,,
PBANKA_0207800,PBANKA_020780,,,,,,,,,
PBANKA_0207900,PBANKA_020790,,,,,,,,,
PBANKA_0208000,PBANKA_020800,,,,,,,,,
PBANKA_0208100,PBANKA_020810,,,,,,,,,
PBANKA_0208200,PBANKA_020820,,,,,,,,,
PBANKA_0208300,PBANKA_020830,,,,,,,,,
PBANKA_0208400,PBANKA_020840,,,,,,,,,
PBANKA_0208500,PBANKA_020850,,,,,,,,,
PBANKA_0208600,PBANKA_020860,,,,,,,,,
PBANKA_0208700,PBANKA_020870,,,,,,,,,
PBANKA_0208800,PBANKA_020880,,,,,,,,,
PBANKA_0208900,PBANKA_020890,,,,,,,,,
PBANKA_0209000,PBANKA_020900,,,,,,,,,
PBANKA_0209100,PBANKA_020910,,,,,,,,,
PBANKA_0209200,PBANKA_020920,,,,,,,,,
PBANKA_0209300,PBANKA_020930,,,,,,,,,
PBANKA_0209400,PBANKA_020940,,,,,,,,,
PBANKA_0209500,PBANKA_020950,,,,,,,,,
PBANKA_0209600,PBANKA_020960,,,,,,,,,
PBANKA_0209700,PBANKA_020970,,,,,,,,,
PBANKA_0209800,PBANKA_020980,,,,,,,,,
PBANKA_0209900,PBANKA_020990,,,,,,,,,
PBANKA_0210000,PBANKA_021000,,,,,,,,,
PBANKA_0210100,PBANKA_021010,,,,,,,,,
PBANKA_0210200,PBANKA_021020,,,,,,,,,
PBANKA_0210300,PBANKA_021030,,,,,,,,,
PBANKA_0210400,PBANKA_021040,,,,,,,,,
PBANKA_0210500,PBANKA_021050,,,,,,,,,
PBANKA_0210600,PBANKA_021060,,,,,,,,,
PBANKA_0210700,PBANKA_021070,,,,,,,,,
PBANKA_0210800,PBANKA_021080,,,,,,,,,
PBANKA_0210900,PBANKA_021090,,,,,,,,,
PBANKA_0211000,PBANKA_021100,,,,,,,,,
PBANKA_0211100,PBANKA_021110,,,,,,,,,
PBANKA_0211200,PBANKA_021120,,,,,,,,,
PBANKA_0211300,PBANKA_021130,,,,,,,,,
PBANKA_0211400,PBANKA_021140,,,,,,,,,
PBANKA_0211500,PBANKA_021150,,,,,,,,,
PBANKA_0211600,PBANKA_021160,,,,,,,,,
PBANKA_0211700,PBANKA_021170,,,,,,,,,
PBANKA_0211800,PBANKA_021180,,,,,,,,,
PBANKA_0211900,PBANKA_021190,,,,,,,,,
PBANKA_0212000,PBANKA_021200,,,,,,,,,
PBANKA_0212100,PBANKA_021210,,,,,,,,,
PBANKA_0212200,PBANKA_021220,,,,,,,,,
PBANKA_0212300,PBANKA_021230,,,,,,,,,
PBANKA_0212400,PBANKA_021240,,,,,,,,,
PBANKA_0212500,PBANKA_021250,,,,,,,,,
PBANKA_0212600,PBANKA_021260,,,,,,,,,
PBANKA_0212700,PBANKA_021270,,,,,,,,,
PBANKA_0212800,PBANKA_021280,,,,,,,,,
PBANKA_0212900,PBANKA_021290,,,,,,,,,
PBANKA_0213000,PBANKA_021300,,,,,,,,,
PBANKA_0213100,PBANKA_021310,,,,,,,,,
PBANKA_0213200,PBANKA_021320,,,,,,,,,
PBANKA_0213300,PBANKA_021330,,,,,,,,,
PBANKA_0213400,PBANKA_021340,,,,,,,,,
PBANKA_0213500,PBANKA_021350,,,,,,,,,
PBANKA_0213600,PBANKA_021360,,,,,,,,,
PBANKA_0213700,PBANKA_021370,,,,,,,,,
PBANKA_0213800,PBANKA_021380,,,,,,,,,
PBANKA_0213900,PBANKA_021390,,,,,,,,,
PBANKA_0214000,PBANKA_021400,,,,,,,,,
PBANKA_0214100,PBANKA_021410,,,,,,,,,
PBANKA_0214200,PBANKA_021420,,,,,,,,,
PBANKA_0214300,PBANKA_021430,,,,,,,,,
PBANKA_0214400,PBANKA_021440,,,,,,,,,
PBANKA_0214500,PBANKA_021450,,,,,,,,,
PBANKA_0214521,,,,,,,,,,
PBANKA_0214531,,,,,,,,,,
PBANKA_0214550,PBANKA_021455,,,,,,,,,
PBANKA_0214600,PBANKA_021460,,,,,,,,,
PBANKA_0214700,PBANKA_021470,,,,,,,,,
PBANKA_0214800,PBANKA_021480,,,,,,,,,
PBANKA_0214900,PBANKA_021490,,,,,,,,,
PBANKA_0215700,PBANKA_021570,,,,,,,,,
PBANKA_0215800,PBANKA_021580,,,,,,,,,
PBANKA_0215900,PBANKA_021590,,,,,,,,,
PBANKA_0216000,PBANKA_021600,,,,,,,,,
PBANKA_0216021,PBANKA_094370,,,,,,,,,
PBANKA_0216061,PBANKA_000600,,,,,,,,,
PBANKA_0216081,PBANKA_010005,,,,,,,,,
PBANKA_0300200,PBANKA_030020,,,,,,,,,
PBANKA_0300300,PBANKA_030030,,,,,,,,,
PBANKA_0300400,PBANKA_030040,,,,,,,,,
PBANKA_0300500,PBANKA_030050,,,,,,,,,
PBANKA_0300600,PBANKA_030060,,,,,,,,,
PBANKA_0300700,PBANKA_030070,,,,,,,,,
PBANKA_0300800,PBANKA_030080,,,,,,,,,
PBANKA_0300900,PBANKA_030090,,,,,,,,,
PBANKA_0301000,PBANKA_030100,,,,,,,,,
PBANKA_0301100,PBANKA_030110,,,,,,,,,
PBANKA_0301200,PBANKA_030120,,,,,,,,,
PBANKA_0301300,PBANKA_030130,,,,,,,,,
PBANKA_0301351,,,,,,,,,,
PBANKA_0301400,PBANKA_030140,,,,,,,,,
PBANKA_0301500,PBANKA_030150,,,,,,,,,
PBANKA_0301600,PBANKA_030160,,,,,,,,,
PBANKA_0301700,PBANKA_030170,,,,,,,,,
PBANKA_0301800,PBANKA_030180,,,,,,,,,
PBANKA_0301900,PBANKA_030190,,,,,,,,,
PBANKA_0302000,PBANKA_030200,,,,,,,,,
PBANKA_0302100,PBANKA_030210,,,,,,,,,
PBANKA_0302200,PBANKA_030220,,,,,,,,,
PBANKA_0302300,PBANKA_030230,,,,,,,,,
PBANKA_0302400,PBANKA_030240,,,,,,,,,
PBANKA_0302500,PBANKA_030250,,,,,,,,,
PBANKA_0302600,PBANKA_030260,,,,,,,,,
PBANKA_0302700,PBANKA_030270,,,,,,,,,
PBANKA_0302800,PBANKA_030280,,,,,,,,,
PBANKA_0302900,PBANKA_030290,,,,,,,,,
PBANKA_0303000,PBANKA_030300,,,,,,,,,
PBANKA_0303100,PBANKA_030310,,,,,,,,,
PBANKA_0303200,PBANKA_030320,,,,,,,,,
PBANKA_0303300,PBANKA_030330,,,,,,,,,
PBANKA_0303400,PBANKA_030340,,,,,,,,,
PBANKA_0303500,PBANKA_030350,,,,,,,,,
PBANKA_0303600,PBANKA_030360,,,,,,,,,
PBANKA_0303700,PBANKA_030370,,,,,,,,,
PBANKA_0303800,PBANKA_030380,,,,,,,,,
PBANKA_0303900,PBANKA_030390,,,,,,,,,
PBANKA_0304000,PBANKA_030400,,,,,,,,,
PBANKA_0304100,PBANKA_030410,,,,,,,,,
PBANKA_0304200,PBANKA_030420,,,,,,,,,
PBANKA_0304300,PBANKA_030430,,,,,,,,,
PBANKA_0304400,PBANKA_030440,,,,,,,,,
PBANKA_0304500,PBANKA_030450,,,,,,,,,
PBANKA_0304600,PBANKA_030460,,,,,,,,,
PBANKA_0304700,PBANKA_030470,,,,,,,,,
PBANKA_0304800,PBANKA_030480,,,,,,,,,
PBANKA_0304900,PBANKA_030490,,,,,,,,,
PBANKA_0305000,PBANKA_030500,,,,,,,,,
PBANKA_0305100,PBANKA_030510,,,,,,,,,
PBANKA_0305200,PBANKA_030520,,,,,,,,,
PBANKA_0305300,PBANKA_030530,,,,,,,,,
PBANKA_0305400,PBANKA_030540,,,,,,,,,
PBANKA_0305500,PBANKA_030550,,,,,,,,,
PBANKA_0305600,PBANKA_030560,,,,,,,,,
PBANKA_0305700,PBANKA_030570,,,,,,,,,
PBANKA_0305800,PBANKA_030580,,,,,,,,,
PBANKA_0305900,PBANKA_030590,,,,,,,,,
PBANKA_0306000,PBANKA_030600,,,,,,,,,
PBANKA_0306100,PBANKA_030610,,,,,,,,,
PBANKA_0306200,PBANKA_030620,,,,,,,,,
PBANKA_0306300,PBANKA_030630,,,,,,,,,
PBANKA_0306400,PBANKA_030640,,,,,,,,,
PBANKA_0306500,PBANKA_030650,,,,,,,,,
PBANKA_0306600,PBANKA_030660,,,,,,,,,
PBANKA_0306700,PBANKA_030670,,,,,,,,,
PBANKA_0306800,PBANKA_030680,,,,,,,,,
PBANKA_0306900,PBANKA_030690,,,,,,,,,
PBANKA_0307000,PBANKA_030700,,,,,,,,,
PBANKA_0307100,PBANKA_030710,,,,,,,,,
PBANKA_0307200,PBANKA_030720,,,,,,,,,
PBANKA_0307300,PBANKA_030730,,,,,,,,,
PBANKA_0307400,PBANKA_030740,,,,,,,,,
PBANKA_0307500,PBANKA_030750,,,,,,,,,
PBANKA_0307600,PBANKA_030760,,,,,,,,,
PBANKA_0307700,PBANKA_030770,,,,,,,,,
PBANKA_0307800,PBANKA_030780,,,,,,,,,
PBANKA_0307900,PBANKA_030790,,,,,,,,,
PBANKA_0308000,PBANKA_030800,,,,,,,,,
PBANKA_0308100,PBANKA_030810,,,,,,,,,
PBANKA_0308200,PBANKA_030820,,,,,,,,,
PBANKA_0308300,PBANKA_030830,,,,,,,,,
PBANKA_0308400,PBANKA_030840,,,,,,,,,
PBANKA_0308500,PBANKA_030850,,,,,,,,,
PBANKA_0308600,PBANKA_030860,,,,,,,,,
PBANKA_0308700,PBANKA_030870,,,,,,,,,
PBANKA_0308800,PBANKA_030880,,,,,,,,,
PBANKA_0308900,PBANKA_030890,,,,,,,,,
PBANKA_0309000,PBANKA_030900,,,,,,,,,
PBANKA_0309100,PBANKA_030910,,,,,,,,,
PBANKA_0309400,PBANKA_030940,,,,,,,,,
PBANKA_0309500,PBANKA_030950,,,,,,,,,
PBANKA_0309600,PBANKA_030960,,,,,,,,,
PBANKA_0309700,PBANKA_030970,,,,,,,,,
PBANKA_0309800,PBANKA_030980,,,,,,,,,
PBANKA_0309900,PBANKA_030990,,,,,,,,,
PBANKA_0310000,PBANKA_031000,,,,,,,,,
PBANKA_0310100,PBANKA_031010,,,,,,,,,
PBANKA_0310200,PBANKA_031020,,,,,,,,,
PBANKA_0310300,PBANKA_031030,,,,,,,,,
PBANKA_0310400,PBANKA_031040,,,,,,,,,
PBANKA_0310500,PBANKA_031050,,,,,,,,,
PBANKA_0310600,PBANKA_031060,,,,,,,,,
PBANKA_0310700,PBANKA_031070,,,,,,,,,
PBANKA_0310800,PBANKA_031080,,,,,,,,,
PBANKA_0310900,PBANKA_031090,,,,,,,,,
PBANKA_0311000,PBANKA_031100,,,,,,,,,
PBANKA_0311100,PBANKA_031110,,,,,,,,,
PBANKA_0311200,PBANKA_031120,,,,,,,,,
