GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0510300,PFE0510c,"stripes inner membrane complex protein, putative (SIP)",1.833297,0.4280135,√,,transcribed,,,,,,√,√,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1430900,PF14_0288,"cytochrome c oxidase subunit II precursor, putative",0.793195,0.3396735,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_1469200,PF14_0660,"protein phosphatase, putative",-0.116389,0.3188995,,,,√,,,,,√,,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0906400,PFI0315c,"dynein light intermediate chain 2, cytosolic",0.647216,0.3115665,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0816200,PF08_0064,"vacuolar protein-sorting protein VPS2, putative",0.548697,0.2818845,,,,,,,,,√,√,√,√,,,√,√,,6,NO,YES,,,
PF3D7_0906100,PFI0300w,"developmental protein, putative",-1.162658,0.2742755,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0109400,PFA0460c,"tubulin-specific chaperone a, putative",-1.741397,0.2287745,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1420900,PF14_0774,"mannose-1-phosphate guanyltransferase, putative",-1.549107,0.2068305,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0623900,PFF1150w,"ribonuclease HII, putative",-0.028096,0.187077,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_1011000,PF10_0107,"conserved protein, unknown function",-0.7128965,0.179415,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0815400,MAL8P1.85,"conserved Plasmodium protein, unknown function",-0.976577,0.1692805,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0905000,PFI0245c,"conserved Plasmodium protein, unknown function",-0.821129,0.148852,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0320700,PFC0912w,"signal peptidase complex subunit 2, putative (SPC2)",-0.10601,0.1436545,,,,,,,,,,√,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0311800,PFC0500w,"conserved protein, unknown function",0.108259,0.117809,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0320800,PFC0915w,"ATP-dependent RNA helicase, putative (DOZI)",-0.4439845,0.0962795,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1017400,PF10_0169,"phosphomannomutase, putative",-1.327196,0.0682055,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0611300,PFF0555w,"conserved Plasmodium protein, unknown function",-0.7800915,0.0504765,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0813500,PF08_0080,"conserved Plasmodium protein, unknown function",-1.250774,-0.0150265,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1142800,PF11_0440,"conserved Plasmodium protein, unknown function",-0.6651055,-0.022326,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_1439600,PF14_0375,"conserved Plasmodium protein, unknown function",1.327874,-0.035246,√,,transcribed,,,,,,√,,√,√,,√,√,√,,6,YES,YES,,,
PF3D7_1432700,PF14_0309,"protein-L-isoaspartate O-methyltransferase beta-aspartate methyltransferase, putative",-0.787802,-0.03596,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0907300,PFI0350c,"conserved Plasmodium protein, unknown function",-0.287058,-0.110346,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0904400,PFI0215c,"signal peptidase complex subunit 3, putative (SPC3)",-0.517772,-0.1235395,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1460400,PF14_0576,ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCHL3),1.5457225,-0.1339415,√,,transcribed,,,,,,√,,√,√,,,√,√,√,6,YES,YES,,,
PF3D7_0718500,MAL7P1.94,"prefoldin subunit 3, putative",0.513674,-0.166525,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0802900,MAL8P1.148,"conserved Plasmodium protein, unknown function",1.1515645,-0.1992855,√,,transcribed,,,,,,√,√,√,√,,√,√,,,6,YES,YES,,,
PF3D7_0107400,PFA0370w,"conserved Plasmodium protein, unknown function",1.2983075,-0.222612,√,,transcribed,,,,,,√,√,,√,,√,√,√,,6,YES,YES,,,
PF3D7_1010100,PF10_0098,"conserved Plasmodium protein, unknown function",-1.896059,-0.2265425,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0509000,PFE0445c,"SNAP protein (soluble N-ethylmaleimide-sensitive factor Attachment Protein), putative",-1.69091,-0.258544,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0513800,PFE0690c,Rab GTPase 1a (RAB1a),-1.4338055,-0.2910685,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0817900,MAL8P1.72,high mobility group protein (HMGB2),-2.912571,-0.2946275,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0418500,PFD0895c,"Bet3 transport protein, putative (BET3p)",-0.689397,-0.295758,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1024300,PF10_0236,"conserved Plasmodium protein, unknown function",1.249376,-0.300641,√,,transcribed,,,,,,√,,√,√,,√,√,√,,6,YES,YES,,,
PF3D7_0808400,MAL8P1.121,"coatomer epsilon subunit, putative",-1.2939105,-0.465189,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0306200,PFC0270w,activator of Hsp90 ATPase (AHA1),0.396845,-0.518751,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0213700,PFB0620w,"conserved protein, unknown function",-0.063618,-0.5358035,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0422600,PFD1065c,"conserved Plasmodium protein, unknown function",-0.749958,-0.551575,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1347400,MAL13P1.236,"conserved Plasmodium protein, unknown function",0.574472,-0.627818,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0106400,PFA0315w,"conserved Plasmodium protein, unknown function",0.3996405,-0.6867065,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1032500,PF10_0317,"DER1-like protein, putative (Der1-2)",0.6127935,-0.6967375,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_1002900,PF10_0033,"conserved Plasmodium protein, unknown function",0.5730075,-0.9013515,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_0415400,PFD0745c,"nonclathrin coat protein zeta2-cop-related protein, putative",1.5114595,-0.969709,√,,transcribed,,,,,,√,√,,√,,√,√,√,,6,YES,YES,,,
PF3D7_1410000,PF14_0098,"tetratricopeptide repeat family protein, putative",-1.6969745,-1.010569,,,,,,,,,√,,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0423700,PFD1120c,early transcribed membrane protein 4 (ETRAMP4),-2.721986,2.834225,,√,stabilized,,,,,,√,,√,√,√,√,√,,,6,YES,YES,,,
PF3D7_1474000,PF14_0708,"probable protein, unknown function",-1.378665,1.804172,,√,stabilized,,,,√,,√,,√,√,√,√,,,,6,YES,YES,,,
PF3D7_0904200,PFI0205w,"conserved Plasmodium protein, unknown function",0.130804,1.4711865,,√,stabilized,,√,,,,√,√,√,√,,√,,,,6,YES,YES,,,
PF3D7_1346700,PF13_0247,6-cysteine protein (P48/45),-0.921334,1.422613,,√,stabilized,,√,,,,√,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1466800,PF14_0636,"conserved Plasmodium protein, unknown function",-1.592847,1.421209,,√,stabilized,,√,,,,√,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1477300,PF14_0744,"Plasmodium exported protein, unknown function (Pfg14-744)",0.2535915,1.286176,,√,stabilized,,,√,√,,√,,,√,,√,√,,,6,YES,YES,,,
PF3D7_0414500,PFD0700c,"RNA binding protein, putative",0.1399465,1.239295,,√,stabilized,,√,,,,√,√,,√,,√,√,,,6,YES,YES,,,
PF3D7_1467600,PF14_0644,"conserved Plasmodium protein, unknown function",-0.0683335,1.185666,,√,stabilized,,√,,,,√,,√,√,√,√,,,,6,YES,YES,,,
PF3D7_1038400,PF10_0374,gametocyte-specific protein (Pf11-1),0.535324,1.1704025,,√,stabilized,,√,,,,√,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1146800,PF11_0479,"conserved Plasmodium protein, unknown function",-0.2700185,1.11147,,√,stabilized,,√,,,,√,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_0828700,MAL8P1.12,"conserved Plasmodium protein, unknown function",-0.8156665,1.0514675,,√,stabilized,,,,,,,√,√,√,,,√,√,√,6,YES,YES,,,
PF3D7_1241400,PFL1990c,"RNA binding protein, putative",-0.381781,0.965344,,,,,√,,,,√,,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0114000,PFA0675w,"RESA-like protein with DnaJ domain, putative (GEXP06)",-0.223773,0.925883,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0530800,PFE1540w,CPW-WPC family protein,0.4645605,0.8327045,,,,,√,,,√,√,√,√,√,,,,,,6,NO,YES,,,
PF3D7_0421700,PFD1030c,"conserved Plasmodium protein, unknown function",0.833243,0.7063595,√,,transcribed,,,,,,√,√,√,√,,,,√,√,6,YES,YES,,,
PF3D7_1118900,PF11_0196,"conserved Plasmodium protein, unknown function",0.7222415,0.6910805,,,,,√,,,,√,,,√,,,√,√,√,6,NO,YES,,,
PF3D7_1455800,PF14_0532,LCCL domain-containing protein (CCp2),0.6748315,0.661764,√,,transcribed,,√,,,√,√,,√,√,,,√,,,6,YES,YES,,,
PF3D7_1003700,PF10_0040,"conserved Plasmodium protein, unknown function",-0.4665165,0.6280305,,,,,√,,,,,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1416400,PF14_0162,"conserved Plasmodium protein, unknown function",-0.495941,0.6134145,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_1102600,PF11_0038,"Plasmodium exported protein, unknown function (GEXP14)",0.201184,0.6065205,,,,,,,√,,√,,,√,√,√,√,,,6,NO,YES,,,
PF3D7_0518600,PFE0930w,"WD-repeat protein, putative",-0.349006,0.5948585,,,,,√,,,,√,√,√,√,,,√,,,6,NO,YES,,,
PF3D7_1407000,PF14_0067,LCCL domain-containing protein (CCp3),0.332194,0.581353,,,,,√,,,,√,,,√,,,√,√,√,6,NO,YES,,,
PF3D7_0515600,PFE0780w,"conserved Plasmodium protein, unknown function",0.416631,0.512965,√,,transcribed,,√,,,,√,√,√,√,,,√,,,6,YES,YES,,,
PF3D7_0605600,PFF0275c,"nucleoside diphosphate kinase, putative",0.7821475,0.508891,√,,transcribed,,,,,,,√,√,√,,,√,√,√,6,YES,YES,,,
PF3D7_0723200,MAL7P1.124,"conserved Plasmodium protein, unknown function",0.450454,0.460189,,,,,,,,,√,√,√,√,,,,√,√,6,NO,YES,,,
PF3D7_0602000,PFF0095c,"conserved Plasmodium protein, unknown function",-1.0342325,0.455683,,,,,√,,,,,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0417600,PFD0855c,"conserved Plasmodium protein, unknown function",0.533011,0.4076935,√,,transcribed,,,,,,,√,√,√,,,√,√,√,6,YES,YES,,,
PF3D7_0825100,MAL8P1.28,"conserved Plasmodium protein, unknown function",1.3418575,0.3790015,√,,transcribed,,√,,,,√,√,√,√,,,√,,,6,YES,YES,,,
PF3D7_0215000,PFB0685c,"acyl-CoA synthetase, PfACS9 (ACS9)",-0.113366,0.3541925,,,,√,,,,,,√,,√,√,√,√,,,6,NO,YES,,,
PF3D7_0305800,PFC0260w,"P-loop containing nucleoside triphospahte hydrolase, putative",1.745492,0.345302,√,,transcribed,,√,,,,√,√,√,√,,,√,,,6,YES,YES,,,
PF3D7_1010500,PF10_0102,"ankyrin-repeat protein, putative",1.1402545,0.3078735,√,,transcribed,,√,,,,√,√,√,√,,,√,,,6,YES,YES,,,
PF3D7_0624900,PFF1200w,"conserved Plasmodium protein, unknown function",0.7993845,0.289604,,,,,,,,,,√,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_1303900,MAL13P1.20,"conserved Plasmodium protein, unknown function",1.367431,0.2594175,√,,transcribed,,√,,,,√,,,√,,,√,√,√,6,YES,YES,,,
PF3D7_1220000,PFL0965c,"conserved Plasmodium protein, unknown function",1.8028425,0.256758,√,,transcribed,,,,,,√,,√,√,,,√,√,√,6,YES,YES,,,
PF3D7_1474400,PF14_0712,"conserved Plasmodium protein, unknown function",0.483389,0.235438,,,,,√,,,,√,,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1404200,PF14_0039,"conserved Plasmodium protein, unknown function",0.4952275,0.2341235,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_1104600,PF11_0057,"conserved Plasmodium protein, unknown function",0.3018845,0.2301285,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0914800,PFI0725c,"GINS complex subunit Psf3, putative",-2.07722,0.199836,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0503200,PFE0155w,"conserved Plasmodium protein, unknown function",-1.021133,0.1751255,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_0320600,PFC0911c,"conserved Plasmodium protein, unknown function",-1.8314495,0.126239,,,,,,,,,√,√,,√,,,√,√,√,6,NO,YES,,,
PF3D7_1004500,PF10_0048,"conserved Plasmodium protein, unknown function",0.4501185,0.0259705,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
