GeneNew	Type	Domain	Domain2	Val1	Val2	Val3
PF3D7_0900700	InterproscanData_RSRC	TIGR01477	TIGR01477	1	381	0.00E+00
PF3D7_0900800	InterproscanData_RSRC	PF15445	ATS	31	438	3.00E-106
PF3D7_0900900	InterproscanData_RSRC	TIGR01478	TIGR01478	1	300	0.00E+00
PF3D7_0900900	InterproscanData_RSRC	PF02009	Rifin_STEVOR	30	300	4.70E-68
PF3D7_0901000	InterproscanData_RSRC	TIGR01477	TIGR01477	1	309	3.70E-94
PF3D7_0901000	InterproscanData_RSRC	PF02009	Rifin_STEVOR	25	309	1.10E-97
PF3D7_0901100	InterproscanData_RSRC	TIGR01477	TIGR01477	1	350	5.10E-110
PF3D7_0901100	InterproscanData_RSRC	PF02009	Rifin_STEVOR	21	350	1.90E-78
PF3D7_0901200	InterproscanData_RSRC	PF09687	PRESAN	2	54	6.60E-08
PF3D7_0901300	InterproscanData_RSRC	SSF47473	53359	56	130	6.40E-07
PF3D7_0901300	InterproscanData_RSRC	PF02009	Rifin_STEVOR	22	378	1.00E-103
PF3D7_0901300	InterproscanData_RSRC	TIGR01477	TIGR01477	1	378	0.00E+00
PF3D7_0901400	InterproscanData_RSRC	PF02009	Rifin_STEVOR	30	350	5.00E-87
PF3D7_0901400	InterproscanData_RSRC	TIGR01477	TIGR01477	1	350	0.00E+00
PF3D7_0901500	InterproscanData_RSRC	TIGR01477	TIGR01477	1	365	0.00E+00
PF3D7_0901500	InterproscanData_RSRC	PF02009	Rifin_STEVOR	27	365	3.30E-89
PF3D7_0901600	InterproscanData_RSRC	TIGR01478	TIGR01478	1	303	0.00E+00
PF3D7_0901600	InterproscanData_RSRC	PF02009	Rifin_STEVOR	31	303	7.50E-68
PF3D7_0902000	InterproscanData_RSRC	SSF56112	53164	305	540	2.40E-24
PF3D7_0901800	InterproscanData_RSRC	TIGR01519	TIGR01519	178	244	4.60E-09
PF3D7_0901800	InterproscanData_RSRC	PF09715	Plasmod_dom_1	178	243	7.10E-08
PF3D7_0902000	InterproscanData_RSRC	SM00220	S_TKc	180	539	2.10E-03
PF3D7_0902000	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	172	539	1.70E+01
PF3D7_0902000	InterproscanData_RSRC	PF00069	Pkinase	294	539	2.10E-16
PF3D7_0902000	InterproscanData_RSRC	SSF56112	53164	207	276	2.40E-24
PF3D7_0902100	InterproscanData_RSRC	SM00220	S_TKc	175	517	1.20E-05
PF3D7_0902100	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	133	517	1.90E+01
PF3D7_0902100	InterproscanData_RSRC	SSF56112	53164	437	519	2.20E-29
PF3D7_0902100	InterproscanData_RSRC	SSF56112	53164	288	401	2.20E-29
PF3D7_0902100	InterproscanData_RSRC	SSF56112	53164	221	257	2.20E-29
PF3D7_0902100	InterproscanData_RSRC	PF00069	Pkinase	282	517	8.70E-20
PF3D7_0902200	InterproscanData_RSRC	SSF56112	53164	396	632	3.90E-23
PF3D7_0902200	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	287	630	1.70E+01
PF3D7_0902200	InterproscanData_RSRC	PF00069	Pkinase	394	630	9.30E-14
PF3D7_0902200	InterproscanData_RSRC	SSF56112	53164	311	367	3.90E-23
PF3D7_0902200	InterproscanData_RSRC	SM00220	S_TKc	368	630	4.40E-04
PF3D7_0902300	InterproscanData_RSRC	SSF56112	53164	361	605	5.30E-24
PF3D7_0902300	InterproscanData_RSRC	PF00069	Pkinase	349	604	1.00E-18
PF3D7_0902300	InterproscanData_RSRC	SM00220	S_TKc	292	604	2.80E-05
PF3D7_0902300	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	250	604	1.80E+01
PF3D7_0902400	InterproscanData_RSRC	SM00220	S_TKc	263	537	7.80E-05
PF3D7_0902400	InterproscanData_RSRC	PF00069	Pkinase	304	537	8.00E-17
PF3D7_0902400	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	215	537	1.60E+01
PF3D7_0902400	InterproscanData_RSRC	SSF56112	53164	303	539	3.60E-23
PF3D7_0902400	InterproscanData_RSRC	SSF56112	53164	233	274	3.60E-23
PF3D7_0902500	InterproscanData_RSRC	PF00069	Pkinase	355	589	2.80E-14
PF3D7_0902500	InterproscanData_RSRC	SSF56112	53164	286	326	2.20E-23
PF3D7_0902500	InterproscanData_RSRC	SSF56112	53164	355	590	2.20E-23
PF3D7_0902500	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	227	589	1.50E+01
PF3D7_0902500	InterproscanData_RSRC	SM00220	S_TKc	233	589	8.90E-04
PF3D7_0902600	InterproscanData_RSRC	SSF56112	53164	508	603	6.20E-24
PF3D7_0902600	InterproscanData_RSRC	SSF56112	53164	344	480	6.20E-24
PF3D7_0902600	InterproscanData_RSRC	PS50011	PROTEIN_KINASE_DOM	278	598	1.20E+01
PF3D7_0902600	InterproscanData_RSRC	SM00220	S_TKc	225	598	5.30E-06
PF3D7_0902600	InterproscanData_RSRC	PF00069	Pkinase	364	598	1.80E-14
PF3D7_0902700	InterproscanData_RSRC	PF09687	PRESAN	150	277	5.70E-15
PF3D7_0902800	InterproscanData_RSRC	SM00645	Pept_C1	491	742	1.10E-31
PF3D7_0902800	InterproscanData_RSRC	SSF54001	53371	475	745	3.00E-57
PF3D7_0902800	InterproscanData_RSRC	PF00112	Peptidase_C1	498	732	9.70E-25
PF3D7_0902900	InterproscanData_RSRC	PS51257	PROKAR_LIPOPROTEIN	1	23	5.00E+00
PF3D7_0903100	InterproscanData_RSRC	PIRSF016013		1	201	0.00E+00
PF3D7_0903100	InterproscanData_RSRC	PF03248	Rer1	9	191	1.20E-67
PF3D7_0903200	InterproscanData_RSRC	PF00071	Ras	10	175	3.60E-57
PF3D7_0903200	InterproscanData_RSRC	SSF52540	53350	4	188	8.00E-57
PF3D7_0903200	InterproscanData_RSRC	SM00173	RAS	6	177	5.50E-29
PF3D7_0903200	InterproscanData_RSRC	SM00176	RAN	14	200	1.60E-10
PF3D7_0903200	InterproscanData_RSRC	TIGR00231	TIGR00231	8	170	1.30E-28
PF3D7_0903200	InterproscanData_RSRC	SM00175	RAB	9	177	1.40E-89
PF3D7_0903200	InterproscanData_RSRC	SM00174	RHO	11	177	6.80E-13
PF3D7_0903200	InterproscanData_RSRC	PS51419	RAB	4	206	3.20E+01
PF3D7_0903300	InterproscanData_RSRC	SSF56112	53164	2515	2704	1.10E-05
PF3D7_0903400	InterproscanData_RSRC	SSF52540	53350	1249	1303	1.90E-17
PF3D7_0903400	InterproscanData_RSRC	SSF52540	53350	1821	1927	1.90E-17
PF3D7_0903400	InterproscanData_RSRC	SM00487	DEXDc	1230	1436	4.80E-17
PF3D7_0903400	InterproscanData_RSRC	PS51192	HELICASE_ATP_BIND_1	1242	1424	1.80E+01
PF3D7_0903400	InterproscanData_RSRC	PS51194	HELICASE_CTER	1784	1945	8.10E+00
PF3D7_0903400	InterproscanData_RSRC	SSF52540	53350	1197	1419	2.40E-27
PF3D7_0903400	InterproscanData_RSRC	PF00270	DEAD	1238	1407	1.20E-15
PF3D7_0903600	InterproscanData_RSRC	SSF116907	50601	1	164	2.00E-27
PF3D7_0903600	InterproscanData_RSRC	SSF116907	50601	1	164	7.10E-26
PF3D7_0903700	InterproscanData_RSRC	PF03953	Tubulin_C	263	392	1.40E-51
PF3D7_0903700	InterproscanData_RSRC	SSF52490	50371	1	244	1.30E-97
PF3D7_0903700	InterproscanData_RSRC	SM00865	Tubulin_C	248	393	9.60E-52
PF3D7_0903700	InterproscanData_RSRC	SM00864	Tubulin	49	246	3.60E-71
PF3D7_0903700	InterproscanData_RSRC	PF00091	Tubulin	3	225	1.30E-70
PF3D7_0903700	InterproscanData_RSRC	SSF55307	50372	246	435	3.70E-85
PF3D7_0903800	InterproscanData_RSRC	SM00603	LCCL	685	769	7.80E-04
PF3D7_0903800	InterproscanData_RSRC	PS50820	LCCL	713	751	1.20E+01
PF3D7_0903800	InterproscanData_RSRC	SSF49899	53316	1392	1516	2.30E-08
PF3D7_0903800	InterproscanData_RSRC	PF03815	LCCL	693	773	1.20E-14
PF3D7_0903800	InterproscanData_RSRC	SSF56988	34993	244	403	1.30E-31
PF3D7_0903800	InterproscanData_RSRC	SSF69848	39469	685	780	5.60E-16
PF3D7_0903800	InterproscanData_RSRC	PS50231	RICIN_B_LECTIN	40	116	1.00E+01
PF3D7_0903900	InterproscanData_RSRC	SSF52042	37550	5	130	1.60E-50
PF3D7_0903900	InterproscanData_RSRC	PF01655	Ribosomal_L32e	13	122	2.30E-43
PF3D7_0904100	InterproscanData_RSRC	SSF48371	53212	26	452	5.30E-81
PF3D7_0904000	InterproscanData_RSRC	SM00164	TBC	12	225	5.60E-05
PF3D7_0904000	InterproscanData_RSRC	PF00566	RabGAP-TBC	47	222	4.50E-26
PF3D7_0904000	InterproscanData_RSRC	SSF47923	46806	144	235	2.90E-11
PF3D7_0904000	InterproscanData_RSRC	PS50086	TBC_RABGAP	1	202	1.10E+01
PF3D7_0904000	InterproscanData_RSRC	SSF47923	46806	25	163	7.10E-11
PF3D7_0904100	InterproscanData_RSRC	PF01602	Adaptin_N	622	738	4.30E-07
PF3D7_0904100	InterproscanData_RSRC	PF01602	Adaptin_N	49	453	4.70E-68
PF3D7_0904100	InterproscanData_RSRC	SSF48371	53212	617	737	5.30E-81
PF3D7_0904100	InterproscanData_RSRC	SSF48371	53212	1006	1030	5.30E-81
PF3D7_0904100	InterproscanData_RSRC	PIRSF037097		1	1357	0.00E+00
PF3D7_0904300	InterproscanData_RSRC	PF07699	GCC2_GCC3	69	111	2.30E-11
PF3D7_0904400	InterproscanData_RSRC	PF04573	SPC22	1	170	1.40E-48
PF3D7_0904400	InterproscanData_RSRC	PIRSF016089		1	177	8.00E-64
PF3D7_0904500	InterproscanData_RSRC	PF01920	Prefoldin_2	20	124	1.60E-23
PF3D7_0904500	InterproscanData_RSRC	PIRSF016477		1	129	8.60E-30
PF3D7_0904500	InterproscanData_RSRC	SSF46579	46875	20	121	8.90E-05
PF3D7_0904600	InterproscanData_RSRC	PF06337	DUSP	434	540	3.30E-13
PF3D7_0904600	InterproscanData_RSRC	SSF54001	53371	1412	1449	5.50E-63
PF3D7_0904600	InterproscanData_RSRC	SSF54001	53371	1485	1768	5.50E-63
PF3D7_0904600	InterproscanData_RSRC	PS51283	DUSP	407	541	1.30E+01
PF3D7_0904600	InterproscanData_RSRC	PS50235	UCH_2_3	1415	1770	2.60E+01
PF3D7_0904600	InterproscanData_RSRC	SM00695	DUSP	429	542	2.80E-03
PF3D7_0904600	InterproscanData_RSRC	PF00443	UCH	1415	1767	3.00E-41
PF3D7_0904600	InterproscanData_RSRC	SSF143791	50384	412	468	2.10E-20
PF3D7_0904600	InterproscanData_RSRC	SSF143791	50384	501	542	2.10E-20
PF3D7_0904700	InterproscanData_RSRC	PF00216	Bac_DNA_binding	58	147	1.20E-21
PF3D7_0904700	InterproscanData_RSRC	SSF47729	42179	58	147	3.70E-22
PF3D7_0904700	InterproscanData_RSRC	SM00411	BHL	58	147	4.00E-11
PF3D7_0904800	InterproscanData_RSRC	PF01336	tRNA_anti-codon	20	104	2.40E-06
PF3D7_0904800	InterproscanData_RSRC	SSF50249	53338	122	253	1.20E-14
PF3D7_0904800	InterproscanData_RSRC	PF08646	Rep_fac-A_C	306	443	2.90E-22
PF3D7_0904800	InterproscanData_RSRC	SSF50249	53338	9	116	7.70E-22
PF3D7_0904800	InterproscanData_RSRC	SSF50249	53338	277	452	5.10E-28
PF3D7_0904900	InterproscanData_RSRC	PF00122	E1-E2_ATPase	1727	1930	3.70E-30
PF3D7_0904900	InterproscanData_RSRC	PF00702	Hydrolase	1936	2467	1.10E-21
PF3D7_0904900	InterproscanData_RSRC	SSF81665	49473	1821	1933	5.50E-12
PF3D7_0904900	InterproscanData_RSRC	SSF81665	49473	2502	2561	5.50E-12
PF3D7_0904900	InterproscanData_RSRC	PS50846	HMA_2	395	471	8.80E+00
PF3D7_0904900	InterproscanData_RSRC	TIGR01494	TIGR01494	2357	2537	2.10E-30
PF3D7_0904900	InterproscanData_RSRC	TIGR01494	TIGR01494	1732	1995	1.60E-19
PF3D7_0904900	InterproscanData_RSRC	SSF56784	53041	1938	1957	1.40E-31
PF3D7_0904900	InterproscanData_RSRC	SSF56784	53041	2340	2558	1.40E-31
PF3D7_0904900	InterproscanData_RSRC	SSF81653	49471	1730	1812	3.90E-09
PF3D7_0905100	InterproscanData_RSRC	PF13634	Nucleoporin_FG	183	285	4.30E-08
PF3D7_0905100	InterproscanData_RSRC	PF13634	Nucleoporin_FG	354	443	4.80E-06
PF3D7_0905200	InterproscanData_RSRC	SSF103506	48588	1092	1187	6.70E-21
PF3D7_0905200	InterproscanData_RSRC	SSF103506	48588	31	93	5.50E-09
PF3D7_0905200	InterproscanData_RSRC	PF00153	Mito_carr	31	83	7.50E-08
PF3D7_0905200	InterproscanData_RSRC	PF00153	Mito_carr	1107	1194	1.40E-21
PF3D7_0905200	InterproscanData_RSRC	PF00153	Mito_carr	792	876	3.20E-11
PF3D7_0905200	InterproscanData_RSRC	PS50920	SOLCAR	792	873	1.40E+01
PF3D7_0905200	InterproscanData_RSRC	PS50920	SOLCAR	1109	1191	2.00E+01
PF3D7_0905200	InterproscanData_RSRC	SSF103506	48588	722	878	6.70E-23
PF3D7_0905300	InterproscanData_RSRC	PF12775	AAA_7	3593	3835	1.10E-32
PF3D7_0905300	InterproscanData_RSRC	SSF52540	53350	2957	3178	3.90E-07
PF3D7_0905300	InterproscanData_RSRC	SSF52540	53350	3589	3851	4.60E-12
PF3D7_0905300	InterproscanData_RSRC	PF03028	Dynein_heavy	5858	6115	3.40E-53
PF3D7_0905300	InterproscanData_RSRC	PF03028	Dynein_heavy	5292	5748	1.00E-107
PF3D7_0905300	InterproscanData_RSRC	PF12781	AAA_9	4753	4984	5.30E-48
PF3D7_0905300	InterproscanData_RSRC	SSF52540	53350	4247	4372	2.20E-12
PF3D7_0905300	InterproscanData_RSRC	SSF52540	53350	4017	4143	2.20E-12
PF3D7_0905300	InterproscanData_RSRC	SSF52540	53350	2724	2939	2.70E-20
PF3D7_0905300	InterproscanData_RSRC	PF12780	AAA_8	4234	4359	2.00E-25
PF3D7_0905300	InterproscanData_RSRC	PF12780	AAA_8	4020	4155	4.00E-28
PF3D7_0905300	InterproscanData_RSRC	PF12774	AAA_6	2707	2937	1.00E-86
PF3D7_0905300	InterproscanData_RSRC	PF12777	MT	4373	4731	4.90E-34
PF3D7_0905600	InterproscanData_RSRC	SSF50998	48022	191	214	1.60E-24
PF3D7_0905600	InterproscanData_RSRC	SSF50998	48022	294	431	1.60E-24
PF3D7_0905000	InterproscanData_RSRC	SSF52833	53320	136	261	1.20E-12
PF3D7_0905600	InterproscanData_RSRC	SSF50998	48022	75	132	1.60E-24
PF3D7_0905600	InterproscanData_RSRC	SSF50998	48022	570	701	1.60E-24
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	615	654	1.70E+00
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	88	129	5.70E+01
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	657	696	2.00E+02
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	323	358	1.60E+01
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	571	612	2.10E+01
PF3D7_0905600	InterproscanData_RSRC	SM00320	WD40	372	411	2.20E+02
PF3D7_0905700	InterproscanData_RSRC	PF03987	Autophagy_act_C	201	262	3.30E-28
PF3D7_0905700	InterproscanData_RSRC	PF10381	Autophagy_Cterm	284	307	7.80E-10
PF3D7_0905700	InterproscanData_RSRC	PF03986	Autophagy_N	14	151	6.60E-33
PF3D7_0905700	InterproscanData_RSRC	PF10381	Autophagy_Cterm	278	301	7.60E-10
PF3D7_0905700	InterproscanData_RSRC	PF03986	Autophagy_N	14	145	7.50E-33
PF3D7_0905700	InterproscanData_RSRC	PF03987	Autophagy_act_C	195	256	3.20E-28
PF3D7_0905700	InterproscanData_RSRC	PF03986	Autophagy_N	13	103	1.10E-32
PF3D7_0905800	InterproscanData_RSRC	SSF47676	50628	336	450	1.70E-16
PF3D7_0905800	InterproscanData_RSRC	PF08711	Med26	373	435	9.00E-15
PF3D7_0905800	InterproscanData_RSRC	PS51319	TFIIS_N	352	437	1.50E+01
PF3D7_0905900	InterproscanData_RSRC	PS50082	WD_REPEATS_2	138	180	1.10E+01
PF3D7_0905900	InterproscanData_RSRC	SSF50978	49784	325	509	8.60E-07
PF3D7_0905900	InterproscanData_RSRC	PS50082	WD_REPEATS_2	230	262	1.30E+01
PF3D7_0905900	InterproscanData_RSRC	PS50082	WD_REPEATS_2	186	229	1.50E+01
PF3D7_0905900	InterproscanData_RSRC	PF04053	Coatomer_WDAD	323	806	0.00E+00
PF3D7_0905900	InterproscanData_RSRC	PS50294	WD_REPEATS_REGION	11	271	4.00E+01
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	179	220	1.80E-10
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	46	85	1.90E-01
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	88	127	1.80E-05
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	131	171	4.40E-05
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	223	262	4.30E-09
PF3D7_0905900	InterproscanData_RSRC	SM00320	WD40	4	43	9.60E+00
PF3D7_0905900	InterproscanData_RSRC	PIRSF005567		1	959	0.00E+00
PF3D7_0905900	InterproscanData_RSRC	PF00400	WD40	58	85	4.30E-03
PF3D7_0905900	InterproscanData_RSRC	PF00400	WD40	181	220	5.00E-11
PF3D7_0905900	InterproscanData_RSRC	PF00400	WD40	134	170	6.00E-06
PF3D7_0905900	InterproscanData_RSRC	PF00400	WD40	91	127	5.70E-06
PF3D7_0905900	InterproscanData_RSRC	PF00400	WD40	225	262	2.10E-09
PF3D7_0905900	InterproscanData_RSRC	PS50082	WD_REPEATS_2	95	130	9.30E+00
PF3D7_0905900	InterproscanData_RSRC	SSF50978	49784	3	301	5.10E-66
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	1263	1363	7.40E-77
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	1074	1108	7.40E-77
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	741	795	7.40E-77
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	1167	1223	7.40E-77
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	850	1027	7.40E-77
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	707	768	4.20E-05
PF3D7_0906000	InterproscanData_RSRC	SSF50249	53338	472	561	4.20E-05
PF3D7_0906000	InterproscanData_RSRC	PF00773	RNB	873	1321	1.70E-61
PF3D7_0906000	InterproscanData_RSRC	SM00955	RNB	870	1322	8.20E-55
PF3D7_0906100	InterproscanData_RSRC	PF03357	Snf7	10	167	1.20E-10
PF3D7_0906300	InterproscanData_RSRC	SSF52972	52132	228	431	1.20E-36
PF3D7_0906300	InterproscanData_RSRC	PF02545	Maf	232	432	3.10E-28
PF3D7_0906400	InterproscanData_RSRC	PF05783	DLIC	337	530	4.10E-08
PF3D7_0906400	InterproscanData_RSRC	PF05783	DLIC	587	828	2.50E-20
PF3D7_0906500	InterproscanData_RSRC	PS51409	ARGINASE_2	12	411	3.60E+01
PF3D7_0906500	InterproscanData_RSRC	SSF52768	51754	22	73	1.10E-64
PF3D7_0906500	InterproscanData_RSRC	SSF52768	51754	150	375	1.10E-64
PF3D7_0906500	InterproscanData_RSRC	PF00491	Arginase	165	377	1.40E-53
PF3D7_0906600	InterproscanData_RSRC	PS50103	ZF_C3H1	93	120	1.40E+01
PF3D7_0906600	InterproscanData_RSRC	PS50103	ZF_C3H1	128	155	6.60E+00
PF3D7_0906600	InterproscanData_RSRC	SSF90229	52242	162	193	2.10E-06
PF3D7_0906600	InterproscanData_RSRC	SSF90229	52242	91	124	9.20E-07
PF3D7_0906600	InterproscanData_RSRC	SM00356	ZnF_C3H1	128	154	3.60E+01
PF3D7_0906600	InterproscanData_RSRC	SM00356	ZnF_C3H1	93	119	6.30E-03
PF3D7_0906600	InterproscanData_RSRC	SM00356	ZnF_C3H1	163	189	8.10E-04
PF3D7_0906600	InterproscanData_RSRC	PS50103	ZF_C3H1	163	190	1.30E+01
PF3D7_0906700	InterproscanData_RSRC	SSF52058	53105	165	247	2.80E-09
PF3D7_0906700	InterproscanData_RSRC	SSF52058	53105	282	348	2.80E-09
PF3D7_0906910	InterproscanData_RSRC	SSF54236	53295	1	91	1.90E-18
PF3D7_0906910	InterproscanData_RSRC	PF14560	Ubiquitin_2	4	91	4.80E-20
PF3D7_0906910	InterproscanData_RSRC	SM01052	CAP_GLY	180	247	8.50E-19
PF3D7_0906910	InterproscanData_RSRC	PS50245	CAP_GLY_2	199	242	1.10E+01
PF3D7_0906910	InterproscanData_RSRC	SSF74924	52214	114	250	2.80E-23
PF3D7_0906910	InterproscanData_RSRC	PF01302	CAP_GLY	180	239	1.50E-14
PF3D7_0907200	InterproscanData_RSRC	SM00164	TBC	305	517	2.90E-40
PF3D7_0907200	InterproscanData_RSRC	PS50086	TBC_RABGAP	308	494	3.40E+01
PF3D7_0907200	InterproscanData_RSRC	PF00566	RabGAP-TBC	311	514	1.30E-50
PF3D7_0907200	InterproscanData_RSRC	SSF47923	46806	430	540	6.50E-24
PF3D7_0907200	InterproscanData_RSRC	SSF47923	46806	282	454	6.50E-39
PF3D7_0907300	InterproscanData_RSRC	PF02996	Prefoldin	34	134	1.00E-13
PF3D7_0907300	InterproscanData_RSRC	SSF46579	46875	20	130	1.20E-19
PF3D7_0907400	InterproscanData_RSRC	TIGR00390	TIGR00390	486	922	0.00E+00
PF3D7_0907400	InterproscanData_RSRC	PF00004	AAA	534	585	2.60E-04
PF3D7_0907400	InterproscanData_RSRC	PF10431	ClpB_D2-small	814	884	1.90E-06
PF3D7_0907400	InterproscanData_RSRC	SM01086	ClpB_D2-small	814	910	3.10E-17
PF3D7_0907400	InterproscanData_RSRC	PF07724	AAA_2	663	806	1.10E-34
PF3D7_0907400	InterproscanData_RSRC	SM00382	AAA	530	811	3.00E-06
PF3D7_0907400	InterproscanData_RSRC	SSF52540	53350	486	919	3.10E-69
PF3D7_0907600	InterproscanData_RSRC	PS50296	SUI1	733	805	1.30E+01
PF3D7_0907600	InterproscanData_RSRC	PF01253	SUI1	729	809	1.10E-17
PF3D7_0907600	InterproscanData_RSRC	SSF88697	52864	90	178	9.50E-12
PF3D7_0907600	InterproscanData_RSRC	SSF55159	45333	703	814	2.50E-23
PF3D7_0907700	InterproscanData_RSRC	SSF47216	35229	15	78	1.40E-65
PF3D7_0907700	InterproscanData_RSRC	SSF47216	35229	132	270	1.40E-65
PF3D7_0907700	InterproscanData_RSRC	PF02252	PA28_beta	129	275	7.90E-63
PF3D7_0907800	InterproscanData_RSRC	PF01632	Ribosomal_L35p	129	179	1.80E-13
PF3D7_0907800	InterproscanData_RSRC	SSF143034	53070	129	183	1.10E-13
PF3D7_0907800	InterproscanData_RSRC	TIGR00001	TIGR00001	129	181	2.40E-15
PF3D7_0907900	InterproscanData_RSRC	SSF56420	51210	65	234	1.10E-53
PF3D7_0907900	InterproscanData_RSRC	PF01327	Pep_deformylase	66	217	4.50E-52
PF3D7_0907900	InterproscanData_RSRC	TIGR00079	TIGR00079	66	224	6.20E-46
PF3D7_0908000	InterproscanData_RSRC	PF02265	S1-P1_nuclease	46	339	1.90E-22
PF3D7_0908000	InterproscanData_RSRC	SSF48537	45784	46	143	1.80E-36
PF3D7_0908000	InterproscanData_RSRC	SSF48537	45784	170	337	1.80E-36
PF3D7_0908300	InterproscanData_RSRC	PF06454	DUF1084	93	193	1.90E-10
PF3D7_0908600	InterproscanData_RSRC	PF01728	FtsJ	21	298	1.00E-62
PF3D7_0908600	InterproscanData_RSRC	SSF53335	53229	143	298	1.10E-20
PF3D7_0908600	InterproscanData_RSRC	SSF53335	53229	20	85	1.10E-20
PF3D7_0908300	InterproscanData_RSRC	PF06454	DUF1084	93	276	2.70E-15
PF3D7_0908700	InterproscanData_RSRC	TIGR00071	TIGR00071	7	237	6.30E-47
PF3D7_0908700	InterproscanData_RSRC	SSF55120	52542	4	252	7.50E-58
PF3D7_0908700	InterproscanData_RSRC	PF01416	PseudoU_synth_1	140	243	8.40E-19
PF3D7_0908800	InterproscanData_RSRC	SSF103506	48588	147	341	1.30E-54
PF3D7_0908800	InterproscanData_RSRC	PS50920	SOLCAR	258	343	1.90E+01
PF3D7_0908800	InterproscanData_RSRC	PS50920	SOLCAR	491	586	1.40E+01
PF3D7_0908800	InterproscanData_RSRC	SSF103506	48588	483	582	1.30E-54
PF3D7_0908800	InterproscanData_RSRC	PS50920	SOLCAR	147	229	1.10E+01
PF3D7_0908800	InterproscanData_RSRC	PF00153	Mito_carr	492	588	2.70E-15
PF3D7_0908800	InterproscanData_RSRC	PF00153	Mito_carr	146	232	7.30E-15
